src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-28,2024-09-04 05-52-46,-40,73,40765305588,977314485,SuWSqkrH,40716963108
nokia,-128,2024-09-04 05-52-40,29020,-13,40732263571,-1805658324,ooeZRzzy,40790819977
nokia,-126,2024-09-04 05-51-26,-8430,7,40766311130,128811168,AnCqceMj,40792244866
nokia,84,2024-09-04 05-51-35,22315,98,40734264349,2127512090,HVScHuBa,40741957562
nokia,22,2024-09-04 05-51-58,-2707,57,40725638310,509830692,ItTBwtuI,40796056738
nokia,123,2024-09-04 05-51-21,21850,-98,40733271443,-811970843,FPYgTTuH,40797663108
nokia,-107,2024-09-04 05-50-54,25952,95,40760987238,1298077969,ayXDtmNU,40791927943
nokia,68,2024-09-04 05-54-51,-19847,-12,40721078778,1675701051,txzdVatI,40763926824
nokia,114,2024-09-04 05-50-57,-20613,-114,40749809557,1027275811,TYnaBlHW,40780341770
nokia,18,2024-09-04 05-52-59,78,1,40743457060,320387331,pJQLDtWT,40737403679
nokia,-1,2024-09-04 05-54-09,15252,41,40760544092,-2133964812,xFnLSecm,40743371845
nokia,92,2024-09-04 05-53-07,13656,-115,40733561448,1085315722,lTnTjQDP,40767683130
nokia,6,2024-09-04 05-51-44,-9816,74,40783724041,1280670443,siemsYkr,40750985195
nokia,23,2024-09-04 05-54-21,27935,-86,40770466010,685506961,ADgjhwNK,40769188348
nokia,-121,2024-09-04 05-51-12,-11249,14,40743221794,760290076,GzyzjZmx,40799667391
nokia,31,2024-09-04 05-54-28,29033,46,40759335148,1588946792,KPbiQVLr,40784171526
nokia,-75,2024-09-04 05-54-18,13707,21,40709998030,-2133626013,dGpbMXqa,40703089530
nokia,-112,2024-09-04 05-51-04,7327,54,40794277777,1421286317,HPLGJQls,40795195636
nokia,62,2024-09-04 05-52-09,4955,14,40720663057,-1959342161,mQviIPNm,40711132916
nokia,20,2024-09-04 05-54-49,25331,22,40702368514,1025070461,ZQmECqsq,40740794122
nokia,7,2024-09-04 05-50-45,26057,-19,40799552344,-1396535797,lLvTRNOY,40729673214
nokia,-106,2024-09-04 05-50-14,-11849,120,40749032372,-1878873713,xUHfvbsU,40736600116
nokia,1,2024-09-04 05-53-59,-29718,3,40790178428,-1668019164,OfKQXxqx,40724497104
nokia,-9,2024-09-04 05-52-16,10151,-124,40762105056,1662211225,fobVjgkm,40731381752
nokia,76,2024-09-04 05-51-10,2501,-67,40790500984,-1638966510,KLJfWqOM,40732969328
nokia,-40,2024-09-04 05-50-13,13691,126,40733193260,519323878,oBoDzOrE,40733768450
nokia,-71,2024-09-04 05-52-27,-22897,124,40765974856,2057516039,zUPCHcIu,40722614634
nokia,118,2024-09-04 05-50-28,-28147,54,40795359468,-1088085681,FKPrSxFm,40774526896
nokia,-106,2024-09-04 05-50-27,10581,-105,40725342173,-553974064,SwCCLbLv,40713895265
nokia,-56,2024-09-04 05-51-11,-1935,41,40748180865,-667085749,qWFbsyQy,40717832171
nokia,-23,2024-09-04 05-55-00,21850,-120,40768410756,-28109621,EKzaRtdS,40789549760
nokia,70,2024-09-04 05-53-26,11706,-46,40762503050,450795336,XuIkeslI,40725773312
nokia,-45,2024-09-04 05-52-20,19408,-103,40719487089,-586801489,kQrGQFLr,40744532042
nokia,2,2024-09-04 05-54-39,-21290,-28,40747938140,-1836641248,eWyBVFei,40700461959
nokia,105,2024-09-04 05-51-51,25527,82,40711706348,-1252360341,orOGaQYr,40784515540
nokia,-95,2024-09-04 05-50-55,-5721,38,40763587797,-681776332,HVGSwjOb,40703915601
nokia,117,2024-09-04 05-54-53,-19702,-118,40701241756,1725388229,UtQSWnkv,40743760072
nokia,20,2024-09-04 05-54-56,7166,-48,40741139659,-492313707,NfsCaTcX,40765997275
nokia,43,2024-09-04 05-53-03,5214,-128,40731778184,-1441234488,uyURVNvo,40721026707
nokia,32,2024-09-04 05-54-10,17493,-111,40789609926,-2033119675,wRoSBWmE,40776753624
nokia,64,2024-09-04 05-50-13,16478,-27,40700284916,138642725,SjEbwNUi,40720062132
nokia,-44,2024-09-04 05-52-27,-2111,-104,40749891771,142960809,EuiUslRo,40795447577
nokia,125,2024-09-04 05-50-40,-21968,-97,40748036731,106342417,GlJhtKwb,40723038982
nokia,7,2024-09-04 05-53-05,3512,-5,40772906773,1692521097,FbpaqEuL,40780286946
nokia,107,2024-09-04 05-54-37,23362,-9,40727206941,676497499,hTgvUvIx,40734496540
nokia,30,2024-09-04 05-51-20,3091,71,40780350056,846742771,fbZWgJqP,40782505433
nokia,92,2024-09-04 05-54-45,21711,67,40764076288,727678318,KonwGtQT,40757623142
nokia,-41,2024-09-04 05-50-56,27341,-117,40738373388,696909605,fWAMrFpF,40733788761
nokia,-96,2024-09-04 05-54-02,-22462,51,40708426407,-576558996,jgNCJfPs,40777096648
nokia,-10,2024-09-04 05-52-50,18229,105,40768413879,453641284,siZCfOyU,40779317533
nokia,-60,2024-09-04 05-52-54,4961,54,40746326409,-1946529406,JpXAIYmv,40721167989
nokia,-12,2024-09-04 05-50-44,-2001,-23,40715016259,622092379,EykcEYoe,40774141326
nokia,-27,2024-09-04 05-53-24,-9944,-71,40706267642,-431761578,UsdMuTiI,40770561852
nokia,-29,2024-09-04 05-50-31,-28983,-54,40724966267,397992494,zlUcqGvW,40779158716
nokia,-125,2024-09-04 05-50-38,4916,-114,40717003902,-1826874123,hpJQBXGP,40762269467
nokia,122,2024-09-04 05-50-56,-23638,-4,40755830160,-2005773858,HIBbuSjQ,40775703036
nokia,92,2024-09-04 05-53-23,-18236,16,40723233321,446122027,CuSztMxo,40799320828
nokia,-90,2024-09-04 05-51-25,6864,-96,40765585735,-660754999,DlYkGhSo,40775592456
nokia,-27,2024-09-04 05-53-03,-20670,31,40727162067,120427843,YlbbHGxA,40766333141
nokia,-56,2024-09-04 05-50-06,-6723,119,40756012270,-669119947,umyZCtvh,40749478219
nokia,-89,2024-09-04 05-50-53,-18151,-7,40774757580,874879513,zJoPxzPK,40711231925
nokia,-78,2024-09-04 05-51-30,-17482,-61,40717220879,985611097,WPRKVCOF,40799126581
nokia,34,2024-09-04 05-51-44,-24534,-114,40761868001,-1324269486,lfUUNlba,40777798612
nokia,61,2024-09-04 05-52-29,-4893,-18,40797406517,-1805440260,uOddtsOL,40717787880
nokia,-25,2024-09-04 05-53-28,8005,-17,40791694747,1415145139,OTLSkwoU,40763864968
nokia,39,2024-09-04 05-53-52,11919,2,40719463320,-2087678677,rYZdfawY,40757316378
nokia,-110,2024-09-04 05-53-28,2616,106,40729717725,719146104,cNCcYnOV,40743371905
nokia,58,2024-09-04 05-51-57,20162,-40,40739627378,-72956360,XFSOybvy,40786940984
nokia,-67,2024-09-04 05-52-08,19014,106,40793912484,-2063000747,OhSRoMoV,40738507132
nokia,76,2024-09-04 05-50-10,17456,-18,40750203110,865229117,ZAavlpcy,40722849379
nokia,-3,2024-09-04 05-54-48,-19372,83,40754395494,1212409388,ePNvhqLp,40764863071
nokia,22,2024-09-04 05-50-31,-10108,19,40795267268,-1489836615,tlzQBYoW,40703195239
nokia,108,2024-09-04 05-52-49,26166,-36,40738874748,167376155,AUbtYVea,40706417464
nokia,-106,2024-09-04 05-51-08,-29654,0,40746631781,-767669236,NWrxvaNx,40748772854
nokia,-105,2024-09-04 05-53-05,-3023,60,40784337569,1312322623,woQSNOxl,40779260346
nokia,105,2024-09-04 05-52-44,22689,-32,40720733450,1611015141,qpHbXEAY,40773807320
nokia,52,2024-09-04 05-54-31,-30072,-115,40710334662,-609774224,PnjEBUqX,40767804990
