src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,19,2024-09-04 06-10-49,27889,-23,40709259419,866277010,riTpEqaT,40795154753
nokia,100,2024-09-04 06-11-08,7405,-116,40774865857,354720587,KdcEeJmw,40777859133
nokia,89,2024-09-04 06-13-12,-15883,53,40758671628,1974321339,FWSWtszH,40771711753
nokia,-91,2024-09-04 06-11-23,-28345,-64,40788799959,1341689228,xVfZBaOz,40787442973
nokia,-55,2024-09-04 06-13-18,-20983,-93,40715498652,-719779959,qzRXxoFs,40756499602
nokia,-77,2024-09-04 06-13-11,-12024,-50,40708045077,67024517,ESxafufs,40744460203
nokia,-124,2024-09-04 06-13-25,20882,62,40713111921,-378456541,ocNNiiWJ,40784083593
nokia,-108,2024-09-04 06-10-39,23003,-71,40746520883,727890536,PZhChaQO,40701825878
nokia,-97,2024-09-04 06-12-52,13807,102,40754041252,1522403384,pibqtLke,40746141981
nokia,47,2024-09-04 06-10-15,14779,-55,40776136637,461186145,WqRuMGZa,40739131439
nokia,-84,2024-09-04 06-11-02,17271,-91,40758291306,817080824,ZBhRVZUr,40759755999
nokia,17,2024-09-04 06-11-53,29452,-128,40771295057,871398224,khHfumHa,40745416941
nokia,23,2024-09-04 06-14-36,17052,124,40752450931,-1716408798,lQRmLnNk,40746451258
nokia,-43,2024-09-04 06-14-32,16320,-88,40791000770,-837039447,BgTGWCmg,40705195266
nokia,-72,2024-09-04 06-12-44,-23834,-77,40712247628,-469130506,HcFcPxSt,40718864701
nokia,122,2024-09-04 06-11-43,-30517,-124,40731543654,1558767461,JFccxWrz,40786621659
nokia,50,2024-09-04 06-11-46,22273,103,40777608220,-244674693,IXmrpUra,40770223474
nokia,51,2024-09-04 06-10-53,-1192,-59,40716432652,68241140,JhCCfoGf,40759329258
nokia,66,2024-09-04 06-10-55,5861,121,40763662941,1898664557,XiUIYNZA,40788187001
nokia,111,2024-09-04 06-14-40,11632,-81,40756572868,-1763278948,bGHmOtsd,40758410498
nokia,71,2024-09-04 06-10-01,-30780,-3,40796278432,-1006188966,CyBhIlUS,40741910283
nokia,-127,2024-09-04 06-13-39,15774,-82,40760532631,-551981729,VwKNZgtk,40709676409
nokia,-50,2024-09-04 06-12-07,16970,-98,40784426475,-1848619791,MnEUtfhP,40746210597
nokia,-88,2024-09-04 06-10-30,-28107,-7,40739115681,-76045174,evjXIPaM,40791816281
nokia,-110,2024-09-04 06-13-32,23545,16,40765908300,1875492871,rbygisXx,40746850492
nokia,-44,2024-09-04 06-10-48,21014,11,40749793968,-570212766,IuVNHByl,40732180285
nokia,67,2024-09-04 06-11-17,-13171,57,40741680918,-10721790,jpAaJKKE,40796451343
nokia,85,2024-09-04 06-11-16,-25564,19,40781788215,-706403891,fezcwxHg,40780073225
nokia,-114,2024-09-04 06-10-20,8682,18,40713627805,175317953,vIHvneTF,40762506159
nokia,4,2024-09-04 06-11-11,3874,3,40780891407,-1929779061,KDNstbpD,40704447032
nokia,48,2024-09-04 06-14-22,25408,77,40700017429,80242545,NqdpJlXd,40784706400
nokia,-81,2024-09-04 06-12-40,18597,-61,40770976649,-750195742,AGNdFGax,40749567224
nokia,-42,2024-09-04 06-13-02,17461,-99,40738062860,-452516255,nqJDDSkw,40723476604
nokia,39,2024-09-04 06-12-16,-18160,29,40763607124,1991482155,mQrLxbwb,40724598652
nokia,-17,2024-09-04 06-11-33,-2139,-24,40795956774,-1624672136,XBypsPAQ,40741969577
nokia,-74,2024-09-04 06-11-45,-17810,-121,40763851245,-1192230810,blXXojWr,40755472323
nokia,-5,2024-09-04 06-14-52,-13848,55,40708550751,1925311952,ijNUkQkv,40750449750
nokia,-123,2024-09-04 06-13-19,6080,-128,40734226364,840276066,HFcgDjar,40734361955
nokia,-72,2024-09-04 06-11-13,-14904,-95,40765966962,-1588476493,vaocYPwX,40778843393
nokia,-125,2024-09-04 06-11-08,6988,-68,40732621264,2090407363,DgsuNHtQ,40759109867
nokia,-36,2024-09-04 06-10-44,2180,-27,40787708458,672930304,cKhixNuh,40794843111
nokia,31,2024-09-04 06-11-54,23448,-128,40738569040,-174529503,SuBnTdhA,40761259262
nokia,4,2024-09-04 06-11-54,-28267,16,40798568385,565397378,cSyIwTKb,40712863466
nokia,1,2024-09-04 06-14-27,-30545,-9,40790727038,1863454427,ZsOCYPIz,40701063641
nokia,-48,2024-09-04 06-14-57,9431,91,40778839519,-1680002426,XUkPnxhq,40796923817
nokia,-3,2024-09-04 06-12-20,-1301,-12,40788302502,-731045009,qzRYqNNE,40706837516
nokia,105,2024-09-04 06-14-41,-19320,19,40700499683,-1387954923,fVhmgSbj,40790968171
nokia,102,2024-09-04 06-14-51,15957,18,40713455100,-854213548,epAsWjZy,40761203708
nokia,-95,2024-09-04 06-13-36,-22960,5,40737793532,-874291891,eHmULEZM,40755144030
nokia,11,2024-09-04 06-14-20,-4985,125,40795352476,370472777,CFckBCMk,40736223277
nokia,101,2024-09-04 06-13-23,27019,-108,40787469683,427287012,wAHglKWs,40701476711
nokia,33,2024-09-04 06-12-35,19034,5,40730090032,815134228,NrremOJc,40763699670
nokia,-105,2024-09-04 06-10-53,-2974,77,40749079368,-948598704,utGBVlmo,40772826619
nokia,60,2024-09-04 06-12-04,6207,-49,40727430897,2107067858,huUDNfdW,40707695409
nokia,40,2024-09-04 06-14-43,-6767,80,40701609264,214115201,LamytgaH,40732699498
nokia,76,2024-09-04 06-12-21,30122,-97,40792450705,-1064621291,kAeGNALj,40704317404
nokia,-95,2024-09-04 06-11-38,-12430,-6,40790742278,-114715250,TrCmFGYN,40766693042
nokia,45,2024-09-04 06-14-20,-19426,79,40731158666,1098751983,CplbNnZh,40764922825
