src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-4,2024-09-04 06-15-39,1413,-128,40779134876,-2056814376,BTPtFEHq,40724576428
nokia,-73,2024-09-04 06-18-05,12162,31,40760719373,1359049559,nATuHdNx,40785075868
nokia,-91,2024-09-04 06-15-01,-19972,110,40789751842,638950285,cGwvpPex,40779046456
nokia,-117,2024-09-04 06-15-59,19235,43,40789875484,311376541,MresakqC,40765366823
nokia,-37,2024-09-04 06-15-16,7210,-65,40746475718,-90599274,vYFaRDzh,40759947325
nokia,-15,2024-09-04 06-15-05,-15985,15,40711011139,603026666,MfHoCNzf,40707575130
nokia,-110,2024-09-04 06-18-51,-5752,10,40747545134,-2137280839,KDZgYEfM,40769105712
nokia,94,2024-09-04 06-18-52,187,-97,40770042622,731717854,fAcrMuWX,40716521947
nokia,109,2024-09-04 06-19-50,-9045,-113,40701132916,885380506,FqyPSdRY,40705203785
nokia,-22,2024-09-04 06-15-10,-16880,-11,40787289575,1264137529,LSSvlHgB,40766447381
nokia,108,2024-09-04 06-16-03,-20067,-64,40737711888,188429092,YrQRtazP,40703877739
nokia,74,2024-09-04 06-18-01,-30249,18,40702756395,-1930088850,MKxFLySR,40722611621
nokia,-22,2024-09-04 06-15-32,-13752,44,40713557134,1539715615,fdBGMpmJ,40797840492
nokia,60,2024-09-04 06-16-04,-20948,-27,40713122547,-1273034674,TamTVvoo,40785171632
nokia,-124,2024-09-04 06-16-30,-30241,81,40713386906,1175936481,zrFMkycm,40755391792
nokia,-46,2024-09-04 06-19-17,18172,-31,40739561929,-1879553431,HFWBGuoB,40719812289
nokia,93,2024-09-04 06-19-53,-8651,-94,40702717518,1651213823,yftqQoOZ,40701646999
nokia,-108,2024-09-04 06-17-29,-20200,9,40766030600,-1986952087,gIWlZmIs,40706337139
nokia,1,2024-09-04 06-19-05,3587,91,40760837220,-129770998,lFadMMDo,40752928475
nokia,-3,2024-09-04 06-16-44,23166,-124,40781250080,721090067,laCTObis,40719330367
nokia,106,2024-09-04 06-17-38,-21873,45,40742463381,1618573650,YuVmTYzV,40767853897
nokia,-34,2024-09-04 06-17-38,8904,113,40716564594,1661379614,jycMXWeb,40713395692
nokia,104,2024-09-04 06-19-09,-24261,30,40721974469,-1224502975,csLFNzxX,40749963678
nokia,-120,2024-09-04 06-15-58,8626,-9,40775922213,1202194209,PKzKNELI,40794646365
nokia,-113,2024-09-04 06-17-37,-19221,85,40776389963,-223072283,JPxSQWlH,40700586632
nokia,80,2024-09-04 06-20-00,22285,-71,40719470963,2032858925,OUlRdYwa,40787658753
nokia,-64,2024-09-04 06-18-29,31810,48,40794634181,-1542722122,eIsEYKVK,40737542132
nokia,118,2024-09-04 06-15-18,26460,15,40788311276,1483104481,LUUUqauI,40747351088
nokia,5,2024-09-04 06-18-00,-4766,-19,40715108740,-1759655879,YlBrPHEm,40733355487
nokia,91,2024-09-04 06-17-51,-25921,119,40715586364,-320888690,BZSNibGp,40742107069
nokia,84,2024-09-04 06-19-26,28742,-128,40754010668,1479597546,VzdBMAMp,40741978138
nokia,65,2024-09-04 06-15-14,-3090,-103,40748449862,-1611373565,qHIqhCko,40716916856
nokia,-17,2024-09-04 06-17-59,-16013,-56,40749353209,-1447859586,hDFoZZmq,40724302128
nokia,65,2024-09-04 06-15-59,18933,34,40773018654,514123660,UnjdAaPR,40769212381
nokia,85,2024-09-04 06-16-19,18138,-23,40712180630,200687186,szUfaPxe,40724502256
nokia,-128,2024-09-04 06-17-36,8543,-18,40777034007,-1681256788,DTwjxBFD,40730570644
nokia,127,2024-09-04 06-17-56,25776,-99,40706596177,-662480411,vVCpgkLs,40724727223
nokia,57,2024-09-04 06-19-10,-4277,87,40774692135,2131623360,DGqtikPV,40780382274
nokia,-81,2024-09-04 06-17-55,5690,-6,40713409852,-1671118887,chUCzmad,40700371723
nokia,92,2024-09-04 06-19-37,30168,-19,40773300329,-159613666,RRIuEatc,40719589339
nokia,81,2024-09-04 06-15-19,-652,6,40778990150,585086096,vQHjrldy,40795446430
nokia,1,2024-09-04 06-18-46,9345,44,40791817550,1429048255,GqabiTGN,40776697865
nokia,-92,2024-09-04 06-19-48,16379,-5,40710859361,-173672881,FzYgAGaX,40755118249
nokia,-67,2024-09-04 06-18-50,12671,-96,40729318120,-1045697860,QqFWpzAG,40728517136
nokia,-108,2024-09-04 06-16-29,-242,30,40784866684,244551585,psJGPSTT,40760005924
nokia,60,2024-09-04 06-19-20,-17911,-50,40772331450,1702900955,ssxqVanB,40741512523
nokia,1,2024-09-04 06-15-35,16474,96,40700538263,836660172,alsevBmi,40734632202
nokia,56,2024-09-04 06-19-39,31961,-23,40772929792,2052370049,oYrMIQsj,40704118288
nokia,-9,2024-09-04 06-16-27,-3290,10,40713262119,-717128624,iWezuPXw,40739840830
nokia,87,2024-09-04 06-18-06,-20329,2,40762511865,402281024,CHColONQ,40758233365
nokia,-56,2024-09-04 06-16-01,10803,15,40727394258,2138321097,KsKeqhxf,40704499957
nokia,-89,2024-09-04 06-17-44,1000,-37,40791600020,-296965708,hvivGLdg,40731953782
nokia,86,2024-09-04 06-16-45,-18630,-43,40725284503,740869742,YeiWQPZd,40712532853
nokia,71,2024-09-04 06-15-09,-3401,38,40778109096,-2052939022,NuNHckrA,40756142555
nokia,-72,2024-09-04 06-18-21,15824,117,40734283903,1533000956,hXNRzDXa,40779373117
nokia,5,2024-09-04 06-19-42,15795,90,40792410384,-593426702,XGIoVKfX,40752270911
nokia,-4,2024-09-04 06-17-31,5683,70,40745814752,-1489253949,PebezGcs,40757980556
nokia,-93,2024-09-04 06-17-14,2974,-44,40721725642,-1029642500,bMWbKbRD,40756719154
nokia,-73,2024-09-04 06-17-51,-7418,-70,40751001841,-1696570615,qRtsyEbL,40799938247
nokia,-122,2024-09-04 06-15-14,14591,-15,40733242952,-951381308,irfbDPTl,40727230215
nokia,-105,2024-09-04 06-16-37,-26223,-11,40705011669,2061600975,OZRLOhuu,40723426502
nokia,-45,2024-09-04 06-15-20,-6027,-36,40711308761,2074532141,daLuNLjP,40743739031
nokia,51,2024-09-04 06-17-08,19467,35,40736922546,138716442,edYjxjjb,40721786325
nokia,83,2024-09-04 06-17-48,-19367,119,40798827777,-1797573490,rBjrGBfG,40745285247
nokia,106,2024-09-04 06-18-52,17672,33,40746201654,535493667,JGpUowpC,40705024862
nokia,-106,2024-09-04 06-19-07,1341,-3,40765730456,-157642855,jtvFEENz,40722259433
nokia,92,2024-09-04 06-15-31,585,-51,40731329012,-533815877,tlFKUdZB,40710146338
nokia,84,2024-09-04 06-17-13,-19156,106,40743348222,-289322206,DhFFdLmq,40715396956
nokia,-25,2024-09-04 06-16-34,27825,124,40725536658,1795397081,gtzCiqYY,40762242601
nokia,-19,2024-09-04 06-17-04,-4829,90,40774300088,-495077780,iaCoLoWT,40746541330
nokia,50,2024-09-04 06-16-13,14084,-60,40756163189,-1361427329,ShcWuzEM,40776219471
nokia,-12,2024-09-04 06-16-17,28375,115,40780731948,-70681884,tAOEzrTB,40716935547
nokia,12,2024-09-04 06-17-21,-29497,-15,40718984275,-1185963088,OzQUoYsk,40779183666
nokia,-11,2024-09-04 06-19-07,663,-75,40744997798,1274461118,TqUyphpw,40768474692
nokia,125,2024-09-04 06-18-44,-11531,24,40743449820,1458633317,GCnGGqUQ,40761736937
nokia,39,2024-09-04 06-18-19,-235,116,40701136747,-1704079517,isgrGjUb,40708333931
nokia,66,2024-09-04 06-15-49,-29278,69,40769844671,-989714622,jnBlIPVk,40701583480
nokia,18,2024-09-04 06-17-06,16645,-95,40790188966,1219022328,yKaYqqol,40755987461
nokia,-68,2024-09-04 06-16-48,31220,-10,40744672455,432654685,VMfkLlum,40746277780
nokia,111,2024-09-04 06-19-21,-19107,-32,40798839926,-281033308,QgtOvGCs,40745526908
nokia,-32,2024-09-04 06-17-52,-21968,48,40734196445,292137903,FgCEdUUf,40790523892
nokia,-120,2024-09-04 06-17-17,-2015,121,40776586612,1599320276,KhkakTOG,40792942262
nokia,79,2024-09-04 06-16-20,14383,46,40713357986,-2126953571,EcVwdZJF,40722908052
nokia,-105,2024-09-04 06-19-43,27918,-104,40721868044,574436616,BYCgDuym,40758445797
nokia,99,2024-09-04 06-15-44,20284,-94,40704478368,-733312639,KeyqjGVb,40737842716
nokia,-11,2024-09-04 06-19-07,10498,120,40794807060,1738157605,PxnZtXvZ,40789409143
nokia,75,2024-09-04 06-19-55,7503,-76,40739446054,1790037909,MtjSNmya,40783687191
nokia,-47,2024-09-04 06-19-11,10532,94,40717199974,142781897,VEvDzEFg,40711509902
nokia,-127,2024-09-04 06-19-09,9249,126,40782549967,-722368856,zxhlBXAA,40740399054
nokia,40,2024-09-04 06-18-31,-11885,-5,40744647809,-323493881,fiTXksMd,40702778184
nokia,23,2024-09-04 06-16-03,-10057,42,40759826112,-220390305,EbWegdkx,40707557970
nokia,65,2024-09-04 06-18-39,11726,54,40795600499,1075361820,WmSJpMoo,40776795101
nokia,81,2024-09-04 06-15-23,8318,-126,40707223786,1143252204,UFMJHWPv,40753287970
nokia,85,2024-09-04 06-16-03,29763,-56,40720034854,546024692,xicJBFAw,40719985240
nokia,-73,2024-09-04 06-17-24,9924,-99,40751118697,-793062522,eCSdWiZd,40715807570
