src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,99,2024-09-04 06-32-04,802,74,40709954250,275646338,IbkdueXI,40789105956
nokia,110,2024-09-04 06-32-58,-1701,48,40744784164,1078676838,kCytFDwC,40707221744
nokia,1,2024-09-04 06-34-12,-14780,-2,40740529853,1995985485,vDzmgvVf,40778291890
nokia,36,2024-09-04 06-30-04,-4142,-104,40776890780,179962840,xdbVWxAk,40730495509
nokia,55,2024-09-04 06-31-36,24622,126,40726994746,-42600312,TfDiERyM,40719274725
nokia,36,2024-09-04 06-33-05,26767,68,40709741887,-1821331628,FVoEddJc,40713865186
nokia,-28,2024-09-04 06-32-53,-21284,-120,40720674570,1403099321,tQYGouom,40711886283
nokia,-63,2024-09-04 06-34-36,10911,17,40784277293,910347162,gUzjloGK,40789502681
nokia,2,2024-09-04 06-34-56,15171,-48,40750513271,-953799041,pMxzSSxh,40722279261
nokia,-68,2024-09-04 06-31-15,-13359,-94,40789675141,-1278930684,fxJKlSQr,40723153293
nokia,15,2024-09-04 06-32-52,-7734,-31,40737685999,1288047793,hIQmJYiv,40775811072
nokia,-56,2024-09-04 06-33-40,20961,-67,40719292541,1111136658,AbDxXSgq,40747756459
nokia,99,2024-09-04 06-30-23,23094,19,40727851932,-1888858637,dHuOvsqo,40796424900
nokia,-48,2024-09-04 06-31-27,-27431,-125,40713193132,-438437422,OreQmtav,40706007530
nokia,-34,2024-09-04 06-34-11,9421,117,40732884642,-1319738063,CGXdcTDI,40783650699
nokia,-98,2024-09-04 06-30-47,-20719,-83,40779774732,165963422,MWvWbCTO,40792642669
nokia,-63,2024-09-04 06-31-51,28856,-92,40721880105,1560403082,StdPyAAr,40726224220
nokia,-53,2024-09-04 06-33-34,-19165,-101,40708477257,-1721361581,qdxCqmnD,40774782223
nokia,-87,2024-09-04 06-32-05,-32662,-84,40729846910,-1674042860,JqqghJXE,40700219722
nokia,-14,2024-09-04 06-31-32,-20005,-124,40763015400,-482745889,reAeJmqn,40768241532
nokia,-67,2024-09-04 06-32-40,-17906,-109,40798236296,-1957637972,degpMvmF,40796634887
nokia,-55,2024-09-04 06-33-54,17581,64,40700244981,-1155144611,tDCvPbYa,40727864980
nokia,-81,2024-09-04 06-33-27,16528,95,40776030534,-463755929,TWizVxbW,40763641150
nokia,-15,2024-09-04 06-33-47,30439,49,40769374626,1443751984,wqMcnIka,40700087023
nokia,37,2024-09-04 06-31-49,12726,-46,40720995873,1848918924,gJrbLEFw,40708750811
nokia,-41,2024-09-04 06-32-06,-22878,-109,40731137520,-1718263187,WMKXrigo,40770145342
nokia,52,2024-09-04 06-31-58,-13981,-1,40789984809,2084426090,NpKsxeIL,40755707344
nokia,-86,2024-09-04 06-33-37,1849,13,40776542353,-1605201765,jHCmvZok,40735907198
nokia,54,2024-09-04 06-31-34,-20933,-8,40719527218,1119253473,sEfWIHpS,40791439827
nokia,-76,2024-09-04 06-33-37,-11475,-82,40775915262,1690239150,cHiTTQfN,40788710717
nokia,57,2024-09-04 06-32-53,-9429,-21,40703974904,-2098141298,ogWIInIa,40798063302
nokia,115,2024-09-04 06-30-11,-19539,73,40729214838,-31078460,nHfcZnSj,40703607876
nokia,8,2024-09-04 06-30-17,-17995,-97,40750516545,-1708789663,mZkitYnF,40743528306
nokia,-54,2024-09-04 06-33-24,-8130,-42,40762590019,-1559221319,fmHGsrqA,40725723618
nokia,117,2024-09-04 06-32-07,28592,24,40714685227,1088595417,mzNGPxxV,40720533619
nokia,78,2024-09-04 06-33-09,16031,-118,40738192400,526184702,mQzXVaLq,40710314782
nokia,34,2024-09-04 06-32-24,-148,19,40777672258,951833520,DiXqVXWb,40755681650
nokia,50,2024-09-04 06-32-57,-9574,114,40709061116,-1432992130,raTOweuE,40798196041
nokia,-50,2024-09-04 06-30-24,27952,-1,40720409997,-558868535,AJsiRRNa,40754340886
nokia,-82,2024-09-04 06-31-07,4328,64,40716139159,-1490237888,iAAJcvdj,40788242785
nokia,21,2024-09-04 06-34-56,27508,-5,40749230653,2061655103,dsiTqGst,40730683868
nokia,-28,2024-09-04 06-30-41,-3807,4,40716748722,1838111992,TGAhURLX,40787233752
nokia,-74,2024-09-04 06-30-30,7223,-6,40773441115,-523006766,lICZHTaX,40744218616
nokia,124,2024-09-04 06-31-53,30877,91,40729931382,-447615476,wadTWBzM,40764344849
