src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,97,2024-09-04 06-41-55,4346,83,40725249537,-916706252,KtLXbcYX,40735411993
nokia,103,2024-09-04 06-42-18,-19343,-3,40708873438,-583581613,iFsIZiWl,40751145121
nokia,36,2024-09-04 06-44-34,-21909,42,40785685102,837342303,WOdWSScW,40784174878
nokia,-68,2024-09-04 06-44-04,25455,-54,40724172711,-1019048551,nBnqdZjk,40765715886
nokia,7,2024-09-04 06-42-55,27954,32,40795301261,-1459944681,TJFBOfmg,40749935938
nokia,-53,2024-09-04 06-42-05,-13660,-56,40781401896,1854836450,xtnJlDfR,40719729399
nokia,-103,2024-09-04 06-41-16,14220,99,40790826662,-1866020381,KEgdhKeC,40703679847
nokia,-58,2024-09-04 06-42-10,-22446,25,40718957937,-795784049,ZXWeNNmQ,40743485419
nokia,-13,2024-09-04 06-42-05,-9549,55,40756741692,1101105960,YUDJfylk,40735636264
nokia,72,2024-09-04 06-44-58,-3032,-54,40799609904,462113633,nruEYWJn,40774830751
nokia,-28,2024-09-04 06-41-49,-28921,-2,40743618252,64048953,uklAAHUo,40722100771
nokia,-19,2024-09-04 06-43-16,7756,-16,40787603330,-130632755,ziVyBFvF,40705877050
nokia,-54,2024-09-04 06-43-27,-21406,-49,40717860107,-1294642722,dMsuAYjA,40783872114
nokia,65,2024-09-04 06-42-11,-20321,-95,40707198928,-841303336,nJIEqZxM,40713621863
nokia,92,2024-09-04 06-43-06,6188,-15,40762732326,-2050883435,JUOIioIA,40736764474
nokia,-30,2024-09-04 06-41-00,-16717,65,40755290794,-404202858,CjZPHIKg,40724504089
nokia,-33,2024-09-04 06-44-37,627,85,40734205565,-1965702093,OZdhixNd,40731492091
nokia,-8,2024-09-04 06-40-39,31665,112,40709907763,-814785443,CswZdfpJ,40728601643
nokia,-84,2024-09-04 06-44-54,-9313,49,40701291653,-1710121192,bpLwraEW,40730581041
nokia,-9,2024-09-04 06-43-43,21418,87,40799991115,-382266350,nGQDGLvb,40768938950
nokia,35,2024-09-04 06-41-35,-20771,2,40762519930,-1341492877,dMoTYIhC,40778348341
nokia,64,2024-09-04 06-43-36,-21837,122,40789473601,951430901,uzeNChhQ,40709643534
nokia,-74,2024-09-04 06-43-34,-29602,-82,40772231369,680970747,lAauldIg,40715329909
nokia,14,2024-09-04 06-44-13,-24180,44,40749086547,1333865017,SdTWDnHZ,40726579942
nokia,-116,2024-09-04 06-42-22,25291,5,40780966913,1515094448,ZrOnYsPr,40735912242
nokia,22,2024-09-04 06-40-13,29414,-7,40799031683,593426304,lNfmmiXR,40704111270
nokia,-35,2024-09-04 06-44-49,-22242,-30,40705723665,2080165822,ReoezIwM,40764118387
nokia,-34,2024-09-04 06-40-40,1553,-58,40745273771,331408048,tkHKpUvh,40710599812
nokia,64,2024-09-04 06-40-08,3958,-65,40706709048,331401168,ZtyXccdG,40758284545
nokia,-95,2024-09-04 06-40-24,27382,-26,40798251037,-1849743551,oumAxAaX,40759942125
nokia,-122,2024-09-04 06-44-15,-10437,90,40762075855,-408039627,UZVxyBxS,40774862915
nokia,-22,2024-09-04 06-43-41,14458,120,40716997740,1927811686,OzUNxMiG,40724137640
nokia,106,2024-09-04 06-43-40,-17600,-102,40779048893,766876540,IdHdRmep,40798768057
nokia,2,2024-09-04 06-41-19,15201,-85,40726986213,774438606,jqPsaWFS,40789507024
nokia,-2,2024-09-04 06-42-50,10571,-64,40703688376,1278574448,igyuZdlj,40749694272
nokia,-95,2024-09-04 06-41-51,28837,-57,40771160675,-1048497506,YfcHfDUi,40759474509
nokia,17,2024-09-04 06-44-42,13719,23,40725528607,-1712782089,ZVlwwqoW,40770000890
nokia,-21,2024-09-04 06-40-48,25868,-98,40791718598,1348186609,TLnJeHNd,40785819753
nokia,-82,2024-09-04 06-43-09,-30539,8,40765032433,-1440116546,xzQJumwP,40753587042
nokia,27,2024-09-04 06-44-29,-5244,-40,40739244864,-2006814633,auvXkBaB,40753205032
nokia,88,2024-09-04 06-44-25,26318,-128,40778163142,436276160,jmfVOLFa,40707086304
nokia,-116,2024-09-04 06-40-53,-8920,-9,40716588045,849353904,zWgqoWBS,40726342049
nokia,-35,2024-09-04 06-41-58,-19051,124,40789165656,-1949703850,ZpgeJjLY,40739568657
nokia,69,2024-09-04 06-41-35,-6675,89,40748599109,1241808083,MGfsuZZs,40704970546
nokia,-42,2024-09-04 06-42-15,2392,3,40764102643,1182498015,QitXETmj,40794463856
nokia,74,2024-09-04 06-43-44,-13070,-26,40717238851,252884001,OlpNuVwK,40704233971
nokia,106,2024-09-04 06-43-33,-9615,-9,40789144691,-541596659,RBfwVSwk,40757366508
nokia,-22,2024-09-04 06-44-26,22105,-47,40710910261,-388539946,TLARldGQ,40754133916
nokia,5,2024-09-04 06-44-42,5688,64,40729211876,1808087978,CyuVypeN,40728346926
nokia,-106,2024-09-04 06-41-51,27982,109,40796359531,-788664347,BMcYSVUj,40713918361
nokia,88,2024-09-04 06-43-16,2382,107,40744646809,1460952987,nYQjrzbA,40744403558
nokia,-21,2024-09-04 06-43-13,2920,121,40771197160,-1622229490,NcXObSQd,40784417930
nokia,-11,2024-09-04 06-43-23,32454,-37,40780871242,-1789358825,wJiWPbTe,40787337438
nokia,-82,2024-09-04 06-40-30,18260,92,40764063734,152016567,psBAPjLx,40785400634
nokia,5,2024-09-04 06-41-11,14338,-113,40724671172,-1326898297,HaSQeNMC,40724284442
nokia,-10,2024-09-04 06-41-06,1043,-10,40714372840,380383598,UTzxqpYP,40746170531
nokia,-40,2024-09-04 06-40-05,-12945,39,40765789947,-1689863898,DpLBPOGG,40742580118
nokia,22,2024-09-04 06-41-50,26751,-35,40744676683,99695628,gkcGTynk,40792782399
nokia,55,2024-09-04 06-42-10,31836,-101,40761562174,1072859410,cdRrmSlK,40798124838
nokia,13,2024-09-04 06-42-43,-524,-84,40729055523,-534486004,CEXJxjtW,40729767358
nokia,75,2024-09-04 06-43-24,-22367,-111,40791176770,-1764345360,VjmYnHIO,40760832814
nokia,26,2024-09-04 06-40-36,-28976,57,40797693823,-1093824227,UuYRJzWo,40759164643
nokia,-75,2024-09-04 06-40-13,3910,-28,40733803101,-492345651,LkPorPDF,40725774416
nokia,16,2024-09-04 06-43-15,20,-102,40784557167,-777551553,tTNFiADr,40721103236
nokia,-20,2024-09-04 06-41-53,11925,-62,40716154476,-2006796611,OSZfIxub,40737874584
nokia,-113,2024-09-04 06-43-54,-13639,-52,40775184396,1682876927,XmqKPkUk,40708459511
nokia,22,2024-09-04 06-40-51,31596,70,40712163612,927267481,lylqOfSm,40738879800
nokia,27,2024-09-04 06-43-10,19273,36,40765986373,1042642621,MmrGVwoM,40782177401
nokia,-57,2024-09-04 06-43-28,8255,-127,40779320806,2005535399,dhYqUiMC,40787301486
nokia,86,2024-09-04 06-41-49,14920,-19,40713718999,-1547619908,dvUrRdpW,40785347488
nokia,44,2024-09-04 06-42-39,-27787,-119,40749483192,-1191071826,nzvBroEK,40717437671
nokia,109,2024-09-04 06-41-39,26814,47,40774111050,-1819074668,atGPnhyr,40722173248
nokia,-42,2024-09-04 06-40-45,-26480,56,40701029718,1699650414,pGnOLlBT,40756338909
nokia,-125,2024-09-04 06-42-08,32703,72,40725075097,-981925311,ktulUqlT,40719112895
nokia,88,2024-09-04 06-43-19,-15890,-41,40750371662,-1929673899,hUmmSCym,40701587616
nokia,40,2024-09-04 06-44-38,25963,83,40711701619,-1192777418,ZyUFXHZc,40774043078
nokia,73,2024-09-04 06-43-31,15801,-62,40778940115,-1653174202,RNxqpUnv,40788893412
nokia,-102,2024-09-04 06-41-58,-15658,-39,40710805253,197275026,wbdqXCIf,40777090747
nokia,106,2024-09-04 06-43-06,10041,-31,40747555414,734788117,EGBtzjAh,40725224038
nokia,-32,2024-09-04 06-40-51,-18984,19,40779567168,1953014997,fvcWfcBD,40740707863
nokia,-86,2024-09-04 06-43-22,-4096,123,40748110655,-1444261387,cKZWdyRl,40745555731
nokia,-75,2024-09-04 06-41-39,29687,36,40779484799,1553083876,IkSBCrMF,40792097853
nokia,18,2024-09-04 06-41-52,1181,85,40779481134,124860621,ciAgphST,40705990868
nokia,46,2024-09-04 06-43-40,-25917,110,40714998828,41582884,dwTgIakd,40781353492
nokia,-4,2024-09-04 06-43-51,10461,-90,40785564224,-516877871,zCgHyXrp,40745753341
nokia,-100,2024-09-04 06-41-12,18948,115,40708782962,-221010888,Otvzhmyf,40791676267
nokia,-62,2024-09-04 06-41-16,11170,69,40770117964,1766094226,hmEfdcqa,40782610803
nokia,29,2024-09-04 06-44-01,3678,-38,40799303977,1657413298,gajYneUx,40707236885
nokia,-88,2024-09-04 06-44-02,6154,-91,40774588789,1399393496,fRBjwKFP,40793909653
nokia,118,2024-09-04 06-42-33,-11973,81,40725447572,-1765562293,WKiqmevD,40797440117
nokia,-85,2024-09-04 06-42-50,-7202,93,40718338236,919333261,hrivCGPf,40724418839
nokia,91,2024-09-04 06-43-56,-24817,42,40799945173,271466717,vETiXIQX,40754153919
nokia,24,2024-09-04 06-41-48,-13267,-20,40759446742,-591545870,NevtiKzF,40731860654
nokia,-128,2024-09-04 06-44-15,22273,-16,40702983149,-702923987,sXKoRrzD,40725742570
