src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,61,2024-09-04 06-49-50,18474,-40,40787617272,-1361288127,UwQqJycs,40754043969
nokia,66,2024-09-04 06-47-54,10973,-59,40761224529,1833326364,wfYVLDUT,40721023798
nokia,35,2024-09-04 06-47-35,-5352,41,40740739703,-41752097,WCxINFnu,40747018202
nokia,7,2024-09-04 06-48-36,27498,-9,40743799891,412937935,IvtNLomC,40749957486
nokia,10,2024-09-04 06-48-21,12715,8,40704704303,-183755838,UycQpCuf,40744237489
nokia,-46,2024-09-04 06-48-48,-29700,46,40730764611,2104127381,FexkhxUT,40728313116
nokia,-115,2024-09-04 06-46-15,4210,0,40744261146,1409052570,gKdWgaOl,40763026738
nokia,74,2024-09-04 06-47-45,-21197,-52,40707633623,1134339819,FrZfhcMz,40724440101
nokia,54,2024-09-04 06-47-40,17900,-41,40789990947,839630118,WcshkKoi,40720547136
nokia,27,2024-09-04 06-47-23,-9998,-30,40724176250,1951852843,VymiDbjw,40709430951
nokia,-12,2024-09-04 06-46-15,-953,-50,40742255629,-1988076726,osmaRXsr,40793224546
nokia,2,2024-09-04 06-49-10,-23257,120,40767611446,1985087329,QtJJZijf,40731657459
nokia,-102,2024-09-04 06-45-23,-6245,26,40723876341,-62206874,iRokCTtp,40735436645
nokia,-22,2024-09-04 06-46-59,21834,-95,40760864471,583936114,CTnzErym,40785700339
nokia,91,2024-09-04 06-48-14,-23825,-8,40786810716,1373353889,koXNoMWH,40707693162
nokia,53,2024-09-04 06-48-07,1944,36,40787563763,-1214620705,OSHsZUHQ,40737286245
nokia,78,2024-09-04 06-49-32,26859,-90,40713482124,446790097,NrJEHcmJ,40784679162
nokia,-49,2024-09-04 06-45-31,-2147,52,40716838669,-1542664854,HmAFoYhf,40779959296
nokia,79,2024-09-04 06-47-31,13989,40,40725624397,-3380351,uIdZBxwa,40788285352
nokia,-87,2024-09-04 06-45-50,-28974,121,40711306683,-1461744175,HtjqEAMy,40763116963
nokia,56,2024-09-04 06-47-29,-18651,16,40766427915,-1327490263,zZyjPPOt,40738787223
nokia,12,2024-09-04 06-47-26,8810,-116,40708567521,-631751874,wBtwHEOz,40778044361
nokia,-12,2024-09-04 06-46-14,27615,-90,40792177814,-1830000093,sxPGvCMv,40722022878
nokia,118,2024-09-04 06-49-09,-11712,103,40763183992,1091586781,EViFhnTu,40793368477
nokia,-17,2024-09-04 06-46-19,-22898,-6,40754725805,1719728114,YsxvrrQt,40745612184
nokia,-17,2024-09-04 06-49-10,6674,4,40796982355,148974985,NnufOzvU,40711861353
nokia,-78,2024-09-04 06-49-36,-28195,-62,40765968412,949764529,brtmWyXO,40716900128
nokia,-41,2024-09-04 06-47-33,30109,21,40780526212,1791540104,SCfnfSQp,40771367417
nokia,-128,2024-09-04 06-46-53,4547,3,40789296926,1376575679,wWCfZgUw,40711906258
nokia,62,2024-09-04 06-48-06,17271,-87,40730564005,1009220705,IKvUYCql,40752309524
nokia,-71,2024-09-04 06-46-42,-25669,-127,40706044884,1908404248,MTtzFuSx,40707265004
nokia,-13,2024-09-04 06-46-39,-13487,37,40719774895,-1364378756,rfiOUcOz,40743058923
nokia,-13,2024-09-04 06-46-47,12194,-33,40718244063,45583580,IsGerMbl,40769531859
nokia,-103,2024-09-04 06-49-39,-24628,83,40712496351,1700823548,hoZaoRyX,40723296627
nokia,-122,2024-09-04 06-45-48,-24707,72,40740582795,1624643259,hIdvtJfc,40721501266
nokia,123,2024-09-04 06-49-43,-22923,-117,40769416890,390388748,wKDGyYJI,40734452406
nokia,63,2024-09-04 06-47-25,-4756,-116,40799354981,1642300168,hlzfwYYx,40752142136
nokia,-109,2024-09-04 06-45-48,-9176,-114,40786939225,608126125,ailqVKSX,40752698612
nokia,-27,2024-09-04 06-47-41,15494,-27,40799336943,34049568,dqlnAgcn,40719833464
nokia,-113,2024-09-04 06-49-03,-6608,-78,40750043595,1034794077,kUYVQyke,40768962305
nokia,-6,2024-09-04 06-48-22,17856,-38,40779451714,-1804602573,OsoRzGlb,40701230847
nokia,-39,2024-09-04 06-48-43,9317,83,40793230762,1763708914,gcUVvPgT,40753991271
nokia,71,2024-09-04 06-45-53,17469,-109,40706308203,123106514,ygKuEEuB,40772188427
nokia,-66,2024-09-04 06-45-06,-4666,-48,40710275970,1549187394,KGjcEjEx,40752828605
nokia,-74,2024-09-04 06-48-38,15378,-86,40739807418,1267541580,ZQSNFnBq,40714898810
nokia,3,2024-09-04 06-45-58,-25482,-69,40746931114,2040982425,rpCRxpXi,40737812618
nokia,-87,2024-09-04 06-48-46,-10755,2,40775914133,-1692031205,NjWXzRlY,40745728041
nokia,8,2024-09-04 06-48-41,-24914,-48,40728975189,-994710982,WWiiHwKy,40716810834
nokia,86,2024-09-04 06-48-40,6302,-54,40736338944,-1437621748,VmoAHftS,40712786105
nokia,-38,2024-09-04 06-45-44,-25096,-97,40722462588,2003061500,AWkIGDtT,40782201498
nokia,24,2024-09-04 06-47-13,-16439,-12,40788378079,814568932,eWACJHIY,40740836404
nokia,73,2024-09-04 06-49-43,-28720,-63,40748119919,-1173524249,GSDKGsqS,40729751297
nokia,127,2024-09-04 06-46-35,14491,10,40759355424,-1485041599,ZosxzQrY,40771881148
nokia,-18,2024-09-04 06-45-56,-22075,38,40790300512,1666618404,PNrvIbCW,40794554678
nokia,-77,2024-09-04 06-49-10,2671,61,40711359510,1148424539,VuMUsPvl,40721488495
nokia,-90,2024-09-04 06-47-44,28111,81,40788662957,2123092995,BeYSkdgX,40786205213
nokia,-7,2024-09-04 06-46-02,7907,109,40745095244,543300544,TcGasgiN,40763245746
nokia,16,2024-09-04 06-47-59,-18582,127,40717626790,-1154791330,UBLLEJMA,40704625810
nokia,-49,2024-09-04 06-46-21,30290,113,40771552892,-1427565778,RRUOoXtb,40785946835
nokia,127,2024-09-04 06-46-12,-20584,-78,40766316802,-2114665195,EpaZTCbU,40765920575
nokia,-66,2024-09-04 06-48-27,27421,-59,40794327207,-1779459598,VQRlIFBG,40772771789
nokia,-40,2024-09-04 06-46-56,-30777,-96,40781843256,-1270535731,KrtVABEi,40798467737
nokia,108,2024-09-04 06-45-38,-10589,-95,40700485234,-470787334,UDbyInSW,40704578786
nokia,-100,2024-09-04 06-49-16,32662,86,40703689307,-1030989052,xhMOfVGe,40736256572
nokia,18,2024-09-04 06-48-06,-13147,-22,40794387076,957607850,TJYcQrDp,40708492369
nokia,57,2024-09-04 06-46-16,-29587,-93,40764791954,-1555307476,adVnEEFv,40710467492
nokia,-99,2024-09-04 06-46-33,-19098,62,40792646671,5605872,meVxGuUA,40754230254
nokia,-32,2024-09-04 06-49-09,17971,77,40755994724,1704053221,pPLdeHSV,40703993315
nokia,-75,2024-09-04 06-49-28,-31469,-108,40733398487,-1017373081,bzCJMuES,40770077555
nokia,-35,2024-09-04 06-49-06,30289,16,40717126781,-1245059265,loEhmoUN,40707866911
nokia,116,2024-09-04 06-47-15,-14817,-57,40761934458,-1415517152,jiTrBcVy,40744348345
nokia,-93,2024-09-04 06-48-46,31134,59,40734670368,-931642659,gviMdEIp,40752665458
nokia,53,2024-09-04 06-47-18,-24257,-116,40787359922,1880909598,cJiDgptG,40723248463
nokia,-59,2024-09-04 06-46-50,-2063,-38,40772924503,-576348128,UcxPjBfR,40711195532
nokia,-45,2024-09-04 06-48-45,8031,-1,40768847929,1885025495,AqUEfOcd,40787160481
nokia,28,2024-09-04 06-47-45,28406,-43,40789240974,-638336499,GHweuVAi,40775936846
nokia,-10,2024-09-04 06-45-28,-13172,24,40744179307,-1793498985,AaRaXosp,40756647154
nokia,127,2024-09-04 06-48-17,-23639,-46,40735134537,2081142702,ZWFSdvTU,40750970112
nokia,-23,2024-09-04 06-47-41,-15740,100,40743700852,1280505799,vjDPIkoJ,40786780083
nokia,69,2024-09-04 06-48-29,10250,-29,40775639502,134353608,rksdtgtQ,40771567156
nokia,75,2024-09-04 06-48-41,-3234,79,40778091006,1291146384,SMsFMBCL,40734835280
nokia,81,2024-09-04 06-45-59,-16829,115,40793981347,-1734946797,alweezzf,40755895126
nokia,77,2024-09-04 06-48-58,2880,-89,40779917385,25266853,LYnVUYzR,40716451999
nokia,7,2024-09-04 06-48-57,-16808,-91,40735986950,-336989963,IfhbFkxc,40706545240
nokia,108,2024-09-04 06-46-10,-11140,41,40721431068,303120086,PexHoYze,40798631794
nokia,-89,2024-09-04 06-46-23,31283,20,40749736447,-2145785830,lIKNVnrj,40742624511
nokia,-62,2024-09-04 06-46-16,-17856,91,40732063511,-506153665,eslFVxaM,40780742583
nokia,102,2024-09-04 06-48-48,32498,-48,40748401717,1214534757,DwmXsQZK,40704546611
nokia,-4,2024-09-04 06-48-05,1094,-37,40708885755,1911333685,JyyCNXMd,40792313330
nokia,75,2024-09-04 06-47-13,15266,127,40750686618,717166780,OrxUthkI,40712494086
nokia,-92,2024-09-04 06-45-24,-19188,-104,40790664014,-1620425815,SGidVCJY,40748320868
nokia,28,2024-09-04 06-48-58,29539,5,40765449961,-155527115,gXDXWMll,40756582130
nokia,-125,2024-09-04 06-47-10,10561,47,40750909605,-954844364,RBjxiUIV,40756703295
nokia,96,2024-09-04 06-45-52,-6281,-39,40776013889,-1505111248,JODUdaQJ,40785217926
nokia,-8,2024-09-04 06-49-24,-27738,-86,40761345973,-1386226023,sQhxtmJO,40736754779
nokia,68,2024-09-04 06-46-34,17969,27,40784029118,1147658193,EcebeQhl,40799179178
nokia,16,2024-09-04 06-48-50,-31583,-105,40751300565,-1876601541,wPPvKPxR,40759548469
nokia,-82,2024-09-04 06-45-44,7198,-13,40772810435,-906655969,dymfyaIc,40701305969
nokia,1,2024-09-04 06-49-56,-17236,-79,40730733160,316993229,OnSAebfu,40764196015
nokia,82,2024-09-04 06-46-41,-26803,64,40781786466,1395142012,WRWRCbuC,40782917666
nokia,-120,2024-09-04 06-47-09,10141,93,40738870221,-465499433,AuDwoSsJ,40733097056
nokia,5,2024-09-04 06-49-16,31971,-24,40753686153,235912093,VuYcDKfa,40757995376
nokia,100,2024-09-04 06-49-10,-19249,95,40727412343,-32059388,HmQPhixw,40703181900
nokia,-80,2024-09-04 06-49-33,30988,51,40748212824,-640592811,iEhoGgcZ,40766811829
nokia,-122,2024-09-04 06-48-10,3521,113,40755885490,1936522204,WTOAXRUL,40701022768
nokia,29,2024-09-04 06-45-32,10351,-89,40714390310,-1371907225,REHaeeoQ,40730458198
nokia,-81,2024-09-04 06-48-16,27261,-28,40727932674,-2021912638,WAumOyiD,40747263862
nokia,-20,2024-09-04 06-48-11,-8123,-36,40700304131,-349958283,TvtjmCqY,40795262110
nokia,-18,2024-09-04 06-45-52,-23699,127,40765369509,-1548150990,QVIvvZRk,40775948018
nokia,102,2024-09-04 06-47-30,-10404,-44,40720279810,-1940138345,YVFASFHB,40762887908
nokia,-2,2024-09-04 06-48-14,-15720,16,40783256534,-715388149,NvrgwpUC,40765478421
nokia,-14,2024-09-04 06-48-05,25209,78,40776243349,-1413068449,cGMEuSwg,40737997446
nokia,-44,2024-09-04 06-47-10,11958,-113,40705739490,30538987,LQMcSUvK,40760830677
nokia,-37,2024-09-04 06-47-26,3402,-95,40719867021,1318538817,CXjpldGY,40748586429
nokia,-75,2024-09-04 06-47-31,-12189,-106,40732837078,1632036154,MLwOwwMY,40729720377
nokia,-66,2024-09-04 06-46-43,-22347,20,40745507754,1466867672,OPhQjgxI,40792852939
nokia,-120,2024-09-04 06-47-18,-31430,-88,40730648332,1033644086,ZURxajTh,40708441668
nokia,39,2024-09-04 06-49-14,-10688,-92,40713759523,1539975731,dpLZXPmI,40725585022
nokia,16,2024-09-04 06-48-48,-30022,46,40762835027,679387636,KJgpqIbJ,40763669740
nokia,-96,2024-09-04 06-47-01,-26437,85,40741307020,423240515,UfPOyQDG,40729331592
nokia,100,2024-09-04 06-47-20,26134,24,40728474903,1865046017,LwaQJmsI,40786069120
nokia,105,2024-09-04 06-46-26,20023,98,40724174685,-1482856204,weGvtiGP,40752779367
nokia,-35,2024-09-04 06-48-42,24107,-98,40784540157,-321031349,QVkorpUW,40744264776
nokia,-79,2024-09-04 06-49-56,18466,-104,40793623727,-1098859571,BLFpYJEU,40766809501
nokia,85,2024-09-04 06-46-14,15316,11,40729850790,1948359161,gfquSclI,40796637480
nokia,22,2024-09-04 06-47-11,12720,70,40736236440,-652315187,duRLsTHA,40715695179
nokia,-49,2024-09-04 06-50-01,-30310,-65,40728968159,1753650581,TSxAZCcO,40799070502
nokia,-25,2024-09-04 06-45-53,-16608,-84,40735160461,1535741301,BvRijyvd,40746820749
nokia,122,2024-09-04 06-45-03,-27029,-110,40703179520,-1084802964,pCQrtJYp,40764326777
nokia,-31,2024-09-04 06-48-39,-31827,44,40779962210,132781793,fuoVqAlx,40748754071
nokia,-18,2024-09-04 06-45-05,-9329,112,40767225689,802315606,kXISFuCd,40729594240
nokia,-45,2024-09-04 06-49-42,-24552,-4,40721843619,1769860235,KdqTnHHy,40775109747
nokia,-119,2024-09-04 06-46-45,863,58,40777786280,1989139934,sNBbbhUY,40707983060
nokia,-65,2024-09-04 06-47-15,-3811,84,40764172132,-450991352,ZdYigJom,40722401012
nokia,-26,2024-09-04 06-45-40,9219,41,40746716582,-2020520907,nFsKpCgV,40726647611
nokia,44,2024-09-04 06-48-31,-28525,116,40771388848,1862890679,yVGChePm,40776333782
nokia,-90,2024-09-04 06-45-17,17438,44,40771828280,-2020375724,zyTxwkDd,40704368830
nokia,-53,2024-09-04 06-45-05,-27176,104,40783404515,-236389810,RxvbOYDu,40782648070
nokia,-45,2024-09-04 06-46-49,-7799,-51,40707158468,-1606625376,RxxoXjUj,40721924332
nokia,-60,2024-09-04 06-46-23,28957,-24,40719892846,990657485,VIxCjIcV,40759894213
nokia,-117,2024-09-04 06-49-36,-16169,65,40749775205,-1032541245,uBvHCqjH,40784477046
nokia,-76,2024-09-04 06-46-19,-28930,113,40762716817,1234362269,dShnWIbv,40753452917
nokia,-25,2024-09-04 06-45-42,-23290,-47,40761566217,-1661542582,QhiuEoDI,40728390764
nokia,-61,2024-09-04 06-49-35,8283,105,40714457220,-1186893561,DERjJIbG,40722569505
nokia,85,2024-09-04 06-45-03,-15431,-4,40788124261,654042783,hvvwcJGR,40743678123
nokia,-128,2024-09-04 06-47-24,-15022,-71,40797303646,849669003,rvMzzmFt,40721899707
nokia,-110,2024-09-04 06-48-08,1240,66,40739384609,1253243519,wYmqZsvf,40751903353
nokia,-103,2024-09-04 06-46-05,6096,3,40700500318,778850613,iQnRUAro,40735019640
nokia,123,2024-09-04 06-48-19,-30399,-12,40714494608,1615536012,CiCIsRGL,40782546657
nokia,-68,2024-09-04 06-45-11,-27910,18,40771694001,-400206763,vvQXBUJY,40732907964
nokia,-13,2024-09-04 06-47-30,-19122,94,40713159053,1664338575,ePiACUdL,40794936605
nokia,-13,2024-09-04 06-49-45,22555,118,40765031432,-1443586751,ZeQYMWGM,40746278868
nokia,34,2024-09-04 06-45-43,-21912,-98,40782487133,-568343962,cGwrxVCO,40767184348
nokia,-21,2024-09-04 06-47-42,-12922,-106,40735244970,-1175109103,LPRPqvAz,40749656489
nokia,104,2024-09-04 06-49-58,-10866,112,40718354535,1123463920,uBaIYOTH,40705665784
