src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,103,2024-09-04 06-55-56,-13224,100,40721417707,-1401249447,siDKwCEm,40792295904
nokia,-81,2024-09-04 06-59-34,13866,-81,40725019056,1676605412,JQIBlLKS,40726398306
nokia,31,2024-09-04 06-59-47,31694,-11,40738468577,1529656223,kLbMctNA,40746360201
nokia,95,2024-09-04 06-56-49,20048,127,40768323755,-1520674506,HBhRtyGY,40757896176
nokia,-76,2024-09-04 06-59-41,23883,-44,40756951337,301997141,Zedratyb,40722830914
nokia,92,2024-09-04 06-55-23,1524,21,40775678906,-2108358892,qOfDzoPy,40729547412
nokia,116,2024-09-04 06-56-53,-10801,46,40767422989,-12976961,qSdLTwwj,40734701766
nokia,-25,2024-09-04 06-58-22,-17760,-33,40709162477,555472999,bxxbZTsU,40729810346
nokia,120,2024-09-04 06-57-33,-2313,51,40769843504,1767266042,baDsCDLc,40769921252
nokia,-84,2024-09-04 06-58-08,-27579,-13,40707967689,-2041102690,iMMlZFeW,40718576602
nokia,-32,2024-09-04 06-59-04,-1931,62,40732672830,-283436178,aUFJXnNH,40756541778
nokia,65,2024-09-04 06-57-01,23739,-44,40770185321,606956423,icosEVoR,40732566323
nokia,-126,2024-09-04 06-59-50,-22406,121,40772427138,-233056371,JXHWgmLn,40726360804
nokia,54,2024-09-04 06-55-04,19328,-126,40732226128,1704878719,emShtWFS,40722387051
nokia,70,2024-09-04 06-58-20,14430,-72,40737547081,9565684,EBLjELrF,40793899958
nokia,95,2024-09-04 06-55-16,15885,66,40775746912,1451353074,vGfrZhQN,40788025976
nokia,-12,2024-09-04 06-58-57,11925,37,40721815801,-1709662629,sOpOJdkN,40792771355
nokia,123,2024-09-04 06-57-55,-14754,-1,40736408830,56164476,kUbPxKMf,40715275773
nokia,3,2024-09-04 06-57-58,30560,-109,40708566007,-617515341,BkLiAFPj,40763643929
nokia,127,2024-09-04 06-56-31,-10272,-40,40702945221,-617109127,iMASxDqo,40794413654
nokia,19,2024-09-04 06-58-18,18348,-32,40744490085,-895610347,SFxieaSC,40702253837
nokia,-76,2024-09-04 06-59-39,-13152,-62,40732876151,437359283,peBxypVK,40736854741
nokia,121,2024-09-04 06-57-20,13244,-33,40792369611,-1469866364,amWvvJIc,40778736760
nokia,123,2024-09-04 06-58-05,7563,60,40729959499,-1945077926,wWNciXsu,40703063106
nokia,-93,2024-09-04 06-55-32,-17935,-20,40767733216,-788431684,WVBJMCBd,40751556776
nokia,24,2024-09-04 06-56-03,13088,12,40795152517,425223742,kcSbvYGA,40763975644
nokia,15,2024-09-04 06-56-27,21166,70,40774482836,-68617701,sPvzRwkK,40702788843
nokia,18,2024-09-04 06-56-01,-11218,-66,40796626920,-795444470,vZvyRPyX,40756640195
nokia,-99,2024-09-04 06-59-58,28714,-18,40784872459,1897526115,wXirxHZY,40756788635
nokia,-73,2024-09-04 06-57-33,-27615,-97,40752287416,1180014748,OvHZbNWa,40766006034
nokia,-36,2024-09-04 06-58-30,-8613,-47,40704328269,28462368,mqRLLlVx,40780932878
nokia,-70,2024-09-04 07-00-01,-27641,-15,40708338654,-1197997960,RmzMOjlT,40757435180
nokia,23,2024-09-04 06-55-55,-17414,116,40791330437,-266889647,ubeuQFjF,40713243773
nokia,49,2024-09-04 06-55-31,-24406,-90,40709351902,-1850341761,MZzlBPSk,40782972170
nokia,102,2024-09-04 06-56-55,-20117,127,40765431181,-1462359361,XqJpxXzV,40785118536
nokia,96,2024-09-04 06-59-07,21755,-32,40789844973,1192795623,EvoIIqgx,40703343669
nokia,-18,2024-09-04 06-55-57,14520,-85,40790088328,-1050165037,lUdFWzhj,40746554850
nokia,-87,2024-09-04 06-59-32,3670,80,40750955095,-768583125,HwSMcWwK,40750859986
nokia,-121,2024-09-04 06-56-38,-3659,-118,40764402449,-1193804746,Fifqniqq,40789384779
nokia,13,2024-09-04 06-55-36,13500,-42,40726757021,1212957778,UdDsNadM,40730651011
nokia,66,2024-09-04 06-57-33,31379,2,40700446523,-1102602320,ffrcDtII,40772768291
nokia,-19,2024-09-04 06-59-03,1733,9,40798570053,-528706705,AkVeohQk,40794058129
nokia,3,2024-09-04 06-56-37,14351,-65,40724227001,1406246386,YDGxgQOi,40733798109
nokia,-13,2024-09-04 06-57-59,-1106,15,40732021644,528010275,vJGrdbIJ,40752643953
nokia,-108,2024-09-04 06-55-23,-14957,-82,40714643165,829100844,ltiBJHDW,40775677395
nokia,19,2024-09-04 06-59-36,-4063,-27,40786552883,-579613555,LQNAvVtp,40751820504
nokia,-13,2024-09-04 06-57-55,-23037,81,40783651765,-879936956,UUBbebsp,40770534319
nokia,-88,2024-09-04 06-59-48,-3728,-56,40752981085,457526653,esdMiTqi,40791937137
nokia,-65,2024-09-04 06-58-15,-10162,74,40741433019,-1539553182,ScGMJAvc,40789440951
