src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,69,2024-09-04 07-10-01,-10512,27,40753698485,1223018144,JpVACroP,40793857356
nokia,113,2024-09-04 07-08-50,8588,-37,40719437318,-388745930,KLmQlGMc,40752633685
nokia,-12,2024-09-04 07-05-02,-9499,-110,40791793490,-399804708,KFMgOeYF,40751512074
nokia,105,2024-09-04 07-06-01,-29357,-115,40749454236,-1522019405,vFyMaTni,40774620724
nokia,62,2024-09-04 07-05-53,22985,27,40750151204,2085235201,tWaVIsbY,40762235100
nokia,65,2024-09-04 07-07-39,-7064,23,40749249794,2009300758,SVQlGDjd,40747235884
nokia,-12,2024-09-04 07-05-53,23902,65,40719040100,1070013843,OOnYbYCQ,40762106942
nokia,103,2024-09-04 07-08-44,1547,101,40755112454,-1970181141,hMGplWGl,40798021895
nokia,33,2024-09-04 07-06-24,-1311,15,40784501376,234295055,IMdMyZgF,40733187976
nokia,-71,2024-09-04 07-06-23,31798,110,40710157871,-799995257,MyEiNqVe,40796280356
nokia,33,2024-09-04 07-09-43,-29714,83,40752863590,2021574782,EurjJqKz,40715929171
nokia,5,2024-09-04 07-07-41,29037,-108,40761243699,1885827735,jHePlnAs,40750174425
nokia,126,2024-09-04 07-07-55,4755,-78,40737943197,1355859240,PrSUqOWi,40717695987
nokia,-1,2024-09-04 07-08-14,20276,72,40762150538,764404855,gRBucRaV,40798539721
nokia,57,2024-09-04 07-05-18,23484,6,40720125545,-146894697,GHKpTeDD,40799233150
nokia,-113,2024-09-04 07-09-29,23648,-15,40713606617,1939955924,UthHcMdU,40741636263
nokia,69,2024-09-04 07-05-30,26775,-46,40780747206,310732686,KIQCRCET,40713052918
nokia,106,2024-09-04 07-08-50,16105,-52,40793965955,-246454581,FDTnLYqA,40713246414
nokia,1,2024-09-04 07-07-12,13599,-77,40758377591,807446982,VraJVFfr,40713660445
nokia,16,2024-09-04 07-08-32,-28181,-70,40776078753,-540943436,eRXFEAMo,40775091041
nokia,-23,2024-09-04 07-09-38,-16191,-28,40781122910,311028549,TAhIDrlX,40707338690
nokia,46,2024-09-04 07-07-03,-11430,127,40740585675,797479795,CEUtFTxu,40783824206
nokia,-36,2024-09-04 07-05-31,24272,-123,40718459277,2112008002,hzrrknju,40776250003
nokia,-51,2024-09-04 07-05-38,-1877,-95,40788628797,-2096338693,BUhBHrlW,40778502525
nokia,51,2024-09-04 07-07-51,-22276,-114,40781586081,-414294054,NLTOrxsm,40765651566
nokia,127,2024-09-04 07-09-50,-20855,20,40795866245,1592621160,zJGZzKEs,40789047121
nokia,107,2024-09-04 07-09-01,-18156,39,40702218076,1823168930,nQtBttsX,40717507695
nokia,-98,2024-09-04 07-05-41,3773,61,40731012772,1725550785,FDFPPpiX,40715710453
nokia,-67,2024-09-04 07-06-40,-7925,-88,40741083338,1204775120,iEFKOZnk,40732431190
nokia,-117,2024-09-04 07-07-15,17128,-31,40726352424,301397900,rjqBGtUB,40739202834
nokia,-127,2024-09-04 07-05-30,-31121,125,40772490918,-885973169,iNKZtVBH,40755724023
nokia,59,2024-09-04 07-07-55,5520,-126,40794341759,672251132,QBbvlVtX,40775661470
nokia,78,2024-09-04 07-07-00,11544,-28,40747865555,1142316841,FNLauTGQ,40759789820
nokia,-39,2024-09-04 07-06-05,10375,127,40736056285,-774849006,FQDQWkDz,40742224951
nokia,42,2024-09-04 07-10-00,-13339,64,40734001347,-352335903,eAFIMYLk,40788769782
nokia,-92,2024-09-04 07-05-47,-29249,68,40718083365,466553609,JScjUlZe,40796558808
nokia,23,2024-09-04 07-07-33,2612,-84,40777732403,-959945019,grugslQC,40766034001
nokia,-76,2024-09-04 07-08-08,14735,70,40713615429,-1941140373,ZcDyDzJL,40736355159
nokia,-26,2024-09-04 07-05-03,-21135,-8,40739930721,468606987,EcrFFSST,40709196602
nokia,-27,2024-09-04 07-09-16,-17284,-53,40721299201,1071714165,ZPSBLhyR,40763076930
nokia,57,2024-09-04 07-09-41,-13161,-49,40798344197,-589324099,ULizXnZZ,40763266846
nokia,118,2024-09-04 07-06-07,3959,-59,40762103613,807545906,wLWzecFl,40758033862
nokia,-36,2024-09-04 07-05-51,2184,27,40742066861,-645797325,GSnWgszy,40705033167
nokia,90,2024-09-04 07-05-41,-3992,-114,40714693427,289430051,AnhJqpOj,40752090980
nokia,-121,2024-09-04 07-08-10,-6373,-57,40737632432,1127560374,TxpVbXZm,40733638505
nokia,19,2024-09-04 07-09-39,-7535,49,40797032194,-1273563354,SmEmYYea,40788122174
nokia,-39,2024-09-04 07-05-23,-1613,97,40756761096,1973727868,onbYLfLO,40727582845
nokia,19,2024-09-04 07-07-39,16708,86,40704258128,1563989886,oruuBCgq,40720663017
nokia,-21,2024-09-04 07-08-25,-22779,-4,40746667208,-697272631,GzkDLRNl,40793162293
nokia,11,2024-09-04 07-06-13,25135,110,40739741753,-439600422,jcsmejJn,40747202750
nokia,-70,2024-09-04 07-05-12,-3296,31,40736030952,618533723,hJbwUsBY,40784986718
nokia,79,2024-09-04 07-07-14,4658,16,40733200135,1783900508,EBAnqNaa,40798567579
nokia,-124,2024-09-04 07-09-50,30693,-96,40749999798,754666660,xQfhloMh,40762857123
nokia,-91,2024-09-04 07-07-11,10935,95,40788827050,2136134044,zDuIbYOJ,40770734953
nokia,-87,2024-09-04 07-09-34,10781,-50,40747886726,2004351005,duaNtJDM,40760987775
nokia,-128,2024-09-04 07-08-27,-3229,118,40799555456,444638187,zbHaxYBa,40790452723
nokia,-104,2024-09-04 07-09-44,-28317,108,40733342685,561275711,YcBUXEfi,40709859808
nokia,44,2024-09-04 07-08-41,-21756,-45,40713754961,-739405076,OAweMLjX,40752832765
nokia,-82,2024-09-04 07-07-03,12737,18,40733993097,-1880524965,TROGlVRw,40713744759
nokia,0,2024-09-04 07-06-25,13145,83,40742310372,451947531,yxOkFdDZ,40708815897
nokia,-71,2024-09-04 07-05-51,28807,40,40797929419,2085405961,mgwxBtvJ,40749321380
nokia,40,2024-09-04 07-06-09,-19067,-10,40750463215,1109959717,hlDCveyj,40747688901
nokia,-44,2024-09-04 07-05-44,8740,102,40732107817,885721300,HjHTGvKX,40738097364
nokia,5,2024-09-04 07-08-55,26284,-110,40711728745,389406925,eAmAIViD,40708638993
nokia,92,2024-09-04 07-09-12,-17869,117,40734294304,-347321717,MLtEFbQV,40784399702
nokia,-21,2024-09-04 07-05-44,-4101,-11,40707049164,1588273734,lmHycRsn,40763400445
nokia,-91,2024-09-04 07-06-05,10009,123,40707592932,1070263828,fcxfTnss,40762453083
nokia,42,2024-09-04 07-09-24,-20589,43,40703068446,-1591695799,aJLVAkgb,40771949478
nokia,25,2024-09-04 07-05-47,8780,19,40756593329,-1310378168,SUSBOKMK,40786415437
nokia,44,2024-09-04 07-07-59,-12283,103,40760020714,645851325,cYCBiTCC,40713782757
nokia,-91,2024-09-04 07-07-58,20558,36,40770690827,-326642332,UjNGTRYL,40781000362
nokia,-62,2024-09-04 07-07-09,-31486,113,40756591023,556819057,fFiRZvGC,40711897795
nokia,110,2024-09-04 07-06-56,30862,-86,40747065970,1547436215,wmmdQrcu,40703794731
nokia,-84,2024-09-04 07-08-46,258,56,40753222857,1188677158,NCoKshtt,40753733382
nokia,36,2024-09-04 07-09-37,-19144,-29,40706940920,66125485,JRihsOOK,40761521613
nokia,74,2024-09-04 07-09-38,26039,-57,40724635558,2084870596,sjugrqex,40704737105
nokia,125,2024-09-04 07-05-02,23943,-59,40766882088,-76452301,BJmWKmrK,40761141560
nokia,-53,2024-09-04 07-09-43,-16284,-93,40739860199,424430256,fmMDLCqq,40786745219
nokia,-104,2024-09-04 07-07-27,29355,105,40767951914,-747027934,rzhUVCye,40746894557
nokia,39,2024-09-04 07-07-54,16472,119,40770353197,-150683018,weVzrxeG,40724940950
nokia,12,2024-09-04 07-08-34,-6918,-70,40707585016,-687710364,gKmjBGNU,40746608156
nokia,64,2024-09-04 07-05-35,-12666,73,40756518970,1643436869,FCDiEoqc,40748376137
nokia,38,2024-09-04 07-06-44,-11709,-86,40700882462,-921624433,ZcYeGGOv,40728294254
nokia,-119,2024-09-04 07-05-19,5615,-53,40730512730,132026891,yAtXTZJF,40760909906
nokia,0,2024-09-04 07-08-30,21050,-113,40755909297,-945931742,jUHJSWaN,40733032049
nokia,3,2024-09-04 07-06-41,-28415,96,40720695249,-1686303374,HhMeUXnT,40705195956
nokia,23,2024-09-04 07-08-49,8492,-45,40794326761,1093019496,nQuLiheL,40732882428
nokia,66,2024-09-04 07-06-21,-23351,-111,40780339112,-1416540345,OXAAYMry,40727269452
nokia,24,2024-09-04 07-09-26,-27921,-39,40746968301,67153851,PfrWcDzk,40774973608
nokia,53,2024-09-04 07-08-28,-15137,-70,40764461623,2124907247,hSSJxrFA,40766463698
nokia,34,2024-09-04 07-08-13,12155,-77,40788889233,-325432529,knIttCcD,40713784319
nokia,123,2024-09-04 07-06-01,-30153,-84,40703087210,-1282687327,JysqgZBV,40738193077
nokia,65,2024-09-04 07-09-31,-12395,63,40788377266,-557615114,CHJSNhLT,40755434663
nokia,73,2024-09-04 07-08-32,-23592,-47,40745481486,785002873,HyJsehrD,40738708636
nokia,120,2024-09-04 07-05-04,-8687,14,40718102393,32421544,CqjyiXsD,40740143536
nokia,-121,2024-09-04 07-07-13,3361,96,40716400373,-1984936570,dQbvLwxl,40705028738
nokia,123,2024-09-04 07-06-53,15430,-63,40769014687,2072067703,tnerENpA,40728084984
nokia,66,2024-09-04 07-08-27,-30748,57,40769468127,-1793098030,jpmZaAHF,40716181118
nokia,-119,2024-09-04 07-08-19,29803,53,40784130867,-703875781,vwghVren,40799049121
nokia,10,2024-09-04 07-07-07,1549,-100,40764030691,-830069717,rIZrDbbv,40729343640
nokia,-33,2024-09-04 07-08-11,20963,6,40775859898,-983992622,YkoElrrC,40736743690
nokia,-61,2024-09-04 07-07-18,26631,85,40715311964,1937626570,oXAEGJQC,40764775835
nokia,-110,2024-09-04 07-05-17,4573,92,40769856754,-1014491116,jkwaJSAm,40734629434
nokia,-13,2024-09-04 07-07-32,-6710,-100,40747718904,-1502650895,wqIoQFKx,40758261310
nokia,65,2024-09-04 07-09-34,22741,6,40725927954,-1135709565,EXmLJpOg,40783832854
nokia,-100,2024-09-04 07-08-45,25252,122,40796668736,686170891,kFnYLTbL,40774792907
nokia,-42,2024-09-04 07-09-17,2789,69,40784035865,-1164595578,SwtUzUYL,40787064756
nokia,97,2024-09-04 07-05-09,-15777,-96,40783509990,1061890326,tPYNieEJ,40786152897
nokia,-53,2024-09-04 07-05-14,3085,-9,40705945234,893829244,LRuPajiQ,40762468988
nokia,-124,2024-09-04 07-06-46,-14756,126,40741917000,2140928574,rBKAXqKT,40739112146
nokia,-126,2024-09-04 07-05-13,-4480,31,40715818474,-106818691,FoipLmcm,40777833900
nokia,-62,2024-09-04 07-06-24,31242,64,40756469860,1978994247,ieqgbups,40743012448
nokia,-46,2024-09-04 07-05-26,-4102,-84,40747244326,1215846985,VjbXaESo,40751710142
nokia,104,2024-09-04 07-08-19,-23734,-117,40746332708,138211541,MekObFJj,40713813980
nokia,3,2024-09-04 07-09-11,15888,-13,40714435348,-1103197430,taddkMgk,40774312340
nokia,-64,2024-09-04 07-07-53,22782,-45,40799771670,-203111359,HgcgQSNO,40745515736
nokia,-82,2024-09-04 07-08-43,25649,122,40724836039,1583075134,TrScmeWK,40720386602
nokia,-97,2024-09-04 07-09-42,15184,115,40759446212,-1054103889,RjjSXKNI,40746775483
