src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-119,2024-09-04 07-23-32,-29094,19,40746436213,222980550,BUeLNqCe,40757922108
nokia,-24,2024-09-04 07-20-51,-15670,-106,40773531527,1150488272,JpUVXBss,40755074820
nokia,11,2024-09-04 07-22-53,8397,118,40700234460,-1111267255,PWsFSDFW,40797912382
nokia,-35,2024-09-04 07-21-24,-31790,69,40782883836,-1196638950,JjiHVqjl,40773007617
nokia,125,2024-09-04 07-21-22,10869,105,40731325589,661521202,ctexpyMb,40723551242
nokia,-118,2024-09-04 07-22-28,-23457,-93,40730612592,1007136723,UiMgwveI,40709831833
nokia,31,2024-09-04 07-21-15,16778,0,40720961451,1597012061,uutAZRyI,40707661894
nokia,-16,2024-09-04 07-23-14,20151,-105,40773260842,-1724489352,cnIQOGTV,40765321846
nokia,-86,2024-09-04 07-21-28,-27104,81,40775635060,-107338201,QZadEghX,40729620018
nokia,0,2024-09-04 07-20-03,-6895,6,40713917990,-1504892375,QAKNQoKT,40701701848
nokia,-48,2024-09-04 07-21-24,21684,-37,40707733371,722881988,aZaTRuCH,40761988970
nokia,-79,2024-09-04 07-25-00,18109,-55,40714370819,-1426081851,XsipyQMn,40771012663
nokia,-96,2024-09-04 07-21-56,-18572,47,40728523826,-560612054,GkKjKKIV,40742199049
nokia,0,2024-09-04 07-22-33,21115,-82,40777369463,-1775052471,ghiIHYmH,40716104721
nokia,56,2024-09-04 07-20-23,-15377,-121,40714720110,-18763219,uPUHtkFi,40797203479
nokia,75,2024-09-04 07-24-32,32161,-5,40781201330,562763385,CICnAQmX,40721929234
nokia,-62,2024-09-04 07-23-44,-8524,-12,40741520261,1580393295,UpaqtwLa,40710711636
nokia,-14,2024-09-04 07-22-35,17877,21,40793511345,-1662993962,kozAMYiO,40765916019
nokia,-73,2024-09-04 07-24-12,2744,-121,40745152179,1588345482,aLHKXZlU,40734442672
nokia,41,2024-09-04 07-23-56,2629,-60,40784061379,1442266864,mLmFwjLr,40731444202
nokia,95,2024-09-04 07-20-06,17881,-98,40727591192,-1002429898,EmvLdxfA,40701017846
nokia,-76,2024-09-04 07-24-32,20109,-115,40774005941,501474554,iXkkYaLF,40702408731
nokia,-106,2024-09-04 07-24-53,-15230,105,40796514795,-2056518306,KTYzpWjy,40720845292
nokia,51,2024-09-04 07-20-54,10832,32,40757207616,2042786053,awSoWksm,40764669092
nokia,-4,2024-09-04 07-22-45,26113,-49,40708087429,-259526334,yrDZEKrw,40772951304
nokia,-18,2024-09-04 07-22-14,28680,117,40748965493,2036806167,OnrYJQKN,40757147458
