src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-54,2024-09-04 07-34-39,-1763,73,40767540297,1855240672,BsebNQkA,40735296760
nokia,-119,2024-09-04 07-30-43,-2700,53,40730958766,-701242248,PaUiweDm,40737862150
nokia,-3,2024-09-04 07-32-09,15598,84,40770562535,-1127718396,UkIuqavp,40768356857
nokia,-82,2024-09-04 07-30-48,1895,-40,40790689466,-1680136394,FRCoWuUZ,40789753554
nokia,38,2024-09-04 07-33-49,3164,126,40780816487,349337141,tUKESynI,40786773436
nokia,52,2024-09-04 07-34-54,16379,47,40755204420,1256195575,NwwgWvKQ,40724869447
nokia,103,2024-09-04 07-34-46,-29713,17,40712154257,648780388,aCSbUHqE,40705164982
nokia,39,2024-09-04 07-32-18,-7376,40,40755252949,1450760248,joQvzEQg,40780554086
nokia,34,2024-09-04 07-31-21,30704,-38,40705675499,-1453215349,tdLyMlZT,40724666667
nokia,-46,2024-09-04 07-32-26,-16156,-97,40751073575,-1523036945,yJdkmpaz,40796792125
nokia,-37,2024-09-04 07-31-43,-21663,73,40744833059,-892982792,PkDnXXhn,40753360792
nokia,-32,2024-09-04 07-32-15,27557,18,40782658015,-509659712,yaBXGdiC,40771501767
nokia,-82,2024-09-04 07-31-53,16616,34,40782623528,-1513440005,nDTpjTeh,40722978664
nokia,-41,2024-09-04 07-33-38,-8125,86,40744493244,-2138870695,aRjZjBAb,40749408219
nokia,94,2024-09-04 07-30-52,25587,-106,40722681996,2107283696,LrtgrAJH,40787922771
nokia,-47,2024-09-04 07-30-04,-17213,24,40744142051,-716420193,InHRrJRZ,40728711456
nokia,-41,2024-09-04 07-30-43,22199,-89,40783488415,-1179747491,OgmpKlav,40703021472
nokia,-55,2024-09-04 07-32-02,-31593,-52,40747720557,464868343,OCiLyFlx,40738239543
nokia,31,2024-09-04 07-31-10,-23554,122,40751304706,2034937018,oLzSnpGk,40790253189
nokia,-56,2024-09-04 07-33-26,9885,115,40720677815,1965659625,iGKFSzOx,40716900654
nokia,54,2024-09-04 07-32-42,-24298,81,40796233547,1220120321,LeWzanOM,40791839035
nokia,-42,2024-09-04 07-30-51,-26227,-119,40715151571,1195092929,LPLmMrHQ,40704315449
nokia,-2,2024-09-04 07-34-39,31201,65,40730308526,-1084484737,sItxvWjn,40770339125
nokia,-66,2024-09-04 07-33-00,26253,-32,40718575673,-174968428,uZvZGqgE,40701118315
nokia,-74,2024-09-04 07-33-37,-12222,-2,40765416396,-245443813,lLBMCDcG,40784429736
nokia,53,2024-09-04 07-34-00,-7052,76,40778942872,910469192,AAyRpMtU,40796090837
nokia,6,2024-09-04 07-33-04,-10771,49,40780846058,1603358444,BNjPSLsP,40755095660
nokia,90,2024-09-04 07-33-36,-27499,-89,40734682008,-305080475,qFQPEgeC,40774276313
nokia,46,2024-09-04 07-31-03,-27305,-77,40709256647,-59389398,FzVsocsX,40747740705
nokia,96,2024-09-04 07-30-04,-4346,93,40746146878,1206842131,xudyebKB,40715621195
nokia,120,2024-09-04 07-30-27,-15684,31,40737112336,-1841495295,AcAyXQJV,40771197973
nokia,17,2024-09-04 07-32-26,26972,114,40779919833,-621238436,amkSvswN,40758476825
nokia,-5,2024-09-04 07-33-17,-25766,-100,40778657304,-515367056,oaAauutA,40787448450
nokia,87,2024-09-04 07-33-22,-5370,-14,40761355940,-357059428,oTkHOWfo,40770080935
nokia,-89,2024-09-04 07-33-02,-10022,-75,40739618422,-242795641,xECdZrUh,40704385938
nokia,52,2024-09-04 07-32-16,2358,5,40743912709,1438937257,AxJuVRCE,40773374970
nokia,-119,2024-09-04 07-33-22,25528,116,40790027315,-27423948,BRyalCxy,40774173386
nokia,31,2024-09-04 07-32-58,-21004,-58,40763453428,-1496511969,LClqSvyE,40763945825
nokia,-10,2024-09-04 07-31-37,13723,87,40713353132,1511832898,iIYzCdjG,40715034545
nokia,83,2024-09-04 07-33-43,31500,42,40707169799,-269477417,cdtwrekb,40708528193
nokia,-11,2024-09-04 07-31-03,-4095,-123,40793057814,-162105722,noGUntkZ,40702611670
nokia,56,2024-09-04 07-33-03,23244,-89,40786875846,1939788466,LZHDGJbo,40735416157
nokia,56,2024-09-04 07-31-23,-30655,45,40784144610,315419808,ZoIQHKBK,40780158263
nokia,-109,2024-09-04 07-30-56,-4126,-21,40785136643,-746439287,jGAxgdDU,40700368805
nokia,-46,2024-09-04 07-33-58,30888,-11,40707908849,962222997,qhpvcMcS,40703152340
nokia,-45,2024-09-04 07-34-22,-3107,108,40719160174,-1483505739,MdfSvMpJ,40768239969
nokia,50,2024-09-04 07-33-55,-6087,58,40711915116,2013649355,JjjDWFGy,40789689995
nokia,-122,2024-09-04 07-34-01,-17716,-50,40787198311,-1251196888,vRtrNMnl,40786882284
nokia,110,2024-09-04 07-30-15,-3280,124,40798992053,1141992689,pQtzWiGa,40708425488
nokia,-33,2024-09-04 07-33-43,30596,44,40765301442,-701361947,kiQHIaWB,40794185660
nokia,9,2024-09-04 07-30-08,555,-74,40765188857,706349728,YugyPXnn,40748723276
nokia,-121,2024-09-04 07-31-09,21995,88,40750429795,1829600991,pdXBmhWb,40792201514
nokia,58,2024-09-04 07-32-21,-12078,-116,40710642038,-527523868,aKYscqlU,40779902254
nokia,-7,2024-09-04 07-30-31,19304,-10,40760306726,-1909765301,PCtHEwMt,40757739095
nokia,120,2024-09-04 07-34-46,-7360,115,40782663060,-556834146,GKqcERQj,40735738239
nokia,113,2024-09-04 07-32-50,31410,27,40762798246,1126845396,xznEMDWu,40715650498
nokia,-47,2024-09-04 07-32-38,-30370,61,40765572178,-377312482,cwUpRbHQ,40708439520
nokia,-24,2024-09-04 07-34-39,5065,-81,40793399371,1601613902,tUGdKFuE,40790763092
nokia,-54,2024-09-04 07-31-56,6756,-83,40705440678,516961311,MgsvguAW,40709965115
nokia,32,2024-09-04 07-34-23,23813,71,40760349734,1255428156,yQCMRDJh,40748673514
nokia,91,2024-09-04 07-32-03,-1258,-58,40787758500,951693750,iTfzRnIF,40777572182
nokia,71,2024-09-04 07-33-33,-27124,107,40776981066,1049221026,hYFbNHLa,40747749682
nokia,-54,2024-09-04 07-31-44,29123,80,40764870688,1674024135,skBcndxv,40747682771
nokia,-109,2024-09-04 07-34-46,13655,-80,40711519895,-979318331,RruZgUUa,40749743803
nokia,51,2024-09-04 07-33-45,-20600,-121,40792595011,-1041281567,tdkUPefi,40795948981
nokia,49,2024-09-04 07-34-42,-23236,-91,40728836101,22416531,AGzjROXT,40738772048
nokia,-83,2024-09-04 07-32-07,22793,-10,40728159226,2109973523,VDVKGcEW,40776204897
nokia,113,2024-09-04 07-34-52,-5586,-40,40771605469,-1508439197,dIiLxBPG,40798630192
nokia,-116,2024-09-04 07-31-41,3352,45,40706804010,288487292,sfrFIOcx,40781847216
nokia,44,2024-09-04 07-33-01,24293,-28,40713287000,-198727462,BYaowtgl,40789941925
nokia,-45,2024-09-04 07-32-53,-14657,28,40734008864,1269492143,URWmiufW,40748084898
nokia,23,2024-09-04 07-32-11,-21198,-82,40778386385,-411252702,aYOtzBzV,40748635458
nokia,104,2024-09-04 07-33-24,22483,-3,40710610638,1133691514,AlxHJRDg,40780106583
nokia,-109,2024-09-04 07-34-29,24149,-97,40779843661,928749324,bEMcaFwx,40792236869
