src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,9,2024-09-04 07-36-48,3702,-30,40750968634,-155601223,VMtSzqlJ,40780994579
nokia,-40,2024-09-04 07-35-19,18151,-37,40792351981,-1952663367,QYgcbFzp,40785051018
nokia,-60,2024-09-04 07-36-45,-1313,54,40780200488,405675726,HYYDlHOK,40798866078
nokia,-81,2024-09-04 07-38-11,-29366,-34,40730286178,715339410,VLWRMgSB,40731816909
nokia,-126,2024-09-04 07-38-14,20743,-50,40758016998,1244640895,HSpGCCxB,40732211662
nokia,66,2024-09-04 07-36-38,-22509,-128,40742691929,-310015109,biQZCtgB,40757189763
nokia,-77,2024-09-04 07-35-07,-23488,-64,40781540678,-1344382200,pVIxizOT,40726799531
nokia,118,2024-09-04 07-37-20,17977,81,40768528355,532229542,QBfLTwhD,40715525537
nokia,16,2024-09-04 07-39-17,-4761,-36,40726560189,1105870907,HrDufpzL,40757951185
nokia,1,2024-09-04 07-35-53,-29818,-32,40721341045,-1242508318,UyZogISq,40793600503
nokia,-61,2024-09-04 07-37-03,5261,27,40782894288,-1356243240,dRQFkPJm,40761193811
nokia,-21,2024-09-04 07-35-42,-3637,5,40760713558,2287476,lbBGFqIJ,40704153462
nokia,-1,2024-09-04 07-36-54,28607,93,40735530931,2057410515,eZblKUEy,40704293025
nokia,51,2024-09-04 07-38-09,-10487,58,40735204104,-1316296600,blIvJeLk,40769004291
nokia,-30,2024-09-04 07-36-24,-3710,-33,40767704704,-1635521639,fExAsrat,40797365890
nokia,110,2024-09-04 07-38-30,-16832,-47,40730358989,-290051103,qZUvkmkF,40775596561
nokia,-70,2024-09-04 07-35-26,-14349,84,40773585888,1056915112,gOXUBAFy,40757725672
nokia,52,2024-09-04 07-39-54,22376,2,40735999484,165729155,rcEyCBoA,40798174209
nokia,113,2024-09-04 07-38-44,29355,-42,40799959542,-1564579356,AnwwhDFx,40745857250
nokia,-95,2024-09-04 07-35-33,-16613,94,40733282988,-1128129997,jsNNSHOr,40795550095
nokia,113,2024-09-04 07-37-38,28554,50,40797033678,-241146025,KQJKcugK,40746017535
nokia,-24,2024-09-04 07-35-52,-13642,-34,40759996314,-1958741343,gKwImyiy,40760691727
nokia,-44,2024-09-04 07-36-45,-5888,-6,40743980705,905980224,UoJqhLYf,40725511026
nokia,-11,2024-09-04 07-37-23,30962,-83,40794517276,808421855,ivCbznvK,40787721415
nokia,-85,2024-09-04 07-39-59,-1045,88,40701057370,547879219,wVcBRPvY,40799494827
nokia,-106,2024-09-04 07-35-27,-29862,-128,40724364551,833095378,RmlttSoZ,40737515075
nokia,37,2024-09-04 07-39-10,-31179,60,40789464634,1258781720,WuPpyJlf,40703775839
nokia,-21,2024-09-04 07-35-11,-11351,34,40737073725,-1060252448,tWAuQtsW,40776268123
nokia,108,2024-09-04 07-38-07,31910,17,40706162972,114197701,XsrAcypC,40767494314
nokia,94,2024-09-04 07-36-34,-720,23,40731862675,969621491,VFuvRGpG,40797499642
nokia,-101,2024-09-04 07-39-03,21012,-6,40775306958,-1628339342,Fcwwxgso,40708733138
nokia,-125,2024-09-04 07-38-36,21450,-12,40726954088,1315589879,oXRvePJQ,40795072332
nokia,-97,2024-09-04 07-35-46,-4582,29,40740976716,1851371188,eQlumuDP,40788850353
nokia,-67,2024-09-04 07-36-10,16954,43,40733018796,-1236076862,XpQcKjGs,40700430855
nokia,32,2024-09-04 07-36-39,643,74,40743757348,649739178,DOYUrqng,40727802048
nokia,101,2024-09-04 07-38-48,-4419,-102,40704625287,744609624,jPXUsauz,40753824046
nokia,-40,2024-09-04 07-39-26,-6685,115,40721525546,271535732,ASWfvQzE,40754894627
nokia,-16,2024-09-04 07-35-35,9189,-72,40741922559,-497491231,apiEITQm,40711377602
nokia,44,2024-09-04 07-38-27,18320,-2,40708594984,13626771,uVDoyMBL,40772202707
nokia,-49,2024-09-04 07-39-04,-23394,63,40725520877,423213976,iRKMnjOd,40758014645
nokia,62,2024-09-04 07-37-52,-1004,75,40761259072,-199307782,zxDADXnT,40767859924
nokia,-69,2024-09-04 07-38-01,12900,-101,40730174293,-1123497346,vZdApLBr,40719328058
nokia,-50,2024-09-04 07-39-59,-4761,91,40721734187,-858375105,exjxAAuZ,40734170235
nokia,-23,2024-09-04 07-37-04,-11769,112,40717590516,778573931,lYvplwTt,40783616919
nokia,111,2024-09-04 07-35-09,16694,40,40744389070,-957691472,gxCCWNwA,40712879202
nokia,21,2024-09-04 07-38-31,2685,-112,40796905446,1818067941,FptQlsxE,40732848202
nokia,17,2024-09-04 07-39-25,-4734,-17,40700222830,-679250232,GsSpYCDv,40733627940
nokia,-47,2024-09-04 07-35-53,1568,-43,40707507903,190257085,WvClEKGw,40705984704
nokia,82,2024-09-04 07-35-05,-361,-114,40772719566,-1146403911,VHDnkBBu,40750157908
nokia,104,2024-09-04 07-37-43,-2061,-110,40725557522,151010794,STiaJnqD,40774744840
nokia,-93,2024-09-04 07-37-46,16064,29,40736574980,-1258657651,UQdLJRQz,40718598542
nokia,-68,2024-09-04 07-39-23,31925,7,40729264944,1285587959,SumykAxC,40734762306
nokia,-78,2024-09-04 07-35-34,-19885,-13,40712259756,-256691614,wDbFjKCh,40783652653
nokia,34,2024-09-04 07-38-58,30780,-42,40730706870,-752071098,TgnqEDbJ,40795937315
nokia,13,2024-09-04 07-37-46,-28118,79,40751871956,-692398325,DcRpjkwl,40794504832
nokia,2,2024-09-04 07-36-35,-25702,112,40775942941,1580709262,clovLfta,40769488778
nokia,18,2024-09-04 07-37-58,-27444,4,40745503364,-612293890,OZWeeUXN,40706581253
nokia,-57,2024-09-04 07-35-14,32506,6,40748737730,465558077,caorOJla,40711294084
nokia,84,2024-09-04 07-35-06,15113,119,40723391944,-288606759,UASiJoai,40714984188
nokia,-49,2024-09-04 07-37-44,13918,65,40707627332,351987514,YXAsPyXX,40714069325
nokia,-45,2024-09-04 07-36-21,11274,14,40740821581,-339736244,dwqmGhbN,40743784187
nokia,109,2024-09-04 07-37-07,-11965,74,40744390670,-1320933124,jFvDlHIY,40740342730
nokia,-64,2024-09-04 07-37-45,22171,118,40794547343,777330772,ujPTDJoJ,40786089683
nokia,-106,2024-09-04 07-38-20,-3890,107,40775883264,-1772979270,ZoxEcxhi,40794705169
nokia,10,2024-09-04 07-35-52,-25892,-72,40774633062,-511231946,FBKAqvRI,40764878638
nokia,-121,2024-09-04 07-38-08,-19558,37,40797357399,-839481885,woyAzdkt,40721837072
nokia,24,2024-09-04 07-35-32,14801,29,40777196578,-1482078118,Fujwlnmp,40732599884
nokia,88,2024-09-04 07-35-23,-1839,107,40732774340,893358826,VFHjGWci,40707405904
nokia,-108,2024-09-04 07-37-18,9360,-15,40742083884,1887235855,ABMmrhil,40741506366
nokia,115,2024-09-04 07-37-58,-13245,79,40700504545,1224273183,tkKypdvI,40749861816
nokia,29,2024-09-04 07-39-01,8218,9,40767240084,183337523,NQsuMMOG,40786774031
nokia,77,2024-09-04 07-39-36,-26741,-20,40747458640,160094550,QBhinwHj,40752993161
nokia,-115,2024-09-04 07-39-40,-10047,-45,40709136323,-1207348437,IXnvfySh,40739081520
nokia,-110,2024-09-04 07-35-03,-18024,-100,40701497963,-110111295,RUsCqgrx,40780897668
nokia,0,2024-09-04 07-39-24,7109,103,40750937224,1592211209,DDXiPMlL,40794133434
nokia,-76,2024-09-04 07-39-06,10802,-93,40759438625,2111099461,YjABrzQS,40765018016
nokia,108,2024-09-04 07-38-40,-25247,-124,40762065920,-294143661,cMGSrokK,40746968108
nokia,-60,2024-09-04 07-38-11,8928,-122,40776948340,479951975,jiGeBNZz,40799123400
nokia,-73,2024-09-04 07-35-37,-14018,53,40747037465,1543124806,RcdGQkjU,40778255734
nokia,-68,2024-09-04 07-36-54,-13114,68,40724179674,-577811542,XgKNjShQ,40752804749
nokia,97,2024-09-04 07-38-49,993,-3,40709139084,-1661933953,FgPhhMSt,40756629424
nokia,57,2024-09-04 07-37-41,-29157,75,40741145361,11136239,IBRhTHes,40747800292
nokia,-83,2024-09-04 07-38-56,-16656,-24,40749003638,-1538934451,QQWaJuTo,40775610480
nokia,108,2024-09-04 07-35-24,-25164,-39,40764497652,-815324384,xKmLqaUz,40748130979
nokia,87,2024-09-04 07-38-18,21128,-9,40737869743,-743330774,zENjFcCP,40724643763
nokia,-3,2024-09-04 07-38-09,-11071,3,40794816348,-1230954784,EZnQKwRt,40746427463
nokia,-22,2024-09-04 07-39-19,-11568,-3,40778270017,-1930805279,AmBtEOTw,40726945273
nokia,104,2024-09-04 07-38-55,9070,-24,40767961702,-1473956140,hddiZCky,40772713565
nokia,17,2024-09-04 07-37-18,-14937,-24,40766771528,-498737671,RPlVtBQV,40799283518
