src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,72,2024-09-04 07-59-46,-20827,-111,40741697184,1699341588,TBHNZafN,40721218237
nokia,116,2024-09-04 07-58-42,28393,89,40782665561,-1113551379,pvGhjgtk,40777572589
nokia,-94,2024-09-04 08-00-01,12127,37,40772961808,1543226528,GbDZfwHo,40731533516
nokia,40,2024-09-04 07-55-03,-16621,-69,40773413441,1219155032,leybjPjq,40760501175
nokia,25,2024-09-04 07-59-13,28807,-16,40734810811,-102208915,wPlCtVvt,40709058356
nokia,-105,2024-09-04 07-57-05,6051,20,40753929679,120346859,RYjCsiAO,40780672942
nokia,77,2024-09-04 07-58-01,22825,81,40778937639,787356436,ZwfGMctB,40784638671
nokia,-55,2024-09-04 07-57-29,26081,38,40784059774,860104826,GwbAHQLQ,40715702825
nokia,22,2024-09-04 07-55-36,-24227,60,40798091743,-1916058533,ccOgdDQh,40769777844
nokia,-22,2024-09-04 07-59-02,8588,-80,40774222663,-367519288,mdSsGqdc,40747610076
nokia,4,2024-09-04 07-57-59,-18442,32,40765364204,-432590245,TSEjtWzH,40767506252
nokia,21,2024-09-04 07-56-17,12053,38,40782844091,-1947333070,RVRDjtqT,40709053966
nokia,95,2024-09-04 07-59-22,28100,38,40742238854,419607935,MEdWVPMw,40710339875
nokia,85,2024-09-04 07-57-56,-15158,60,40704843823,-1714649853,BMdOycDL,40794719878
nokia,31,2024-09-04 07-57-07,-30276,-65,40794125032,504678863,Qyybpapi,40733294874
nokia,-9,2024-09-04 07-58-27,9729,35,40710524060,-936088957,oHzvIlZu,40777616117
nokia,29,2024-09-04 07-58-34,-29346,51,40742920223,898371001,QMaMAHaJ,40742695414
nokia,-29,2024-09-04 07-55-22,18759,-92,40795824929,-1618110426,FtuVOuRo,40748779325
nokia,-70,2024-09-04 07-58-17,-9659,105,40707986429,-1905540362,AvLSVbFm,40706607477
nokia,-41,2024-09-04 07-59-46,25280,-19,40710227496,1179557926,WXcQnLQp,40750797485
nokia,29,2024-09-04 07-56-11,22059,-92,40735423515,1524075873,gwKahSYl,40768468657
nokia,39,2024-09-04 07-56-53,-9552,-27,40769707005,-2021951215,qJudmubg,40762507934
nokia,63,2024-09-04 07-55-56,12123,5,40798466609,1516502672,rOxyEBNi,40713538811
nokia,-106,2024-09-04 07-56-33,25812,-13,40726653737,-730205079,uCXPMEEk,40787026123
nokia,124,2024-09-04 07-56-20,31950,73,40727430637,-752026956,Uevhxgrv,40794505830
nokia,109,2024-09-04 07-58-08,21438,-71,40722124791,1751032318,iojynfcR,40734321682
nokia,59,2024-09-04 07-55-41,-17522,72,40716985952,95422441,OBGGWOfI,40751495786
nokia,63,2024-09-04 07-56-07,-6169,-101,40726153773,-1843159531,nBzwXJsv,40732579121
nokia,-30,2024-09-04 07-59-39,12109,45,40730442801,-857871036,ILKfFnuJ,40764509435
nokia,55,2024-09-04 07-57-06,4630,-103,40745932952,1171204264,EDNwBLww,40711403241
nokia,70,2024-09-04 07-56-36,9804,6,40784398993,-1853350730,NKNZOezh,40761723282
nokia,115,2024-09-04 07-59-06,22118,64,40725102822,1502049514,ZjRuCefG,40769738157
nokia,-81,2024-09-04 07-56-19,22982,-61,40741054034,1875795203,EpvmsaVH,40768653664
nokia,100,2024-09-04 07-56-43,7251,-36,40749149161,844874248,CpxmukBq,40794829462
nokia,-15,2024-09-04 07-55-21,-4200,-24,40788462492,-1380192126,TaVzzSfP,40724678616
nokia,-104,2024-09-04 07-59-25,15146,41,40719186686,971717505,FyPYNmsE,40773607950
nokia,20,2024-09-04 07-57-46,27188,60,40757580710,-1843365672,dsQeGpLP,40787774584
nokia,104,2024-09-04 07-58-31,4955,12,40708777358,951994443,vIejHoNV,40705329664
nokia,63,2024-09-04 07-58-22,-5267,72,40757926206,593633794,NLchdZoK,40770910428
nokia,112,2024-09-04 07-57-07,24118,-106,40714747702,-1963116998,yNYuugnt,40744490658
nokia,79,2024-09-04 07-58-39,30565,-46,40779313892,-1150752244,qtpvCOzS,40702833175
nokia,-29,2024-09-04 07-55-46,-26386,46,40751778953,-222940490,HoIgmopT,40790515248
nokia,-83,2024-09-04 07-56-31,5992,-56,40768802984,-299058925,BtVOEfWe,40717936075
nokia,-70,2024-09-04 07-58-42,31971,62,40780169216,1172395429,ciZTRRuq,40751477971
nokia,-88,2024-09-04 07-56-48,26140,-76,40710840163,1911309225,LsDaFldB,40738998150
nokia,94,2024-09-04 07-57-12,30239,-68,40726841024,1593678812,FRrJwAWS,40742917561
nokia,-30,2024-09-04 07-58-42,-7518,-35,40768971771,-135261580,FAbPpvah,40773252789
nokia,-23,2024-09-04 07-58-44,-7283,59,40721087727,2018742442,aZdsDSyj,40787634104
nokia,-48,2024-09-04 07-57-25,-7447,-85,40727892525,1925513978,qphNtytS,40737622126
nokia,-38,2024-09-04 07-55-31,28449,-97,40766476896,-38965622,PUtOMvkY,40798694750
nokia,35,2024-09-04 07-59-44,-32248,-126,40733863354,320560878,rkFDOELx,40731480025
nokia,38,2024-09-04 07-55-48,8681,42,40746921691,1283639185,NFcbItFF,40797850517
nokia,-78,2024-09-04 07-59-52,9535,8,40712212376,-1172785392,kZtrRdGK,40762035462
nokia,40,2024-09-04 07-55-33,-7296,19,40728702271,-1437127638,MnhVvcLW,40746880521
nokia,5,2024-09-04 07-56-50,-11543,-22,40774152561,229927043,pEEkURzU,40702553153
nokia,-50,2024-09-04 07-59-23,12515,-60,40752251656,-1786970133,tUWUktPM,40781238655
nokia,63,2024-09-04 07-59-27,17096,127,40783916557,-1343361816,aPgDwiVD,40701418661
nokia,17,2024-09-04 07-55-22,30761,-86,40731691655,171154148,ZBbMdaDy,40739590144
nokia,-38,2024-09-04 07-58-51,5147,-82,40704422685,1096379998,ifKSLFvs,40787708631
nokia,70,2024-09-04 07-58-56,6644,50,40706733089,1648172036,cwqMZJPg,40744668708
nokia,-68,2024-09-04 07-58-07,12553,-75,40770871548,-1874609055,PTftGLtP,40767789826
nokia,76,2024-09-04 07-55-44,-15076,-123,40773974696,-1289265305,vwXxgIqE,40724867701
nokia,-104,2024-09-04 07-56-09,8077,-16,40747320961,-1136574187,VOdrybWl,40786362760
nokia,126,2024-09-04 07-57-48,30290,94,40734017207,-780291438,doFMkxTw,40782515751
nokia,-97,2024-09-04 07-58-27,15261,-64,40700752464,-1985575278,JACFmqzS,40751696691
nokia,-100,2024-09-04 08-00-02,8480,-63,40793971355,1379872468,GWMUxnXU,40783086315
nokia,-97,2024-09-04 07-59-30,12722,-100,40701005184,-1978497895,NXaSOrlU,40780494796
nokia,-104,2024-09-04 07-59-57,10025,82,40769462522,-1915407207,LoNeexGc,40797945721
nokia,75,2024-09-04 07-56-57,-27603,94,40767155700,-1063790343,cDKrqbkS,40780136155
nokia,34,2024-09-04 07-58-32,3513,76,40706500447,106674007,ifugCZqJ,40787840702
nokia,72,2024-09-04 07-58-35,11963,-33,40730106709,556305089,bHuMcuXh,40712525740
nokia,-1,2024-09-04 07-58-44,14967,49,40706510663,171257262,fUhXRrYZ,40723143482
nokia,113,2024-09-04 07-59-36,-10627,20,40765476482,1255588468,CBJsPqSF,40764531529
nokia,6,2024-09-04 07-58-13,12690,-113,40747970915,-1318022035,ZoasWODe,40740714784
nokia,-64,2024-09-04 07-58-45,-20091,23,40767581563,1553237419,CsRpOLqk,40770418319
nokia,-2,2024-09-04 07-58-32,32691,119,40781421799,1489251495,soksZKsB,40791329439
nokia,-27,2024-09-04 07-56-00,19026,85,40707645279,-1577129572,twJAsZab,40755240222
nokia,111,2024-09-04 07-55-08,27391,-106,40777429071,1805170773,RtpobYdI,40792606322
nokia,76,2024-09-04 07-56-34,28586,22,40704813911,-783046784,RzEnEbAC,40702905796
nokia,42,2024-09-04 07-57-14,-15880,47,40761349159,-1666400375,zADerepD,40794783559
nokia,42,2024-09-04 07-57-10,23927,-18,40702193095,-1254727508,JvfqHNEa,40717800409
nokia,93,2024-09-04 07-59-04,4289,-77,40739391382,-264869168,hRbbdgfJ,40717737792
nokia,50,2024-09-04 07-58-22,-8130,-25,40729956658,-280735649,EzvORFAn,40778420999
nokia,-8,2024-09-04 07-58-32,29422,-104,40747982874,-1140451752,EhdIJDac,40701673085
nokia,104,2024-09-04 07-56-18,30498,36,40724042097,-1368423077,AjFCfxUq,40796976773
