src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,113,2024-09-04 08-19-56,-27802,25,40773948170,1758309661,nInWxkUa,40720643857
nokia,-91,2024-09-04 08-18-03,-89,43,40750681350,1346868121,HWENfeIr,40717316770
nokia,114,2024-09-04 08-16-43,4154,73,40700794898,-905867375,ZxlsmYRi,40732602748
nokia,-13,2024-09-04 08-18-49,15954,-106,40795226512,-160060682,FcTFoLTP,40748413507
nokia,48,2024-09-04 08-17-04,-27075,78,40749628047,1003506567,qMwyspfz,40789680231
nokia,-44,2024-09-04 08-16-00,-8348,62,40763676929,-1319335113,CbbBQqto,40754239345
nokia,-13,2024-09-04 08-18-11,-20216,31,40731052079,-48953139,uNydgSfm,40786224850
nokia,92,2024-09-04 08-19-31,-24019,-59,40779265209,2086868320,kBmuFlKi,40738997763
nokia,75,2024-09-04 08-18-47,16872,8,40788653874,-1533473203,taMWSkdr,40707504498
nokia,-51,2024-09-04 08-16-45,24463,-80,40762141934,20750086,ftXSDnTT,40763133612
nokia,89,2024-09-04 08-18-51,-11716,-82,40735308604,1911498345,FbEKLnWt,40772034031
nokia,-4,2024-09-04 08-16-10,2614,-66,40758360961,1199862257,QYxDoJyc,40760980812
nokia,48,2024-09-04 08-16-08,-31247,-40,40747844407,428906980,NHIKEmob,40750875972
nokia,57,2024-09-04 08-15-32,1648,103,40713835424,1600141044,DQEqADSb,40700629596
nokia,-49,2024-09-04 08-15-10,-31997,-83,40715898370,673391534,tDwJvFmv,40795184407
nokia,-122,2024-09-04 08-19-47,-3369,-83,40751244508,-1312042851,QrzlRpOS,40719195583
nokia,-118,2024-09-04 08-19-13,-4609,15,40741269804,540344673,rRnPVtrp,40754521088
nokia,-33,2024-09-04 08-15-01,-15709,-124,40729333709,795914932,khqxxLdc,40799022253
nokia,-111,2024-09-04 08-16-23,-5750,53,40735893607,-1330270190,EIqZcBVG,40704824076
nokia,-8,2024-09-04 08-19-48,-29685,-110,40767412757,1233654470,PlKUVnBy,40723327918
nokia,76,2024-09-04 08-18-17,16978,-68,40785878688,-63455127,pzkhHYYE,40759828331
nokia,31,2024-09-04 08-17-27,-2762,-103,40785038956,961610995,ahpLfyly,40756784674
nokia,-10,2024-09-04 08-18-49,14957,13,40725564354,-1950565142,BDOfXzBe,40785351105
nokia,-60,2024-09-04 08-15-02,22983,68,40764587158,-1116007982,jofOShCP,40710951085
nokia,-86,2024-09-04 08-19-07,-18104,52,40789908428,600996040,IxEPFXSY,40728129695
nokia,-109,2024-09-04 08-17-17,-2439,-4,40712444871,2012824711,JWBRnGsU,40778263504
nokia,-48,2024-09-04 08-18-10,-14566,127,40793005189,-143854950,OqEWIuaB,40762594038
nokia,-85,2024-09-04 08-18-26,-18859,67,40769345231,-728558020,BSrCRnGK,40731017020
nokia,-119,2024-09-04 08-18-54,-7595,-92,40700925209,-1571565203,KzPcTClU,40794549152
nokia,-61,2024-09-04 08-16-36,-4314,-52,40752650571,1446839949,XmPVGZLp,40738241904
nokia,73,2024-09-04 08-18-57,-17037,32,40700634406,1641823760,CuXBlOgF,40773477689
nokia,-5,2024-09-04 08-17-55,20617,-78,40719637499,-2123885918,IMaEbmKZ,40755536805
nokia,100,2024-09-04 08-16-34,-28423,-106,40713178473,2048008477,fKLtgiye,40792429942
nokia,113,2024-09-04 08-18-18,19728,-20,40728501582,-1745929569,lHbUooPC,40720947559
nokia,95,2024-09-04 08-18-06,21643,-77,40735588595,145431136,NjznsnMe,40752149649
nokia,112,2024-09-04 08-15-31,5831,44,40773967500,1579268014,FRrHogrL,40737547435
nokia,47,2024-09-04 08-18-49,19485,82,40753096601,1117635020,KIMpSLGS,40754235394
nokia,4,2024-09-04 08-19-41,-31668,124,40717250265,1287212257,KelVlQis,40790866769
nokia,-17,2024-09-04 08-18-56,-19709,-19,40753645084,-134278230,jYvbcFnU,40771297534
nokia,-66,2024-09-04 08-16-43,29879,41,40706469843,1805527840,XqiEcMUA,40730044492
nokia,101,2024-09-04 08-17-55,-24145,75,40786449600,160185588,IXJLrZJn,40797688132
nokia,92,2024-09-04 08-19-29,16577,20,40759972100,-1636284602,IzbjLgLd,40717598515
nokia,68,2024-09-04 08-17-26,-3595,-7,40762597166,1462110439,vmqswWOO,40701995773
nokia,-60,2024-09-04 08-15-17,26915,-99,40707343090,-1076842449,JOnIaKdt,40795104370
nokia,-10,2024-09-04 08-15-57,22767,-24,40791736989,890905953,TdNuLJar,40750047660
nokia,66,2024-09-04 08-16-36,23978,112,40719302810,-419782753,bVWQukEu,40760196301
nokia,7,2024-09-04 08-18-16,-7214,55,40718137608,206530645,HxkZxaRQ,40711360316
nokia,104,2024-09-04 08-18-36,31276,-62,40718293944,1081415700,HWAktrkG,40798192001
nokia,-116,2024-09-04 08-18-15,-10467,-80,40753441651,982642423,paJlZVgy,40750060090
nokia,-83,2024-09-04 08-17-05,-25747,86,40748548211,-841336435,TJUgudCT,40780112652
nokia,-125,2024-09-04 08-17-43,30922,81,40737654490,-1292251444,QeFNizLq,40752930405
nokia,-101,2024-09-04 08-17-08,-29581,-113,40735338756,-1249621732,ypIJFDzr,40723729306
nokia,-21,2024-09-04 08-17-21,-3339,-126,40762689874,-1887675194,mOmCoPve,40772941598
nokia,30,2024-09-04 08-16-35,-20585,-56,40780027764,-538402957,rWnPdLCT,40702530958
nokia,47,2024-09-04 08-16-47,29285,66,40712604569,-1559736532,foXDslEE,40794698425
nokia,96,2024-09-04 08-15-31,-31764,53,40782946010,359557548,RnQXfmTP,40773754493
nokia,120,2024-09-04 08-17-02,6297,100,40703913431,1249266483,YWdWtapm,40734867361
nokia,-36,2024-09-04 08-19-30,-8447,-127,40746090230,-2048004967,dcfZurmU,40717662311
nokia,-105,2024-09-04 08-15-20,-12423,-20,40736512301,545287109,AOXzSwQS,40705971223
nokia,-111,2024-09-04 08-17-25,18820,-113,40761425701,1010612536,sFASLQFA,40746711707
nokia,-119,2024-09-04 08-17-43,9080,104,40749513076,-1597593140,hUhRzIAI,40719372091
nokia,-101,2024-09-04 08-15-23,24286,11,40739644972,-538909768,BcjrPFcV,40756255949
nokia,-118,2024-09-04 08-17-08,27876,93,40728517670,-2103819856,tPDBPdyd,40740494486
nokia,-63,2024-09-04 08-18-26,-17926,85,40762085628,2003098695,RNCXEBBq,40735963937
nokia,-36,2024-09-04 08-19-54,5588,36,40783021318,220145366,PVfYVbWz,40762883379
nokia,-54,2024-09-04 08-18-41,-13151,-61,40732988194,626623036,QRoSXzbI,40721272208
nokia,-41,2024-09-04 08-15-52,28927,18,40774690452,1185767875,bOFKJxqx,40760017322
nokia,-77,2024-09-04 08-19-38,-19131,-10,40723770810,-1934997545,CXtVYMjV,40743862551
nokia,59,2024-09-04 08-19-49,-23494,80,40790145196,-217896446,AUbuGBUk,40768267973
nokia,28,2024-09-04 08-17-08,8165,-123,40754577167,566140397,MDlQzSMJ,40742933930
nokia,106,2024-09-04 08-18-59,-12981,24,40708873257,-874112238,SyxEVTnN,40794521901
nokia,102,2024-09-04 08-15-47,22536,75,40789460633,-1330060801,XGzOrNne,40716938093
nokia,-33,2024-09-04 08-16-12,-30622,-67,40747925853,1965546081,rxYIOMBx,40789541475
nokia,96,2024-09-04 08-17-23,-14240,-100,40744309792,-1092535646,eCxCjWEM,40746891443
nokia,-55,2024-09-04 08-18-40,-11560,-93,40752422801,-917457772,XPajBbUi,40741734301
nokia,-82,2024-09-04 08-15-17,14525,-114,40709585790,-741466055,AFliLmac,40733814407
nokia,-55,2024-09-04 08-18-11,1928,-37,40779622743,582741852,afjmpCzu,40742119941
nokia,-31,2024-09-04 08-16-33,11413,-45,40744232738,-185998154,TDQSDONi,40796943426
nokia,4,2024-09-04 08-19-09,-18844,-52,40791059174,827857510,aSMiXPek,40749120037
nokia,26,2024-09-04 08-15-54,20025,-39,40755849243,-1843350880,zItvFGPz,40756957663
nokia,29,2024-09-04 08-19-56,32026,-125,40740769066,1364674786,UrcQGdZX,40775009664
nokia,18,2024-09-04 08-16-34,12710,-81,40783025855,-1040413307,hEOgIKlf,40770894848
nokia,-32,2024-09-04 08-19-39,21402,-20,40777165296,309051830,PXBjJOwB,40741099110
nokia,68,2024-09-04 08-17-46,25784,76,40750694018,2005475056,hKXNANoR,40794184844
nokia,0,2024-09-04 08-16-31,1617,10,40777624558,-159189839,zlHVINbo,40789356464
nokia,-118,2024-09-04 08-15-54,4649,100,40709718732,-1517027807,IASzeDTr,40763731041
nokia,9,2024-09-04 08-19-33,-21146,-25,40772880687,-716487690,HMYtwPBn,40739394740
nokia,-126,2024-09-04 08-17-59,27308,-85,40737934323,2141743015,MSHRclkI,40787780184
nokia,10,2024-09-04 08-15-24,15147,-9,40764630966,-381321258,xbaTyBvZ,40779563244
nokia,-80,2024-09-04 08-15-34,-12654,-73,40794576606,-1083798564,VgRYZBnu,40770236188
nokia,88,2024-09-04 08-16-46,-31599,-17,40734230727,983102548,yCnSCUTU,40782780567
nokia,109,2024-09-04 08-19-14,-13147,-39,40766355514,-350360484,hTJSypJb,40727186015
nokia,40,2024-09-04 08-16-33,21341,94,40746004609,-1595982595,gfcZcBJJ,40730063178
nokia,93,2024-09-04 08-17-07,-32484,-11,40777215759,-1291742821,ICvFxPVp,40796480654
nokia,-44,2024-09-04 08-18-11,8669,51,40794780787,-861470040,RFVQNiTP,40705561292
nokia,90,2024-09-04 08-19-09,24879,-1,40792416358,-374446684,aDAtbqJL,40708601597
nokia,-98,2024-09-04 08-16-34,10194,80,40715112782,174362755,NowkuBjE,40768917785
nokia,82,2024-09-04 08-15-49,2167,51,40789853872,-256578177,mgOIwiKq,40744872003
nokia,-43,2024-09-04 08-18-25,22973,12,40765439873,-1196907793,CDnAkDci,40782589175
nokia,102,2024-09-04 08-17-48,22465,-78,40797904054,1912042593,ATYkglsw,40715486411
nokia,-38,2024-09-04 08-15-15,-18067,-102,40774890185,-1124016542,nTKLReml,40769734619
nokia,108,2024-09-04 08-19-26,1507,-46,40763494656,670558531,ldsvCCBc,40707321399
nokia,-53,2024-09-04 08-19-48,-6146,-118,40755609688,-54461428,OenKDyRm,40733433048
nokia,40,2024-09-04 08-15-49,-22461,110,40761421996,-1331918000,LsqkhXQN,40702795030
nokia,-15,2024-09-04 08-17-56,-23395,92,40725216949,-1829350219,yeYAVTWE,40712941761
nokia,-47,2024-09-04 08-19-39,17777,-62,40768393104,744411194,cQPJgGbC,40779565153
nokia,97,2024-09-04 08-18-07,-26963,-40,40709640324,-1564003663,OOdJSUPN,40703754093
nokia,14,2024-09-04 08-16-02,18220,-38,40796686222,1204149127,QMxTEHhj,40754705240
nokia,118,2024-09-04 08-19-13,-15356,107,40790524504,-323794279,lHpIYWDo,40770194402
nokia,-123,2024-09-04 08-18-18,14301,127,40748219660,379847646,HYKSJgUw,40710798864
