src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-116,2024-09-04 08-34-28,9359,-120,40701289546,668693173,PXrMVAeO,40787689128
nokia,5,2024-09-04 08-30-41,8094,63,40746137883,1321608926,TUgJESbJ,40739470860
nokia,-35,2024-09-04 08-32-08,11457,-4,40750561072,1437818226,JtxRkGuv,40762002734
nokia,103,2024-09-04 08-32-06,21437,125,40775315554,1131422731,YTpnQAvt,40783108770
nokia,-30,2024-09-04 08-34-35,-22645,114,40774123981,543663721,aWmCCRia,40706401498
nokia,-92,2024-09-04 08-33-55,-1984,99,40721266203,-2144742539,hcUMNGyT,40748878720
nokia,-13,2024-09-04 08-32-50,10201,54,40711332472,-1359846921,IXQyUehj,40779779618
nokia,33,2024-09-04 08-32-51,-26751,-57,40712298108,-2064057478,JkUsGlMh,40703903066
nokia,73,2024-09-04 08-31-40,4127,7,40793459039,-1670972698,PjWsRUyb,40709976419
nokia,90,2024-09-04 08-35-01,16053,-76,40787131472,-983461036,hRUHLbhl,40705032386
nokia,-111,2024-09-04 08-34-11,19778,45,40743581493,-1692318976,dnLkXZhf,40735125227
nokia,126,2024-09-04 08-32-56,5347,95,40710661413,-1017673861,ZqttBEec,40732989752
nokia,64,2024-09-04 08-33-48,-30552,119,40754981072,-171937543,MKnGYLCa,40793197746
nokia,-109,2024-09-04 08-33-02,8727,34,40766090851,1594014670,SQAodxiu,40743905207
nokia,103,2024-09-04 08-34-33,26624,30,40754584654,-780283800,VBTuZSpf,40777926218
nokia,-105,2024-09-04 08-31-26,-29246,66,40733961207,1114126054,mgeCoVVM,40783374736
nokia,2,2024-09-04 08-32-19,-23621,-81,40756043032,503470473,XnMqCMYh,40786852485
nokia,98,2024-09-04 08-34-56,3346,126,40729331818,744965458,tkbOmqlq,40701037694
nokia,-4,2024-09-04 08-33-19,-8894,-2,40715454772,-1158703443,fIFdlDmS,40736776504
nokia,45,2024-09-04 08-30-33,7973,6,40791668622,1407184849,gVcBTQXA,40701419250
nokia,125,2024-09-04 08-30-20,374,-27,40762110608,-532499709,hgQNajuw,40734499248
nokia,107,2024-09-04 08-32-31,-31036,108,40785023326,2125110328,ZJGfuHKw,40734488146
nokia,-4,2024-09-04 08-32-54,-19647,-62,40756446995,-277245033,TNKsOMNp,40766124861
nokia,9,2024-09-04 08-31-01,5671,94,40728098782,630468177,ZkGfXmjo,40795048180
nokia,-69,2024-09-04 08-32-31,-21197,-112,40790054508,1850342765,xxuqIyUb,40720793776
nokia,-20,2024-09-04 08-33-01,-11531,79,40775301681,-1720829200,wlZntVAP,40726182560
nokia,76,2024-09-04 08-32-01,-7630,19,40782787204,-708283862,vTRkHmhe,40763153231
nokia,48,2024-09-04 08-33-19,-10530,-113,40776826205,748972478,HvAkxihC,40729380110
nokia,-38,2024-09-04 08-33-09,-28631,-15,40704347937,1262628964,cSHdAEqo,40704638094
nokia,41,2024-09-04 08-30-49,-11801,-3,40734117406,-98704650,WysCjgQa,40769822648
nokia,-28,2024-09-04 08-34-19,8589,26,40747290537,-36218570,AcuVkmYH,40775608430
nokia,-112,2024-09-04 08-32-37,25793,-87,40782096563,-2066290302,AKykFzHk,40784520752
