src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-81,2024-09-04 08-35-48,-9151,79,40782911577,-1498759608,MGwYZwiG,40774995924
nokia,28,2024-09-04 08-40-01,-1605,-115,40795660655,-1127889846,TiwZclxI,40768372213
nokia,82,2024-09-04 08-38-42,10335,45,40793939849,508098870,hbkIguLo,40770990210
nokia,69,2024-09-04 08-38-16,-29853,-122,40724308494,-1785551887,RtHJVCLT,40744436783
nokia,-77,2024-09-04 08-36-00,23613,58,40723211419,-1927802141,beFuyFaa,40745769970
nokia,-124,2024-09-04 08-36-16,-17158,-88,40740401423,527967928,slSYzrDQ,40716315012
nokia,50,2024-09-04 08-39-02,-20302,-2,40760720757,-1722016285,XpGlbJfP,40717250708
nokia,-108,2024-09-04 08-39-44,-31933,-4,40714826847,-1542749470,suEKQNtA,40793052867
nokia,-53,2024-09-04 08-35-47,-25173,123,40727590726,-1308910620,HOYMOkGW,40708359608
nokia,-20,2024-09-04 08-38-41,26508,1,40702006796,-2134248026,QLGwccdr,40780714214
nokia,78,2024-09-04 08-37-44,21587,71,40793714493,73060862,hMgyHpuX,40772722646
nokia,-108,2024-09-04 08-37-41,-9547,-55,40703406761,685556282,nRghFHOX,40747438780
nokia,-99,2024-09-04 08-38-34,-7082,94,40754498727,-1780766445,WRXtadsB,40715393989
nokia,40,2024-09-04 08-35-11,-4562,90,40750098582,-261114001,hEgJfuOy,40733991403
nokia,111,2024-09-04 08-35-10,16655,-8,40715214642,-834832676,yTyVOaZe,40775801966
nokia,102,2024-09-04 08-35-37,-7264,-104,40761568096,-921163070,YeeMsIdb,40789953472
nokia,60,2024-09-04 08-37-17,32360,92,40714306352,-993208329,YuskdWWT,40785878057
nokia,111,2024-09-04 08-38-40,-28411,-72,40750338484,-784458860,SQHmZQPL,40737028766
nokia,-54,2024-09-04 08-38-22,26624,78,40754930337,102896028,nCzixOis,40710623309
nokia,117,2024-09-04 08-38-38,10105,-47,40724318373,1588744377,IJZVIVFB,40753400982
nokia,84,2024-09-04 08-37-52,-22414,-12,40708337589,1089850612,HulCeHgM,40751493995
nokia,110,2024-09-04 08-36-24,27102,58,40790907533,72014813,YmdyNhwH,40747412488
nokia,84,2024-09-04 08-37-26,12277,96,40746377019,6293972,LZbtJFvy,40796240671
nokia,-75,2024-09-04 08-39-43,-23852,127,40791638656,1483043972,pXkoXpBp,40763146563
nokia,20,2024-09-04 08-35-30,-5247,54,40755957864,-1544664598,uFsvzZUX,40742103469
nokia,-58,2024-09-04 08-35-10,-26791,-89,40732922777,418234140,BIYaCtZk,40710066853
nokia,-71,2024-09-04 08-38-07,29070,19,40789325696,649457462,xNXaUBUa,40754547665
nokia,-113,2024-09-04 08-38-24,4240,-2,40757611318,1732456699,gGKqjUli,40749495696
nokia,-118,2024-09-04 08-37-45,7038,67,40791308420,171504850,oTAhrLTP,40742290623
nokia,-21,2024-09-04 08-38-31,17837,70,40745892113,-970620299,WMdIDvFO,40742868648
nokia,22,2024-09-04 08-37-52,15660,84,40700518681,828808356,rNZXiACT,40784620451
nokia,-82,2024-09-04 08-35-52,27112,-35,40745228724,1510605453,QrTMRZQE,40729985024
nokia,45,2024-09-04 08-35-37,-31721,-60,40780620380,-1204811848,NlVYXpAD,40762070819
nokia,-113,2024-09-04 08-37-44,31255,-97,40788611451,-1979775569,ZKPlqiBi,40701986930
nokia,8,2024-09-04 08-38-32,9647,117,40727936481,-713233403,GRipGBTX,40727154501
nokia,-40,2024-09-04 08-36-53,6054,-23,40730118825,2018291681,BYtUUzub,40794545145
nokia,69,2024-09-04 08-39-52,-9573,-95,40728985816,-865078104,sHuQsNEt,40724609001
nokia,81,2024-09-04 08-36-59,24507,58,40714031118,1962553223,CTNJCoqX,40789034014
nokia,-56,2024-09-04 08-36-25,26660,91,40722698473,-442800595,yJnJCYiP,40720063384
nokia,51,2024-09-04 08-37-16,-31937,-96,40776672626,-1739951218,dhdonVOA,40770691850
nokia,87,2024-09-04 08-37-12,-4038,115,40750476275,-1571394833,wgrOObHD,40753554122
nokia,75,2024-09-04 08-39-36,-21266,22,40700632503,-86123587,qVyxdMWl,40741510225
nokia,-99,2024-09-04 08-36-33,28041,67,40717031681,-1024222132,LKuNAsOM,40781662095
nokia,17,2024-09-04 08-36-53,7994,-26,40769647160,1072695942,nPVKBDiI,40786271243
nokia,6,2024-09-04 08-39-18,8787,-7,40788300776,1444881040,zjMZDvzL,40709419669
nokia,78,2024-09-04 08-39-10,-30103,55,40795269529,-2112483317,rHwVZnVi,40785426191
