src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,42,2024-09-04 09-29-06,-32207,-39,40750302329,-1478359698,UhgRVNEh,40731629299
nokia,107,2024-09-04 09-25-41,4315,112,40715407133,1822919914,duGsLyzg,40736768120
nokia,105,2024-09-04 09-25-36,12396,122,40739108706,-926681554,bNVKiIyT,40752290565
nokia,116,2024-09-04 09-27-50,-6156,13,40788225508,235556460,RSGwWBGW,40782915933
nokia,-28,2024-09-04 09-26-05,18856,-15,40796965093,1294771899,fmRAcjhQ,40759410349
nokia,-69,2024-09-04 09-26-16,30424,65,40754237275,321263257,YognMtEW,40702201041
nokia,-16,2024-09-04 09-29-29,-15476,28,40713711005,-1997283857,MKahnXZN,40726416238
nokia,67,2024-09-04 09-25-41,-28880,15,40794093199,1012215259,gdYhJaUp,40776658438
nokia,-38,2024-09-04 09-28-30,7415,26,40734529975,633744564,RnMNAVsa,40786161131
nokia,54,2024-09-04 09-27-43,3901,-6,40797645353,1178770120,giofKxiJ,40703683518
nokia,-11,2024-09-04 09-25-57,28088,39,40749716442,-668229164,ZVaZnaYh,40724246876
nokia,-100,2024-09-04 09-28-09,-10273,-13,40778984998,1094288924,DUXiEtWq,40720095141
nokia,-66,2024-09-04 09-26-43,5784,-56,40731866946,2033951821,kMcvZJuf,40763308629
nokia,53,2024-09-04 09-28-49,-19739,-63,40785048040,78094504,xDUllzNB,40781007835
nokia,74,2024-09-04 09-29-57,-29113,84,40700274452,-67031881,LnVoWZTj,40768040365
nokia,50,2024-09-04 09-26-34,17284,-84,40701417436,2100849373,MAAiWdkQ,40747300270
nokia,110,2024-09-04 09-27-11,-2244,73,40768585733,1430285129,TZzCsmnn,40756335504
nokia,-122,2024-09-04 09-27-00,-6200,14,40774975768,-611142819,Dngywpdl,40780047624
nokia,80,2024-09-04 09-27-05,-4111,-70,40763301482,1677705286,CoHkoNoa,40788877216
nokia,22,2024-09-04 09-28-57,26578,-69,40783790109,101669204,GskcUdFO,40743666357
nokia,-44,2024-09-04 09-26-55,-12432,-85,40730408426,719756374,EQslXdvZ,40751650617
nokia,-52,2024-09-04 09-29-47,13482,114,40728387166,1325271717,uQkzYVgF,40718144972
nokia,-69,2024-09-04 09-26-13,13551,-92,40721737712,1955427758,UUpeEXcf,40774111044
nokia,-104,2024-09-04 09-26-33,29242,86,40775734959,-1994954926,enDzatkz,40740618687
nokia,-126,2024-09-04 09-26-04,-23749,-30,40738123032,-163736080,kEBPlNaN,40783769998
nokia,64,2024-09-04 09-27-52,189,68,40720883774,-1708265939,dDnKOlqg,40708722653
nokia,-46,2024-09-04 09-29-22,-7139,65,40706239620,-1304320778,DBWHsTnO,40762487057
nokia,-82,2024-09-04 09-25-31,-16639,101,40723425140,1253926737,dySGWdNm,40790253716
nokia,69,2024-09-04 09-27-10,-1458,84,40717021513,686286160,ohLdBxOy,40721345162
nokia,-60,2024-09-04 09-29-25,9529,44,40759746458,-366209697,buHPjsCj,40771856619
nokia,85,2024-09-04 09-29-56,-15454,-77,40712743617,-1431629952,KsCUSGZf,40737077983
nokia,29,2024-09-04 09-28-07,17147,-39,40786424512,-977726155,RccpaKdT,40711689426
nokia,-39,2024-09-04 09-26-40,-32109,-60,40771230656,-607384444,CeSvBSuA,40771737515
nokia,126,2024-09-04 09-26-30,26398,-60,40710938195,246718556,kOUJgeBH,40725524579
nokia,-13,2024-09-04 09-28-09,1577,62,40741193257,-1154165576,DaVdyRfZ,40708065731
nokia,-94,2024-09-04 09-27-28,-1344,38,40704569353,1665036450,XITTHEDL,40711724535
nokia,-80,2024-09-04 09-26-09,26388,15,40744374167,-1541035147,hieGaWBb,40777086900
nokia,50,2024-09-04 09-28-46,-24743,45,40766028410,1907784499,npofVuVE,40718128604
nokia,-127,2024-09-04 09-25-04,26064,-33,40734445995,2052621911,HAPSrCnT,40763619639
nokia,22,2024-09-04 09-26-15,14350,42,40707050140,1546443610,SqRDLrVZ,40772843128
nokia,76,2024-09-04 09-25-16,13497,25,40796946006,-1375238734,XgVajdGh,40734664561
nokia,110,2024-09-04 09-26-00,-9839,-47,40732432736,41478439,PVSILLfo,40777540410
nokia,-112,2024-09-04 09-27-39,-16952,-62,40746526863,1233780078,SSbVTEWq,40760040751
nokia,71,2024-09-04 09-26-30,-18548,-46,40747139607,556903917,STgDmTQd,40727173004
nokia,41,2024-09-04 09-27-13,15692,78,40760210803,1103966570,WnjMWCAE,40728948489
nokia,-35,2024-09-04 09-27-10,19716,-30,40746997038,-227348166,myAHCuet,40747552141
nokia,-17,2024-09-04 09-25-16,21045,-23,40700356327,2134030610,RqIvSnLO,40771924521
nokia,114,2024-09-04 09-26-20,-14135,39,40767856503,-1605689725,oxTRrjvt,40777734770
nokia,-76,2024-09-04 09-26-46,3736,91,40773501161,462919082,qPANqsdV,40758152390
nokia,120,2024-09-04 09-25-25,23700,110,40784921366,-463484557,cdHvrbKX,40782842716
nokia,99,2024-09-04 09-28-54,-31500,105,40758776126,-130080840,FvYvrdIh,40754415978
nokia,-10,2024-09-04 09-28-32,16615,24,40720411050,-457193134,noMparao,40761612143
nokia,-99,2024-09-04 09-25-44,-21234,107,40701729853,-597822055,ePyFsbzQ,40757227120
nokia,111,2024-09-04 09-25-26,-15240,124,40709498084,-1167887560,LLbLjqOX,40715497388
nokia,117,2024-09-04 09-26-51,-510,96,40727738702,801872758,UxwcwZex,40700828444
nokia,-13,2024-09-04 09-25-55,-12240,-20,40724091529,1860725075,NKSoVYDW,40759101190
nokia,-3,2024-09-04 09-29-18,-6410,-73,40726833733,-912949009,CekgFBMr,40747328682
nokia,123,2024-09-04 09-29-20,-5802,-14,40736730239,1201388629,WEAaMtFZ,40747696545
nokia,-64,2024-09-04 09-25-04,32377,18,40736490235,1620086158,SrwrHMmK,40758286592
nokia,-46,2024-09-04 09-27-17,-32081,-10,40703823331,-535983061,QBitqwOc,40729217366
nokia,-40,2024-09-04 09-26-20,22239,6,40754834717,-37282256,goScdGay,40736958759
nokia,5,2024-09-04 09-27-00,-16368,-111,40725313235,1322155876,owOPLcvo,40783785371
nokia,112,2024-09-04 09-29-45,11992,-4,40753458478,-1776140817,smvBamyQ,40720556431
nokia,68,2024-09-04 09-25-07,-27667,-121,40770200895,368230505,qqSJwjvU,40723260573
nokia,-118,2024-09-04 09-26-57,29229,93,40723487008,-1784461136,jOHAOlqk,40736786210
nokia,-2,2024-09-04 09-26-20,-5023,6,40738790540,-1119056698,BwSBBJpG,40743505211
nokia,-80,2024-09-04 09-25-23,30572,89,40726310145,1136181955,MLxtCUjd,40728576650
nokia,-56,2024-09-04 09-27-28,14640,35,40759668837,693715750,AulXQXzt,40719970137
nokia,67,2024-09-04 09-26-49,7724,89,40740317138,-774354568,wXmedoQH,40721521537
nokia,82,2024-09-04 09-29-24,9816,-56,40709948387,1874266162,KpiHDvQl,40767334719
nokia,-29,2024-09-04 09-26-10,-28892,107,40757371134,914071190,NtZjWLWe,40777742224
nokia,125,2024-09-04 09-29-45,29249,120,40734412085,-1510028149,EiBpBeow,40719129404
nokia,81,2024-09-04 09-28-08,-20628,-83,40777905666,-77934078,cNlIaStQ,40722951642
nokia,-20,2024-09-04 09-29-35,-7451,-38,40772242247,1398382679,PdmAhHac,40740392944
nokia,47,2024-09-04 09-27-09,6931,93,40774974516,1883906969,itoejTTc,40753369950
nokia,21,2024-09-04 09-28-43,9668,-88,40724462854,-185737056,LUPvtonz,40765310348
nokia,68,2024-09-04 09-28-47,-16750,74,40741998255,248690434,UqDFqLbn,40726630115
nokia,76,2024-09-04 09-25-29,14903,-28,40732063763,-1997944179,AIyxrCwU,40790182912
nokia,-70,2024-09-04 09-29-03,-12186,24,40741919651,-640854163,OEFLIgnp,40714935737
nokia,116,2024-09-04 09-26-48,28850,-42,40750897620,884564595,iaftSOuy,40712498220
nokia,-26,2024-09-04 09-28-49,17329,125,40753941864,1341597976,CgIKIrfE,40788233171
nokia,127,2024-09-04 09-28-13,-19558,21,40780943678,-614228239,SMMLZZnd,40791648997
