src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-22,2024-09-04 09-34-21,-22394,-63,40788344084,1936353969,nzsAHnKh,40710728459
nokia,125,2024-09-04 09-30-38,7048,23,40759914439,1046173532,qCshzpMT,40787953009
nokia,84,2024-09-04 09-31-14,-7704,-6,40789705375,1414320708,bIKPtVFI,40750808901
nokia,-125,2024-09-04 09-33-39,-9335,55,40735880070,1665329316,gtYeRprx,40702086552
nokia,-121,2024-09-04 09-34-30,32192,-92,40766139209,1779535011,QGhTODNW,40745859391
nokia,-58,2024-09-04 09-32-13,-13856,66,40709664539,1097446500,lLUJZBJf,40786041847
nokia,62,2024-09-04 09-30-15,32341,88,40787576539,-1129672939,vtxCxpvo,40719039227
nokia,-19,2024-09-04 09-30-49,13975,-83,40725528915,-1208892412,hECffoTp,40735799551
nokia,-33,2024-09-04 09-30-18,-16304,3,40735988610,1703604020,DQZQIOdt,40787697868
nokia,64,2024-09-04 09-32-07,-31534,57,40721972702,-91158322,FbimYisQ,40751468782
nokia,-1,2024-09-04 09-30-55,932,74,40715343175,1929525832,zKHYYHai,40745748037
nokia,-108,2024-09-04 09-34-44,-17383,-107,40761047567,1327622960,oNmzMGnF,40729664593
nokia,108,2024-09-04 09-31-09,8111,115,40759068320,2102585535,otjcmqba,40745799022
nokia,-25,2024-09-04 09-33-37,-2574,-67,40774559522,939894828,ZipoGOiN,40780976732
nokia,1,2024-09-04 09-34-11,8986,-83,40708387121,-1064149157,LSqayfnT,40750935058
nokia,-31,2024-09-04 09-34-57,25917,123,40747453223,1041187986,yCwdxcqR,40780266245
nokia,55,2024-09-04 09-30-08,11339,33,40783064404,-1482730328,iVHRSGwE,40788196527
nokia,70,2024-09-04 09-34-59,-6455,-23,40712977799,1546777880,hSQpdaGR,40781569519
nokia,-94,2024-09-04 09-31-13,30961,54,40731184581,-1005641715,XPKWLxtc,40735157343
nokia,-76,2024-09-04 09-32-02,24923,-100,40762789047,-1067643711,jQTAvdJB,40794088191
nokia,-13,2024-09-04 09-33-02,-9448,68,40706546472,-180872326,PEsxWIHX,40784137702
nokia,82,2024-09-04 09-30-59,-5859,43,40795331624,732808229,IKHXLXTz,40772437080
nokia,-108,2024-09-04 09-34-53,-2563,-108,40724511919,-1498189491,neymnBsN,40735706355
nokia,60,2024-09-04 09-33-13,2078,2,40784527956,-633120677,hRreWPmh,40747000911
nokia,101,2024-09-04 09-33-14,32369,-30,40732166266,-973472087,ZNONEJrW,40783839129
nokia,2,2024-09-04 09-32-21,-18784,71,40728134408,852937897,NjisDvFK,40733029856
nokia,-18,2024-09-04 09-33-44,14096,-107,40777947136,-187458985,cJqcJrCg,40770969247
nokia,-26,2024-09-04 09-34-47,-25780,-72,40729514585,609828135,bFQccAaS,40765935623
nokia,95,2024-09-04 09-32-40,31478,27,40719239843,-435340792,EmpffCVO,40740328158
nokia,15,2024-09-04 09-31-34,-6969,-24,40751572389,-701138471,jbJdwnay,40752487759
nokia,-91,2024-09-04 09-30-55,-11305,-62,40701602115,-1393852764,fxWRulqf,40704136337
nokia,-33,2024-09-04 09-31-54,-12237,53,40753731416,337327542,AojZBVGU,40733458992
nokia,98,2024-09-04 09-33-36,13859,87,40705395837,1672304788,hIrwLEqN,40793814534
nokia,-17,2024-09-04 09-30-26,16108,69,40719044977,671902743,WCsFxCqB,40780208608
nokia,127,2024-09-04 09-31-10,10701,11,40775971525,1384761082,cODvJOaZ,40700774389
nokia,-109,2024-09-04 09-32-43,-20243,-39,40776894564,1780680207,ZHGiohnF,40792097591
nokia,108,2024-09-04 09-32-14,11286,66,40759616742,324273862,CUZmDmbL,40777680317
nokia,-29,2024-09-04 09-31-14,-19486,-53,40794423420,330090927,DduZxuHp,40727868344
nokia,53,2024-09-04 09-34-21,22634,-69,40714957282,246362305,GXgCpgeW,40719941278
nokia,88,2024-09-04 09-30-55,15527,-26,40752950705,1519645700,stAhtJNz,40760897682
nokia,-44,2024-09-04 09-32-12,-25290,-28,40782240110,-1925264668,sLOYtuRH,40781253137
nokia,-34,2024-09-04 09-31-01,-14058,-11,40734518633,1259096932,pkmzTYuQ,40775601047
nokia,-1,2024-09-04 09-34-24,-2643,28,40760691760,-234813211,dVUCgluC,40785234529
nokia,60,2024-09-04 09-30-59,3286,-40,40797901317,-785930783,vRvElBle,40748140319
nokia,52,2024-09-04 09-30-55,5734,-127,40787233409,84393766,CJwfvulu,40761049717
nokia,63,2024-09-04 09-32-54,-25903,37,40780405372,-1676275718,DYSgjArn,40786338662
nokia,-79,2024-09-04 09-32-47,23279,-86,40793725820,1416262366,JiQHSNFl,40728810628
nokia,8,2024-09-04 09-32-23,-4565,15,40770165546,186506011,XtpAgEYg,40723672495
nokia,-47,2024-09-04 09-34-28,18892,86,40777530949,1554568874,FGschQMG,40738552710
nokia,-48,2024-09-04 09-33-44,-1583,47,40747179514,-2045550047,TqOcIzSN,40711891640
nokia,19,2024-09-04 09-31-05,-29161,-57,40748826043,-707461921,NOiGUzSw,40746808342
nokia,-100,2024-09-04 09-31-10,14735,16,40765476917,-749360983,EZviCuya,40706025673
nokia,-54,2024-09-04 09-32-59,815,-87,40769673407,-1897490075,qXuAceQn,40789827984
nokia,-18,2024-09-04 09-33-52,-17878,-35,40702477043,647732305,jPXBcjPt,40760860933
nokia,119,2024-09-04 09-33-07,30384,-77,40705756679,170672211,yFgNjjwI,40761376175
nokia,-101,2024-09-04 09-32-31,-8461,47,40745336630,990381478,zHqODUIS,40720071681
nokia,16,2024-09-04 09-31-00,-6284,-104,40786327724,-1552313948,cUKOQMlP,40777274741
nokia,118,2024-09-04 09-33-08,-7662,0,40721412007,-40627598,vRjsfjpU,40750383765
nokia,92,2024-09-04 09-31-29,-1799,75,40778560115,-270031589,hPDxTtWQ,40787162292
nokia,84,2024-09-04 09-34-31,11007,-114,40711817436,-1526648398,mQxxOGYN,40721906295
nokia,31,2024-09-04 09-34-26,-11483,-128,40721824282,731698963,IidQkigP,40747342484
nokia,42,2024-09-04 09-34-20,14482,-46,40750359885,-172700647,MaazxShK,40760302618
nokia,94,2024-09-04 09-32-30,-15763,47,40715206381,-504940084,DenOxJTV,40733017601
nokia,58,2024-09-04 09-34-09,15390,-116,40721619694,-1273986985,ZPXdRLLa,40705170443
nokia,-66,2024-09-04 09-33-31,21273,-42,40770144759,1986935653,RsaPItBg,40729228865
nokia,-128,2024-09-04 09-33-50,2764,70,40746267131,-547415560,LYVsTjDE,40702759263
nokia,118,2024-09-04 09-33-35,18257,-122,40734618752,52838809,rjsnIVHj,40732296858
nokia,127,2024-09-04 09-32-21,13920,10,40794458049,1380948120,sVwQtlks,40752912101
nokia,-80,2024-09-04 09-30-34,5059,35,40796407957,583414065,doePBGNj,40708080048
nokia,77,2024-09-04 09-32-18,-20749,-21,40772677104,-1306193750,jylityQj,40785085052
nokia,6,2024-09-04 09-31-05,185,-3,40774462347,-560584813,TNMlPSqF,40746707897
nokia,-84,2024-09-04 09-32-19,-19374,37,40768533487,-1745346913,NlszuSsd,40771895745
nokia,-97,2024-09-04 09-34-45,19250,-36,40770276164,-1801359555,qTLALrex,40781802727
nokia,57,2024-09-04 09-33-53,554,-16,40767884890,-1889236593,FXLbLymg,40746755495
nokia,-125,2024-09-04 09-32-36,9633,-123,40772153915,1746840531,wSsEopwN,40740712231
nokia,-93,2024-09-04 09-30-16,16335,60,40723423535,-1915549610,mTFhxuew,40771627079
nokia,-34,2024-09-04 09-33-07,20441,54,40746795092,-362022835,QGldlEgo,40751520986
nokia,37,2024-09-04 09-32-18,-30907,-32,40744594212,1141639047,PcjsuMkq,40714383469
nokia,-39,2024-09-04 09-33-10,18626,45,40728341279,-1287598929,RXBPxjhx,40738233720
nokia,-47,2024-09-04 09-32-36,1810,43,40783167430,1195032457,pcyGJISy,40767143750
nokia,0,2024-09-04 09-31-50,-3966,-115,40796023120,155330465,YaqeHypp,40783301526
nokia,-28,2024-09-04 09-32-28,14199,-73,40769569881,332927546,PEWyfQmN,40767232220
nokia,-61,2024-09-04 09-34-06,-17683,78,40776071215,1260494752,tpNFbkgF,40752521347
nokia,87,2024-09-04 09-32-13,20379,-12,40785302739,1408976374,gqYrrLDB,40760994426
nokia,-11,2024-09-04 09-31-53,7080,-111,40762600539,-1955750331,CXxtCbIZ,40733705498
nokia,-3,2024-09-04 09-30-16,5349,121,40731766302,-141790633,SHmfSeKN,40798848451
nokia,107,2024-09-04 09-34-24,4813,-108,40753792212,1285886564,hueBNngt,40703056819
nokia,-46,2024-09-04 09-32-42,-14618,88,40719773512,1176998735,WLGGjLNJ,40719119162
nokia,122,2024-09-04 09-34-56,7329,51,40779955757,-581926782,bGaCKykA,40772623216
nokia,-93,2024-09-04 09-32-21,13131,-118,40732663398,602100010,JmwqiYyX,40771271405
nokia,-40,2024-09-04 09-34-40,-3540,93,40792504688,1741294825,QbzJMoay,40744623687
nokia,-63,2024-09-04 09-32-32,11745,17,40794507301,1173496519,HLknzqPP,40715281232
nokia,101,2024-09-04 09-30-27,-2573,-3,40716125794,-1252780398,ToLLFdMW,40707906243
nokia,3,2024-09-04 09-32-49,13146,-11,40742106560,2069650866,VqgDteFA,40743533244
nokia,-20,2024-09-04 09-33-19,8271,45,40714908286,858668977,EtsNlQfP,40724644207
nokia,-43,2024-09-04 09-31-50,-30986,33,40711279560,-2031008138,efIqvvIe,40718386142
nokia,-82,2024-09-04 09-34-15,-10290,16,40726184585,1561536974,cWhKznOF,40789930409
nokia,102,2024-09-04 09-30-23,-10395,-111,40709559963,-1338935982,vOuZtdNW,40737006718
nokia,95,2024-09-04 09-34-16,27427,2,40761168977,-1735409182,EXgLNfHT,40799933629
nokia,-43,2024-09-04 09-31-44,3509,-78,40735093578,1120270444,jCmsDRwO,40787461128
nokia,-2,2024-09-04 09-31-56,2166,-127,40730821471,-261211352,FWbqFhoO,40792803763
nokia,31,2024-09-04 09-33-02,1160,110,40778211707,60001908,oaGtJYqW,40744217481
nokia,-39,2024-09-04 09-30-11,-18932,75,40717572395,-665949606,RJDElknB,40796195085
nokia,-36,2024-09-04 09-33-50,-27752,-76,40741013530,947543320,rfylWsLq,40708325508
nokia,60,2024-09-04 09-35-01,-14501,-10,40736262973,1108173177,KZriRbQt,40706810696
nokia,17,2024-09-04 09-32-19,10871,117,40781105879,-1334082867,zdNxFxMD,40787951458
nokia,-9,2024-09-04 09-30-55,-15298,-9,40757135605,-497726236,AyDPKeRc,40727485664
nokia,68,2024-09-04 09-32-36,-17374,110,40722924290,2063469520,zPMnJOnE,40760557740
nokia,-66,2024-09-04 09-31-32,3986,118,40727914425,1001696114,aDWcMnkx,40771326220
nokia,-38,2024-09-04 09-32-07,-5724,-85,40706503656,-331054265,opeTgeeM,40729162729
nokia,114,2024-09-04 09-30-11,18645,54,40700768852,-1677466025,pHpozkdd,40741806827
nokia,6,2024-09-04 09-33-39,-9819,126,40770430012,537441407,HoXqmIAT,40734370651
nokia,-59,2024-09-04 09-34-05,13947,-29,40735339830,-937979443,JPfjKNMo,40744074442
nokia,-92,2024-09-04 09-34-14,31511,-124,40717975630,-533908410,klOyoHsP,40767437069
nokia,-8,2024-09-04 09-34-25,-10236,39,40793277095,-947649379,DfHmdZkP,40776378812
nokia,6,2024-09-04 09-33-28,12319,121,40725639760,1800370636,zCgkIPhv,40772400971
nokia,-96,2024-09-04 09-30-04,32217,-24,40722189615,791940185,YyxeMViJ,40765627550
nokia,58,2024-09-04 09-32-50,8993,-31,40762371990,-1622067836,zpNMCSWt,40788984361
nokia,-58,2024-09-04 09-31-08,-17532,-52,40770545652,1246078517,batqZpsX,40756496111
nokia,-68,2024-09-04 09-33-30,-17106,-35,40795809945,1048318408,qazRSOie,40790603498
nokia,-60,2024-09-04 09-32-21,-17163,-72,40719952762,1711850125,XKQxsEKS,40773914171
nokia,22,2024-09-04 09-33-35,4657,11,40750802498,-1836244648,XhGYZhoq,40738927409
nokia,-127,2024-09-04 09-30-25,-29775,-96,40763566041,-724425088,LJuCnLHL,40728499747
nokia,-78,2024-09-04 09-31-22,-24930,-59,40794756208,-1568478517,UVrJksVE,40735479223
nokia,95,2024-09-04 09-30-05,12258,-81,40709744760,-1215111281,zzQdULVt,40714401736
nokia,-10,2024-09-04 09-34-22,14160,-31,40727707418,-383299806,waUboVAT,40752771285
nokia,-49,2024-09-04 09-33-44,-13653,-76,40799074385,-75588564,KvlXFJyE,40724901145
nokia,14,2024-09-04 09-34-03,-27198,-43,40720509927,-1289552379,EFTWqmHH,40765885923
nokia,-17,2024-09-04 09-31-53,15469,-70,40707977878,-1945424352,dHdnmUQI,40700035390
nokia,-67,2024-09-04 09-33-37,-1577,-34,40745375205,-375199074,xEVHmbme,40743817580
nokia,124,2024-09-04 09-31-14,13813,11,40719582790,-1503281724,oNDKdwqi,40796928189
nokia,-96,2024-09-04 09-31-15,28232,-54,40794523026,1489910188,DkdgdjWD,40791558026
nokia,2,2024-09-04 09-31-20,21045,-46,40778586433,-1391210574,dsSSSNeh,40783945850
nokia,-127,2024-09-04 09-31-29,-25086,0,40792280603,-471073422,AvAzJbjb,40777411400
nokia,-50,2024-09-04 09-30-12,-25206,30,40786445649,2025668199,UZbtZFAp,40781192429
nokia,-37,2024-09-04 09-32-17,2547,73,40747043538,1903670201,cLEAVMDQ,40734491474
nokia,-126,2024-09-04 09-30-26,-11008,106,40780956472,-1493956016,QYjxkGTw,40760344195
nokia,124,2024-09-04 09-34-37,6403,-77,40704595497,744562885,cJVYmdZr,40771264403
nokia,111,2024-09-04 09-30-41,-30998,-99,40775556255,-849943449,GkZebhDI,40768887412
nokia,-102,2024-09-04 09-30-34,-8391,90,40731560695,-892756176,KwVxsxAs,40791255100
nokia,-3,2024-09-04 09-34-15,23529,44,40702017299,-313890985,jUMqaqUR,40778736878
nokia,-37,2024-09-04 09-34-22,24141,-33,40717132759,1087267923,MwOEMFwt,40710926543
nokia,126,2024-09-04 09-32-39,-17313,-117,40769735654,1533570008,yKfPkFbT,40795420140
nokia,51,2024-09-04 09-30-30,25376,-101,40794504006,1236371682,SYxxzhrK,40793345560
nokia,-117,2024-09-04 09-30-29,-25455,-50,40727467969,840683128,nIoGIeXt,40758518528
nokia,-60,2024-09-04 09-31-47,-322,-114,40755675289,-1942377201,COGJZiDx,40711256242
nokia,40,2024-09-04 09-32-39,30888,22,40717486139,-1314711853,dEJQhvGt,40724223154
nokia,-34,2024-09-04 09-31-09,27213,77,40789961756,293975234,TQPQeXvT,40708716863
nokia,-3,2024-09-04 09-32-48,-21716,-97,40700138715,-2097049646,ywjltHKC,40716275646
nokia,-106,2024-09-04 09-30-20,-7042,82,40779833342,-1467382779,msXUEObJ,40774205694
nokia,12,2024-09-04 09-31-10,-1104,79,40728059797,92494527,FJFZytWH,40749044426
nokia,10,2024-09-04 09-33-12,28053,-31,40724884397,-256656400,jZZEiYcq,40750739795
nokia,-99,2024-09-04 09-33-19,10000,-84,40756295001,-1322952132,pZccVChf,40787211623
nokia,-41,2024-09-04 09-32-40,-14303,-100,40754266463,-153778213,rtPBIvUm,40736333156
nokia,79,2024-09-04 09-31-19,-13045,6,40735393950,-1392798240,lshaDOlQ,40789336049
