src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-113,2024-09-04 09-35-38,1090,63,40715852975,-581598251,MkuFpRHD,40761901842
nokia,-13,2024-09-04 09-37-06,-29228,80,40768381132,1959609514,wvkvWmdx,40765497989
nokia,47,2024-09-04 09-39-29,31634,31,40764067542,1106137145,POODzTka,40715086962
nokia,120,2024-09-04 09-36-31,-22854,-16,40780122122,236239595,zyXgWleH,40741104198
nokia,32,2024-09-04 09-35-43,7724,59,40763946249,-1742045849,qCdpJWFU,40757009866
nokia,-28,2024-09-04 09-37-29,-31885,64,40701360166,1493512300,xEAFDrRe,40767555127
nokia,52,2024-09-04 09-37-14,9178,18,40789276170,-976873612,PhIduIUh,40754209415
nokia,-18,2024-09-04 09-38-15,2479,-96,40741369065,1757138452,XbhiUgrq,40739439699
nokia,-127,2024-09-04 09-35-55,-23033,-89,40767589944,1289045726,mPCoExrl,40756917078
nokia,97,2024-09-04 09-38-18,31109,-126,40762486829,-1238712836,CKDkSYTk,40737545021
nokia,46,2024-09-04 09-38-37,-173,97,40770365287,374766781,oKsXzUEX,40712928064
nokia,-21,2024-09-04 09-38-02,12370,51,40778184247,-1969002510,YbLlTqDp,40767774770
nokia,99,2024-09-04 09-36-00,-24685,1,40710324770,2069190037,augNKXtZ,40726149209
nokia,58,2024-09-04 09-36-47,-27449,21,40708612469,-1017158903,onpZbzgg,40799533137
nokia,-17,2024-09-04 09-35-53,18822,-105,40765572844,-472032077,XdPdVjvF,40774185037
nokia,-97,2024-09-04 09-36-42,-9652,94,40702925456,-607315559,XOVAMWPN,40718017785
nokia,90,2024-09-04 09-38-46,-22604,58,40721685067,-560096114,VAwljNdQ,40761920806
nokia,-9,2024-09-04 09-36-13,7228,-101,40787840119,-312128673,hAUThTjT,40746410524
nokia,-35,2024-09-04 09-35-18,25395,-101,40736329970,-1682422778,EMpBAsMq,40777790189
nokia,-37,2024-09-04 09-35-01,8720,80,40743949912,-1001105190,JzObmdHn,40784873498
nokia,-44,2024-09-04 09-38-20,-26875,9,40740927232,1628227213,miyJOOdB,40726812842
nokia,16,2024-09-04 09-37-04,9657,124,40739619427,-2004130894,IrYapJVE,40750113370
nokia,52,2024-09-04 09-37-10,6443,123,40734994166,711276215,RpjDNerd,40790327711
nokia,76,2024-09-04 09-38-22,-32754,47,40712764571,640834438,GraFzWrv,40761078280
nokia,-117,2024-09-04 09-37-22,-31811,-111,40721546117,-1686005508,DhcwZIHt,40758048153
nokia,-92,2024-09-04 09-38-10,-16762,38,40779517036,1561174894,eSTFRmZc,40730582510
nokia,-17,2024-09-04 09-39-25,32169,-43,40749250881,-2007119516,Dzzweruq,40704383278
nokia,-58,2024-09-04 09-39-37,-16733,-85,40723538486,2075201503,GjYhdUDc,40784529218
nokia,-123,2024-09-04 09-37-45,26974,68,40766215338,1537832840,thWgAKzn,40714218561
nokia,-64,2024-09-04 09-39-15,-9011,74,40770992397,-1371459862,atksDouL,40757748054
nokia,-75,2024-09-04 09-38-35,-14074,-90,40798953660,-1840360161,wSRQLDTL,40763634828
nokia,-83,2024-09-04 09-39-00,7547,-99,40775930322,-191540494,lIdxhyIV,40728418694
nokia,-101,2024-09-04 09-39-57,-19209,-96,40775589455,661787919,MqTxnXyp,40760270815
nokia,118,2024-09-04 09-36-19,20417,72,40728310597,-1350124031,FGScbLZB,40721683217
nokia,21,2024-09-04 09-36-53,15062,-23,40753652220,1068605157,wmOmWCOi,40756275860
nokia,-5,2024-09-04 09-35-06,-10085,3,40755526618,-507535580,vAOBcqvj,40779665175
nokia,-40,2024-09-04 09-38-07,-28253,-17,40732933126,1978343268,DVgcagVc,40714134317
nokia,-6,2024-09-04 09-37-52,18616,-75,40761362819,-2078381937,FfuZraON,40708459125
nokia,-85,2024-09-04 09-37-28,-16425,4,40722622544,1099772334,bYiqDZBp,40799340751
nokia,-38,2024-09-04 09-38-46,-15181,-61,40730181430,-1807165106,AcxLhwBQ,40767489409
nokia,5,2024-09-04 09-38-37,-19421,-119,40753209071,1487275788,euffPEVW,40709104842
nokia,112,2024-09-04 09-36-05,-25073,73,40734767667,-77812542,OVfeHiaT,40787512895
nokia,21,2024-09-04 09-37-17,17487,49,40703282147,1702868509,ktfoVErj,40718793397
nokia,68,2024-09-04 09-39-34,25005,-127,40707165107,1351500878,gwAskLEc,40769597496
nokia,-20,2024-09-04 09-37-30,-14954,64,40745342185,-123658305,wRKeETiP,40705348023
nokia,40,2024-09-04 09-38-24,-1230,47,40774141603,1485510184,wntEDPqx,40753945984
nokia,121,2024-09-04 09-36-45,-15192,45,40708257316,-385513723,jprpXbSZ,40738298111
nokia,119,2024-09-04 09-37-48,10807,98,40715098851,-840121029,QazBYQiY,40721153988
nokia,-44,2024-09-04 09-39-25,-25810,17,40744504538,284927837,vMAXdYWJ,40709700346
nokia,-43,2024-09-04 09-35-45,-24300,95,40732156497,760758355,ThgmClio,40767415596
nokia,9,2024-09-04 09-37-42,1263,93,40799050718,-69842031,YlFrhHgg,40705287378
nokia,-13,2024-09-04 09-39-13,14630,-62,40726630077,1749985517,vmjDqLkB,40776727887
nokia,-5,2024-09-04 09-35-34,32589,-39,40743885911,-590990640,eIDObilK,40721427875
nokia,-47,2024-09-04 09-38-41,11482,-128,40787348713,1907135245,VqZvfIaI,40781247069
nokia,-85,2024-09-04 09-36-18,-29089,-72,40720248340,653857442,eiyWEiFr,40724203770
nokia,103,2024-09-04 09-39-08,-21610,114,40739690840,863723885,RhIFAmiq,40749256628
nokia,-1,2024-09-04 09-37-55,11507,-81,40722087937,563970202,SZMmPFqC,40767222596
nokia,-121,2024-09-04 09-35-43,-24456,-17,40757222211,294829690,OPwbdunT,40704873659
nokia,-99,2024-09-04 09-38-51,566,98,40765324060,1833944979,CdNrFRyp,40788320170
nokia,-79,2024-09-04 09-39-33,-12302,87,40728658496,1478046368,qkvJFMvG,40725003016
nokia,42,2024-09-04 09-38-32,11496,42,40726395982,271092945,btAMFcnr,40703570344
nokia,-69,2024-09-04 09-37-24,-6939,-116,40711375302,1150342455,MpihwJvg,40736469216
nokia,-33,2024-09-04 09-37-45,-24878,17,40736273929,1724946495,bFkaKnmD,40766603004
nokia,-90,2024-09-04 09-38-33,24353,-30,40725718222,-1966854887,UaPKpRXh,40743993336
nokia,-106,2024-09-04 09-35-39,4482,34,40720391336,1826585687,LXoxboDs,40766950872
nokia,-46,2024-09-04 09-39-15,-3631,-100,40783391110,-1849317958,lVTDbfPs,40710345671
nokia,102,2024-09-04 09-37-18,24972,55,40730248027,-1049859737,FmlOUKXM,40752061062
nokia,-85,2024-09-04 09-39-27,27808,-110,40706439871,-583159172,uNyLKgQB,40755662967
nokia,-113,2024-09-04 09-38-25,18503,126,40768585878,-83585185,fgvQpQan,40731603252
nokia,74,2024-09-04 09-37-17,-18997,124,40759934723,-2144191899,VkOQuAnD,40782405196
