src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,22,2024-09-04 09-41-12,-31889,7,40790651693,-671041023,UrosaviG,40739305578
nokia,29,2024-09-04 09-40-28,-5362,18,40745275787,668066040,BsptPHhp,40758091364
nokia,95,2024-09-04 09-40-38,-18248,-89,40701475761,1217042665,ayVQIJUN,40787953477
nokia,-62,2024-09-04 09-44-58,1431,15,40784419473,898130140,NJZPLdXn,40747807194
nokia,36,2024-09-04 09-44-49,20515,-69,40718330337,490761262,LgraHAyC,40716767606
nokia,36,2024-09-04 09-43-42,5228,-61,40725005824,2085643590,zGAQrZfY,40748145244
nokia,66,2024-09-04 09-42-23,-31288,5,40735950370,476653656,LVQGbDwW,40720135654
nokia,-78,2024-09-04 09-40-38,-27408,-109,40715311432,482252040,lNOQHWCB,40703252193
nokia,57,2024-09-04 09-41-51,-12894,16,40784418004,-1061851817,vyHulfxu,40756877798
nokia,68,2024-09-04 09-44-40,5878,10,40743138013,602973009,EuVtslAH,40732784320
nokia,-85,2024-09-04 09-41-16,-31027,-117,40738646659,902670241,NQFvpkKY,40753338649
nokia,-26,2024-09-04 09-44-53,3587,110,40775970101,-1685260897,yHIfMqLf,40714810272
nokia,-59,2024-09-04 09-45-00,10809,108,40711132527,-1996298207,VxiOxBcM,40794715671
nokia,19,2024-09-04 09-44-56,-22394,-11,40761684271,-136334217,zXgQoDxt,40708639875
nokia,-109,2024-09-04 09-43-27,-15391,118,40700425301,1438419532,dFYwfQVy,40792567433
nokia,-12,2024-09-04 09-44-14,-13652,-72,40769922794,-823983414,NwLoNoUL,40762259847
nokia,-120,2024-09-04 09-41-27,-21860,62,40797323379,1044089567,JiLtfqwp,40711619125
nokia,125,2024-09-04 09-42-36,5088,102,40799890205,-518532521,GjvvjYtf,40739203992
nokia,-40,2024-09-04 09-43-33,25619,38,40789423060,-1845605241,xVRsgKrp,40787088694
nokia,68,2024-09-04 09-40-47,6942,-101,40715875447,-1883554939,yXEdxmhL,40747324238
nokia,72,2024-09-04 09-43-12,-2954,-75,40742897812,-580623165,tvBkornA,40771280437
nokia,-33,2024-09-04 09-43-41,-21069,75,40723584101,-1450669446,mxFqUaMu,40789938987
nokia,-123,2024-09-04 09-41-51,-6886,-72,40736508834,1417369915,UPajiBqH,40770686962
nokia,-107,2024-09-04 09-40-38,-28722,40,40789476207,-908108206,diMHgIJe,40720256499
nokia,-121,2024-09-04 09-41-37,-24653,-29,40701617893,823239953,whxkZYeY,40796186028
nokia,-52,2024-09-04 09-40-34,-14795,-41,40790310514,-1783486258,ykgZadNH,40737568927
nokia,99,2024-09-04 09-44-39,15784,-59,40707094361,-628922513,RdTxvwFI,40719642837
nokia,-68,2024-09-04 09-43-25,6700,120,40731273882,1482862779,XJfmwbQP,40737495144
nokia,-91,2024-09-04 09-40-20,10460,14,40775629871,-1279775406,sCettlny,40710424341
nokia,69,2024-09-04 09-41-22,-16577,53,40723465787,1034731132,DZQiHzHx,40787499217
nokia,46,2024-09-04 09-43-04,14072,126,40705634435,1671102039,hhqXrKZr,40720355462
nokia,66,2024-09-04 09-42-34,-794,123,40703106022,-661055080,rPMoEIBQ,40727788047
nokia,-64,2024-09-04 09-43-31,19487,-113,40739404324,1634890667,PsTSKpMw,40709726922
