src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,25,2024-09-04 10-02-03,-10212,-2,40724236957,1987331148,TWlgQqqV,40747656125
nokia,-118,2024-09-04 10-01-21,-20648,-11,40758391516,721224784,prRxtsSO,40712632442
nokia,-19,2024-09-04 10-00-17,29377,-86,40762135953,1637307111,fhJIimHQ,40794236923
nokia,-101,2024-09-04 10-04-50,-17303,-70,40716015842,1025663561,ExeKboFa,40705772508
nokia,-127,2024-09-04 10-02-10,4511,-77,40766650519,172969729,GNUBfKxl,40708994013
nokia,-19,2024-09-04 10-00-35,9216,-10,40715846051,1996797272,qubShbtk,40713334517
nokia,-113,2024-09-04 10-00-14,1670,-90,40735407195,2140722736,ounoSUdO,40794339644
nokia,64,2024-09-04 10-04-27,20148,66,40789320485,152189993,hcEOkyOu,40701757888
nokia,15,2024-09-04 10-03-23,29454,8,40756591655,1534475051,PSveCQCI,40756405797
nokia,15,2024-09-04 10-01-33,21896,96,40794088742,-1503872463,umxmdlIX,40731313810
nokia,3,2024-09-04 10-03-54,17373,-2,40703454587,89760790,OFkqpbfY,40751684383
nokia,1,2024-09-04 10-03-04,-29243,-85,40702501599,-1537115542,dxptlgFI,40707868885
nokia,-109,2024-09-04 10-02-14,-28137,96,40777089818,-742422583,cxViZSvc,40797236612
nokia,-117,2024-09-04 10-00-41,2673,57,40702536554,663876216,BoAFZMWs,40705789444
nokia,11,2024-09-04 10-02-59,-22969,-5,40741526396,-110118704,VvhWcfCM,40769100482
nokia,-43,2024-09-04 10-00-09,11239,-19,40733068860,372213278,NnxxFjTu,40798910775
nokia,-126,2024-09-04 10-04-22,-13671,61,40760445267,2119036378,RJVBIBdB,40705411341
nokia,87,2024-09-04 10-02-44,-719,-60,40734559872,1766600911,MUrYXdMt,40718919401
nokia,109,2024-09-04 10-04-57,9131,59,40744068841,189900329,tVNCxtvm,40730339459
nokia,45,2024-09-04 10-04-23,-8010,19,40794452063,-1135923920,ljzyHnPa,40770678679
nokia,39,2024-09-04 10-02-07,-20344,122,40709096001,-654956272,ADbOaJUe,40741060892
nokia,63,2024-09-04 10-03-19,-7104,99,40738499461,-1902763057,edjdgPoK,40717653979
nokia,-120,2024-09-04 10-00-59,-22426,90,40776159335,-1529122762,ZeCPaPZN,40778357475
nokia,-47,2024-09-04 10-02-38,1923,39,40789893634,-108904462,XRmRGUTj,40759518945
nokia,-25,2024-09-04 10-02-06,-10612,60,40714455344,-1206760276,WhwCdjDV,40743128136
nokia,-127,2024-09-04 10-04-24,-27200,79,40797783347,2131735439,DFseazgN,40718520730
nokia,109,2024-09-04 10-02-19,3251,29,40761020699,-445588850,pOHmUQwE,40785612793
nokia,-118,2024-09-04 10-01-11,-24903,114,40789289341,-1569652044,yhKbRKpM,40777284172
nokia,-18,2024-09-04 10-04-42,-31012,-22,40707719879,-1666174474,JmwiNcSF,40750402428
nokia,-49,2024-09-04 10-04-48,29496,59,40700696112,2014711444,nKkKVunW,40744596095
nokia,-127,2024-09-04 10-03-40,4204,105,40729488281,2013543527,nnQTbkta,40732590995
nokia,-110,2024-09-04 10-04-51,-28645,105,40701753639,1703391604,bWZXRtit,40751480968
