src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,112,2024-09-04 11-12-00,-32183,34,40721288843,598775774,uYZiUIar,40752120757
nokia,-102,2024-09-04 11-10-29,18948,67,40795864489,456879832,CUxKkjYn,40721397003
nokia,-85,2024-09-04 11-14-19,2856,79,40764110113,-1131031504,sLQtAOiT,40749904760
nokia,92,2024-09-04 11-13-09,20482,25,40747685008,-670862662,MqJvgQAR,40710703653
nokia,121,2024-09-04 11-14-53,-15365,102,40725954060,-1186870463,CYyPfJnr,40770044322
nokia,-74,2024-09-04 11-14-19,14987,-119,40771876464,343614117,BuaUpzzI,40786538921
nokia,111,2024-09-04 11-13-00,26961,-56,40783905348,834963801,DZleROTP,40763162878
nokia,91,2024-09-04 11-10-52,10458,32,40789858246,-52278244,VykIzhBg,40784241297
nokia,66,2024-09-04 11-14-44,19171,-128,40783693730,1614584768,MwzbKkOg,40769408570
nokia,91,2024-09-04 11-11-42,14472,112,40785258257,-1227006136,xaJTfHFa,40781648437
nokia,72,2024-09-04 11-12-57,14104,10,40798247071,-836392112,osyqaKou,40745468886
nokia,32,2024-09-04 11-12-24,-4891,85,40745066707,818665863,pRAHWeAb,40779527200
nokia,113,2024-09-04 11-13-56,22173,-11,40741522936,-332367540,cbhHLXAM,40783885175
nokia,-44,2024-09-04 11-14-09,2338,-47,40739857613,956893915,yvoYAPCC,40768110279
nokia,-90,2024-09-04 11-10-52,16534,38,40780773459,707330046,kiuMrvuc,40704389282
nokia,-118,2024-09-04 11-13-49,-18176,114,40756083736,1876532522,DMeQYeVN,40736846272
nokia,-112,2024-09-04 11-13-14,-32161,40,40727228611,974755663,GuEzeafe,40710919086
nokia,5,2024-09-04 11-12-05,2586,-47,40747211604,-198524010,egVtNYts,40784722056
nokia,-57,2024-09-04 11-10-05,-26062,-128,40704885122,-521338529,NiQzjQDy,40792428065
nokia,84,2024-09-04 11-11-41,-19895,105,40765748306,2107891856,gMmmGjeS,40739089137
nokia,-78,2024-09-04 11-10-34,-1201,-124,40701961099,1911050793,vXnTPJif,40772678349
nokia,25,2024-09-04 11-13-19,28535,71,40769885229,-186386534,ooaCNLqe,40794991429
nokia,-105,2024-09-04 11-14-46,18044,116,40787873868,372645546,RCecLlob,40750879614
nokia,121,2024-09-04 11-10-52,7466,102,40754508618,649099592,TMmMqhUG,40728789017
nokia,108,2024-09-04 11-13-58,20473,93,40750540333,1531989451,pTAElaxc,40740622366
nokia,-124,2024-09-04 11-10-48,-24511,53,40783988975,1535653525,STdluqRV,40768489125
nokia,27,2024-09-04 11-15-01,1815,-85,40739001212,86721549,sSjVrUKv,40790039202
nokia,-97,2024-09-04 11-12-36,27864,-109,40759420786,-1986476169,RXLssZHN,40793504279
nokia,19,2024-09-04 11-14-05,15814,96,40735144335,-166926233,XPwwZWjj,40797305004
nokia,120,2024-09-04 11-13-49,16425,34,40767697442,71669509,QIuIsGVm,40701300090
nokia,126,2024-09-04 11-14-40,29667,-11,40719344605,688035550,BvvsZXHB,40716472208
nokia,100,2024-09-04 11-14-14,23570,-79,40720487366,-1701013404,dvCMbtgw,40735966823
nokia,7,2024-09-04 11-11-39,17157,-75,40715501952,657266007,hsyeajJR,40719522517
nokia,-74,2024-09-04 11-10-29,6300,-88,40784526969,912676464,benzaxQz,40753081535
nokia,-121,2024-09-04 11-12-04,7974,57,40746264913,-1675645514,ZaiamyQJ,40741117589
nokia,105,2024-09-04 11-11-08,-23152,-119,40792985683,-1407702099,fwBihVPk,40705852461
nokia,-46,2024-09-04 11-14-23,8173,8,40752562259,-399726529,zoUUJGpT,40772796315
nokia,20,2024-09-04 11-10-54,14553,-109,40771884002,1981971655,XLGzUdSB,40775635134
nokia,50,2024-09-04 11-13-08,19417,-127,40724069703,1596027295,oHpgzWbB,40770280222
nokia,-113,2024-09-04 11-11-42,31679,38,40778709091,-834839852,aJkEWZcP,40706527620
nokia,-1,2024-09-04 11-14-59,13248,45,40786349857,333119085,wMHYaMqy,40796096763
nokia,-3,2024-09-04 11-13-06,17268,-64,40769978161,1179350438,bbVKHDKY,40708190814
nokia,121,2024-09-04 11-12-26,-31342,94,40729562309,-1504018514,yaobhIVC,40721394934
nokia,-41,2024-09-04 11-10-36,28645,-88,40756598978,1981064603,WOMNdLCV,40717823542
nokia,104,2024-09-04 11-14-28,-4694,108,40709931136,-744365456,LHbpHHoE,40749908374
nokia,67,2024-09-04 11-14-07,-16124,-84,40745310332,204903024,bOxGLoru,40789817148
nokia,34,2024-09-04 11-13-04,-24850,-122,40794242807,-1853805136,UAQvIkzg,40722533763
nokia,-71,2024-09-04 11-12-31,13048,-52,40705206058,-407892899,hvGUvOvi,40763389406
nokia,-51,2024-09-04 11-13-05,-32464,36,40733098243,676575869,hsCxuAUL,40749381744
nokia,-14,2024-09-04 11-13-02,-8845,-102,40712962669,-72377612,BDQgjLAu,40761164312
nokia,-4,2024-09-04 11-14-59,25132,-51,40711203132,-1389883384,ZmOAVJFF,40782298258
nokia,6,2024-09-04 11-11-39,-11937,-125,40753328636,-1067461072,wlcijavR,40731660260
nokia,-126,2024-09-04 11-10-08,-844,51,40767226103,1903353736,uUBYwVrx,40731881717
nokia,-36,2024-09-04 11-10-35,-7816,85,40717069369,-1015905667,XSlhbcsG,40705355325
nokia,-75,2024-09-04 11-13-31,-21135,-69,40746406768,1857983699,AtbpVtKF,40750669801
nokia,-21,2024-09-04 11-10-46,10483,108,40760413199,-194638250,HSYjsVMd,40748003946
nokia,108,2024-09-04 11-14-53,32237,125,40796715308,-220677787,GIvDHZcQ,40726801819
nokia,2,2024-09-04 11-11-09,-15624,-90,40754256468,-2121663628,XUjuGrJA,40705932574
nokia,91,2024-09-04 11-11-42,11202,-43,40728919883,1384775871,xSpwReRL,40707682867
nokia,-56,2024-09-04 11-12-01,7417,115,40741998239,673882281,UDnRYWaR,40778723624
nokia,-15,2024-09-04 11-13-12,24617,-38,40747479697,-634390283,niGnVflC,40779581682
nokia,-8,2024-09-04 11-10-23,-14392,-99,40778492612,1164391145,qHcfbSxr,40776852773
nokia,122,2024-09-04 11-14-39,-16166,38,40783419709,-357640166,mXvEVYSp,40737164026
nokia,-90,2024-09-04 11-11-29,-5250,-28,40749731434,879066362,qQyHZCjB,40728864303
nokia,-6,2024-09-04 11-10-27,-5247,117,40752808095,1350192198,XUBvOgzL,40763560692
nokia,-79,2024-09-04 11-12-51,-17955,-89,40789769107,119222738,zOFRhFfY,40753567485
nokia,83,2024-09-04 11-11-37,19577,-41,40779093728,-800307675,FpbuYkAr,40773050483
nokia,55,2024-09-04 11-13-02,-10098,-38,40786451781,2139265638,OdafylxH,40729636576
nokia,-7,2024-09-04 11-13-22,15086,86,40751941082,-259483599,OSXpBNQr,40726950537
nokia,-62,2024-09-04 11-14-47,30659,28,40727455155,957530029,dxRZYwcU,40763358426
nokia,-18,2024-09-04 11-11-16,-16935,21,40748343577,1455438874,VWZmAZvi,40762519486
nokia,-122,2024-09-04 11-14-02,22781,113,40735323115,-896877786,rHKwRiXP,40721020027
nokia,-3,2024-09-04 11-14-10,-8050,24,40737771148,-1318581011,EwqhyVIN,40714973513
nokia,103,2024-09-04 11-13-34,30084,-124,40749325738,2089580026,OfFRCkUD,40767975899
nokia,-51,2024-09-04 11-13-09,-16135,73,40721809283,-1740573543,ReNkbuYP,40706449284
nokia,89,2024-09-04 11-13-18,-28,121,40724486734,-442385192,SZgeilbf,40731703705
nokia,23,2024-09-04 11-14-47,-6772,76,40718526231,-1107484242,zVBVmLPe,40745175673
nokia,-98,2024-09-04 11-12-54,-17795,-99,40768283365,-531949425,IGSeeqTY,40702195571
nokia,27,2024-09-04 11-10-26,-29104,42,40786193303,-1588761618,TfzhVzxU,40783812184
nokia,-34,2024-09-04 11-14-20,-24472,-73,40732976077,-878440014,lNMUzGyn,40780488073
nokia,96,2024-09-04 11-12-48,-21378,114,40730375573,-259343626,CdXeNNnO,40755668164
nokia,42,2024-09-04 11-11-58,-19531,-115,40749098597,-1455823688,aGLMwllo,40762239023
nokia,103,2024-09-04 11-11-47,-3072,-57,40710867511,-504177130,dFrFhyqX,40784418988
nokia,-47,2024-09-04 11-12-35,8959,27,40731814801,1453737909,lLTWAZeZ,40786040021
nokia,112,2024-09-04 11-12-13,26451,110,40760782041,433088895,vFQktgny,40712475914
nokia,-50,2024-09-04 11-12-37,3622,-90,40704331515,1093801239,EJXPmvAi,40704214561
nokia,-35,2024-09-04 11-10-03,18734,73,40749206804,-1279582655,zgmRezBz,40736536713
nokia,-98,2024-09-04 11-14-43,-10436,-117,40710930144,-1116817465,OGgqbpcY,40724000359
nokia,12,2024-09-04 11-14-35,24870,122,40781509243,-1243371787,wrqmJRLi,40727803929
nokia,109,2024-09-04 11-10-46,23279,-64,40760932894,1720222148,HTPrKqnS,40711543612
nokia,38,2024-09-04 11-12-24,-16049,-63,40709114895,17382532,EuqLKAvh,40750697089
nokia,8,2024-09-04 11-14-02,-24588,-44,40750036226,1553999633,kNkhovgk,40749630897
nokia,-93,2024-09-04 11-10-35,-3837,84,40713791497,978374760,zlaQQjMK,40787221048
nokia,-47,2024-09-04 11-13-59,32058,-37,40789024294,-1389293774,jNPndCnx,40737856448
nokia,-76,2024-09-04 11-10-59,-970,-114,40724044698,1075332939,vONthzTz,40784360417
nokia,97,2024-09-04 11-13-03,-7680,5,40786922376,1044662360,mLtDSiAb,40737625851
nokia,-43,2024-09-04 11-10-49,-26548,-124,40771373235,728074518,SnHnKDac,40767753362
nokia,-45,2024-09-04 11-10-21,-30991,75,40794424511,404839837,iqAnXWEd,40745543938
nokia,-123,2024-09-04 11-11-16,-28776,-74,40730214510,532337493,hZBCaSUm,40724303584
nokia,-115,2024-09-04 11-11-25,7263,-66,40707943541,483508337,PETJPkVH,40727267758
nokia,75,2024-09-04 11-11-00,-12734,-128,40713833541,-577568001,qCflfoBj,40763092735
nokia,72,2024-09-04 11-14-40,-19144,-100,40724815473,-960916538,vAgHlpvr,40778335117
nokia,-64,2024-09-04 11-11-33,-30127,-20,40702306969,-1882436158,JrYsMxUR,40701965905
nokia,78,2024-09-04 11-13-13,-22405,-85,40750104972,-1437585210,zjxbNVHm,40743524533
nokia,71,2024-09-04 11-12-01,10797,73,40772272737,984041955,QZdeqMFp,40715113953
nokia,-113,2024-09-04 11-12-54,22001,94,40750687463,-1785350940,htaaBtbY,40728289508
nokia,-126,2024-09-04 11-14-46,-26150,29,40791588370,-41875736,nvHAIRfK,40727371956
nokia,73,2024-09-04 11-10-19,-3288,-124,40738322056,1140457074,tcCjYSTA,40718907223
nokia,75,2024-09-04 11-10-03,7895,15,40739028655,84566348,YkqGogLY,40732222654
nokia,-72,2024-09-04 11-11-44,27706,-23,40744893051,1773294529,raAqdizM,40713854671
nokia,65,2024-09-04 11-12-29,1276,-15,40751247144,-1039663817,scvNnZRx,40773018909
nokia,82,2024-09-04 11-14-22,-13239,-82,40708129574,1365037932,lgUzHDSd,40780355652
nokia,45,2024-09-04 11-14-03,10922,-2,40720863415,-593668861,QSMleTjm,40704077909
nokia,-44,2024-09-04 11-13-30,24797,-52,40789785001,871677589,XwMCKHBO,40708466317
nokia,-8,2024-09-04 11-10-33,-21280,-124,40712232929,1424214495,YciIttdk,40761009339
nokia,-2,2024-09-04 11-10-36,11016,-48,40729467585,559915993,OUxLRbAC,40769551553
nokia,107,2024-09-04 11-14-02,24190,52,40720945063,1511815108,iHzKSIbM,40719930740
nokia,121,2024-09-04 11-12-11,26458,42,40732486989,-281795627,ifEtYhpZ,40778624355
nokia,115,2024-09-04 11-14-07,-12735,-43,40703024729,-1572204405,zwXrmfmY,40746305515
nokia,-65,2024-09-04 11-10-18,907,-106,40779991428,-1436491840,rkfazyGL,40711413547
