src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,69,2024-09-04 11-24-16,32213,-115,40741239096,365048487,rXKPKjPF,40774268372
nokia,-60,2024-09-04 11-20-44,31988,1,40724415793,-104532892,HqbxSGze,40777825648
nokia,5,2024-09-04 11-21-06,28086,-45,40750446667,317629096,mEONjuQj,40716299899
nokia,-25,2024-09-04 11-22-19,-3791,-30,40760150545,-293666120,GuzIOJtu,40736668687
nokia,-40,2024-09-04 11-21-05,28798,17,40707765086,-922746988,hnuzKkkX,40794452902
nokia,37,2024-09-04 11-23-10,-28536,70,40772063959,1878525140,fBHcuUlw,40715598346
nokia,-98,2024-09-04 11-24-43,13890,-4,40772187053,-1203463964,OOffbbVI,40780081083
nokia,-43,2024-09-04 11-20-26,-5821,41,40701250724,-898827102,SXEHeljD,40780373579
nokia,39,2024-09-04 11-24-10,19752,-116,40783609930,1828986094,NAAnfTIv,40722234884
nokia,-125,2024-09-04 11-25-01,9735,122,40721013712,-769135874,pLqVEIhQ,40700123162
nokia,-72,2024-09-04 11-21-59,17109,11,40792322841,-453381780,ISRZJmyk,40704862104
nokia,104,2024-09-04 11-23-59,5576,98,40759158949,1535507208,QmGQTlmp,40767003196
nokia,110,2024-09-04 11-21-52,29794,-78,40733611256,1678345479,NmhJrowx,40708780954
nokia,-54,2024-09-04 11-23-15,6495,2,40798162846,-1505834852,CnuJxmEt,40719161346
nokia,77,2024-09-04 11-21-42,31677,-114,40752714026,112170612,riQsBlET,40796155931
nokia,110,2024-09-04 11-24-35,-21063,54,40798683522,-1092958140,InbdZfFQ,40772121293
nokia,-10,2024-09-04 11-20-30,-20265,90,40720143583,-1672655763,lyDMqqIZ,40722759401
nokia,-69,2024-09-04 11-20-09,22236,32,40741166610,1122591235,FsLpWuln,40733483980
nokia,21,2024-09-04 11-22-01,5393,6,40784940718,669668951,dKxGywyq,40735274569
nokia,1,2024-09-04 11-22-36,22331,-51,40783504760,789580425,gRjDSgbN,40730050869
nokia,55,2024-09-04 11-23-04,-5297,-26,40750950232,1769275451,WpHGronI,40737053970
nokia,23,2024-09-04 11-21-20,22647,-22,40701175624,-916198213,SehEgLag,40785467748
nokia,46,2024-09-04 11-24-23,-30081,-78,40770088825,45929118,GCOHXeRW,40757656281
nokia,54,2024-09-04 11-24-42,19925,46,40750985894,-439776376,nXNQRsVw,40768147514
nokia,-101,2024-09-04 11-21-23,20493,115,40783473647,-492205818,QooKJLMR,40712162220
nokia,-75,2024-09-04 11-24-02,23836,-89,40761095350,-581926409,CWIcroIW,40790122654
nokia,18,2024-09-04 11-24-02,31945,36,40795447491,875273026,TtXYbqje,40769537711
nokia,22,2024-09-04 11-24-38,-27232,110,40750124612,1567160607,BdWTlSij,40776690167
