src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-61,2024-09-04 11-38-55,-12560,108,40795841863,1848671491,rCZWxcsp,40796679860
nokia,18,2024-09-04 11-37-58,17224,-21,40704438043,596524669,DfButhwy,40715333836
nokia,79,2024-09-04 11-38-10,30620,66,40704123846,1197888418,rqgGaeGk,40773251765
nokia,113,2024-09-04 11-38-40,-7772,-88,40767646677,1001295862,lRLduFjL,40763773630
nokia,-109,2024-09-04 11-38-22,-7815,-34,40704311417,-1106797047,KKndtuIV,40705822311
nokia,-32,2024-09-04 11-37-49,-9146,-109,40786692077,1766911972,GFflXQxl,40791935252
nokia,5,2024-09-04 11-36-00,17421,-4,40722070781,1768147867,DiVbQwox,40783880837
nokia,66,2024-09-04 11-38-17,-26994,-45,40735977061,-852127361,OsmDLakI,40730360711
nokia,46,2024-09-04 11-38-07,-11395,-87,40781508221,367416847,fdeGajkD,40716301536
nokia,117,2024-09-04 11-38-28,-307,-119,40727741457,1300551469,ztoxmmWX,40728619058
nokia,-63,2024-09-04 11-35-30,-32621,82,40768407522,1018582810,sDhyhyfi,40773718695
nokia,-98,2024-09-04 11-39-04,-31468,-55,40711600544,-1158310511,qGGwdlTM,40733995713
nokia,100,2024-09-04 11-35-36,14277,19,40752453901,1048659740,bbXsjhyC,40719144743
nokia,-65,2024-09-04 11-38-09,-27638,68,40791591789,1403727736,xPZNuOTJ,40753320194
nokia,-30,2024-09-04 11-39-08,17479,-114,40798812316,917377889,XAWZLxCr,40745826447
nokia,3,2024-09-04 11-37-30,-26804,-35,40713190950,-851508749,GFDxbwAx,40711028267
nokia,122,2024-09-04 11-36-27,-29595,8,40744917048,-2070940273,FNksnurH,40736635289
nokia,-95,2024-09-04 11-38-59,-29457,-68,40789365893,-1535918757,LgRqfjpO,40772372639
nokia,60,2024-09-04 11-37-20,24447,28,40702605424,26712552,nMQkKPTa,40704975750
nokia,-38,2024-09-04 11-39-45,-4616,-60,40717678171,701886625,TzHeSJhQ,40736077839
nokia,-21,2024-09-04 11-38-51,-3228,26,40722368489,183198765,nhjcanAx,40779963756
nokia,114,2024-09-04 11-38-10,-1934,37,40704403354,-1411459246,QKtrmpSN,40755881228
nokia,-26,2024-09-04 11-39-48,-15376,115,40796317540,419570183,SSYEuGBo,40769760553
nokia,87,2024-09-04 11-36-41,-10383,-126,40712356031,934428104,XmCjnxKm,40750189002
nokia,-21,2024-09-04 11-35-11,27447,-45,40769880961,2029777790,edpqCfuH,40777390949
nokia,28,2024-09-04 11-36-18,32361,-10,40719238747,25669145,YHFgSHJm,40784482611
nokia,56,2024-09-04 11-38-37,18537,68,40736062872,-1902343693,rxEeTlLO,40722967175
nokia,111,2024-09-04 11-38-23,26469,123,40751071338,401775895,wtYJaYCW,40774614152
nokia,-111,2024-09-04 11-39-54,4422,-100,40785446784,2093405124,ZROcRAUY,40738162975
nokia,-14,2024-09-04 11-39-37,-8042,-82,40748266904,77396278,DInwtgjs,40790865036
nokia,24,2024-09-04 11-35-05,-16227,-76,40719128345,1651192995,QUUdSNDi,40766255061
nokia,-27,2024-09-04 11-35-06,-26856,-49,40762405612,1109902789,XWXPdSWA,40780204503
nokia,-102,2024-09-04 11-37-21,10248,50,40718426219,-848264078,QPZZjAVh,40703226703
nokia,40,2024-09-04 11-37-06,-23365,-37,40776200659,1431371796,IfvHQftF,40746323826
nokia,90,2024-09-04 11-35-28,22058,46,40757726294,1876959033,GsjvRFlX,40703153090
nokia,-105,2024-09-04 11-37-00,24958,3,40739128718,-2013414032,UPMMtKlo,40741580793
nokia,96,2024-09-04 11-36-07,-32504,-103,40742177936,2066909468,ZvBTNXlm,40715662230
nokia,121,2024-09-04 11-36-39,-694,74,40762371761,-175106538,UvBNqTwx,40726538582
nokia,-92,2024-09-04 11-39-27,11269,34,40741716557,-1110651065,oGEcZOSi,40779114418
nokia,-63,2024-09-04 11-37-40,30966,44,40799309957,1738110705,IJlEUoio,40705197340
nokia,-88,2024-09-04 11-35-53,-19953,40,40779312065,340499642,LUKGifxt,40760918131
nokia,-66,2024-09-04 11-36-11,31682,-44,40779824987,-1168034733,PckYkMkD,40731443497
nokia,55,2024-09-04 11-35-27,17552,28,40729164383,1948517435,ymfjbgGa,40740089322
nokia,-68,2024-09-04 11-35-21,-5324,-35,40749355080,949493369,YPpXlvsM,40761218963
nokia,124,2024-09-04 11-37-02,30945,120,40749810214,-922801802,ZjwhQTMk,40781293420
nokia,-115,2024-09-04 11-39-14,-15823,62,40768643806,1205937142,InYkHSjE,40739913565
nokia,-33,2024-09-04 11-39-58,-17540,-33,40799131574,-370422781,FdcaZMDy,40785236506
nokia,70,2024-09-04 11-36-31,-2650,18,40701557492,-981349099,gojfatDt,40716597806
nokia,122,2024-09-04 11-35-03,-29537,80,40773263263,-2083123743,ptiLoqgd,40778545582
nokia,-33,2024-09-04 11-35-42,12720,43,40765483813,747610187,oJQkhkum,40783412558
nokia,3,2024-09-04 11-39-42,-15325,-16,40738033461,533182939,joYnnrVR,40769322774
nokia,-86,2024-09-04 11-36-05,14913,112,40750018871,187514914,YnhrRqzC,40726171421
nokia,-40,2024-09-04 11-35-48,13178,4,40777471899,1673462478,jMOvoVWn,40770690207
nokia,69,2024-09-04 11-37-04,-26736,-55,40737389471,-1694688047,FSGuQWhy,40722893644
nokia,-35,2024-09-04 11-38-27,-3919,65,40784541942,1203736954,ETSBedAM,40754515398
nokia,57,2024-09-04 11-39-59,18928,57,40710821387,1634714213,DVbaPaIJ,40785599012
nokia,-1,2024-09-04 11-37-53,-4793,-112,40734815278,1137710091,NONXnfOH,40730735264
nokia,24,2024-09-04 11-38-17,7870,83,40746688004,-42792102,OQnRVeAr,40787371091
nokia,109,2024-09-04 11-39-59,-3296,8,40781541853,140642699,DTGIDEZy,40754272982
nokia,-29,2024-09-04 11-39-44,-17601,-125,40748007223,-229985017,anqWHlCh,40716433828
nokia,96,2024-09-04 11-35-20,-22886,59,40792148869,-462367621,tLKheKwZ,40771616223
nokia,-81,2024-09-04 11-37-45,-31577,-14,40751047633,1781624185,eTvFSnKl,40761693316
nokia,11,2024-09-04 11-35-24,-28829,-97,40788413930,-1719939241,yHcABlXD,40798955624
nokia,27,2024-09-04 11-36-14,-13357,88,40769257144,-1245784025,fduzOPdT,40789075088
nokia,-125,2024-09-04 11-39-30,13984,71,40752349343,1587162071,LsqPOpVj,40787684313
nokia,119,2024-09-04 11-37-17,13490,-114,40771303896,382964026,DKWuMQKG,40765451689
nokia,-31,2024-09-04 11-36-49,-24942,41,40778770832,-1780014860,WsrzIoHR,40722464157
nokia,-69,2024-09-04 11-40-00,-8229,4,40708670252,-1225851763,pEDLHaUc,40790322085
nokia,17,2024-09-04 11-39-51,22111,-120,40769383583,-1069942818,GnJhxBZK,40764711862
nokia,-39,2024-09-04 11-35-46,-15454,63,40709001308,-527780576,bwrVoEyj,40732572910
nokia,-65,2024-09-04 11-37-31,-14996,-29,40793378175,-567041458,gQAydnJk,40725219280
nokia,93,2024-09-04 11-38-45,-30073,-5,40729800422,1938441039,YPXnAsxA,40762715971
nokia,55,2024-09-04 11-38-24,-23848,17,40769768829,-1555662323,UcQPQOND,40757573534
nokia,-28,2024-09-04 11-37-32,-10886,89,40794633319,1122745918,WtpoMkKV,40711786610
nokia,-104,2024-09-04 11-38-08,9383,71,40734354290,679433064,FtwuiwFU,40715083866
nokia,-112,2024-09-04 11-35-33,15169,82,40794090086,-1033789291,eWVqLObJ,40769402780
nokia,87,2024-09-04 11-36-23,3968,-104,40751386963,-155416354,ibCAYRFx,40715376444
nokia,20,2024-09-04 11-35-32,20949,64,40766298230,2104524984,PwCEyVhU,40715854603
nokia,5,2024-09-04 11-36-21,-24274,110,40739532614,-364953341,cHlEmMFX,40707238388
nokia,71,2024-09-04 11-36-11,18928,-40,40703065283,-1277104465,afMvRCQb,40766998835
nokia,-123,2024-09-04 11-39-30,-11533,-116,40785521234,840088331,OKFLOVhc,40777045495
nokia,84,2024-09-04 11-39-49,21424,-6,40718771226,-1984029503,kBgdZUFL,40764050875
nokia,-128,2024-09-04 11-38-23,4971,-109,40756576317,-10735504,mRVVmDVk,40761253209
nokia,82,2024-09-04 11-36-38,25151,64,40749949331,-2078874617,ogGLSucf,40759695287
nokia,-1,2024-09-04 11-38-22,-9185,1,40760227460,-885930306,nxCabPSf,40769472849
nokia,102,2024-09-04 11-36-44,-5460,-47,40700267498,-1785158554,jumZifIj,40770670398
nokia,-102,2024-09-04 11-36-05,-13953,97,40739706223,760437049,oTMfVyeb,40726357747
nokia,-26,2024-09-04 11-38-20,27018,73,40794450238,-1177550558,jQhbEvlB,40787370337
nokia,-24,2024-09-04 11-39-09,-26334,96,40799102331,1206298601,HuNMlFvY,40743766364
nokia,74,2024-09-04 11-36-40,-24318,124,40793415530,1885796814,eSkVfHKV,40723923354
nokia,-52,2024-09-04 11-37-27,-2957,50,40759273174,-2121033427,ShcmkEdH,40721610441
nokia,65,2024-09-04 11-38-58,20576,105,40741004696,-624461394,CGOaWjno,40722898705
nokia,-108,2024-09-04 11-37-16,-20511,-58,40775419213,-624890307,lsRRNCsJ,40795369826
nokia,-48,2024-09-04 11-39-08,-18716,63,40754851366,-441604641,sjDKcVdi,40752634345
nokia,-84,2024-09-04 11-36-21,26293,44,40762499785,295958575,ZRZHYtVD,40745765505
nokia,-115,2024-09-04 11-35-55,-20926,-67,40704684170,-1382227632,MVsoYFuc,40725363663
nokia,42,2024-09-04 11-35-36,27832,-8,40723963729,-1907069198,NwggduVi,40786541088
nokia,-31,2024-09-04 11-35-06,17063,-77,40712972860,-849071635,yDMbeAbg,40748695776
nokia,-38,2024-09-04 11-36-19,31697,-125,40766970436,1019813874,gaDZOtrp,40707078550
nokia,41,2024-09-04 11-36-53,26435,-91,40708683591,-680684741,qWknOpJC,40750762320
nokia,16,2024-09-04 11-36-04,13187,47,40773618611,685709630,vpTgJShn,40787317797
nokia,12,2024-09-04 11-35-26,30718,-31,40781630719,1161717331,MyYVXIdy,40707520505
nokia,-125,2024-09-04 11-38-14,-26862,105,40762563474,603048633,kvcOXacP,40702400388
nokia,-2,2024-09-04 11-37-16,8223,102,40795650658,1479408861,LGRxKaeY,40764172577
nokia,47,2024-09-04 11-37-36,1825,-2,40799945074,307476518,NhMATbjH,40708124874
nokia,-96,2024-09-04 11-35-10,-1121,35,40787838083,-1967721392,rIIqhMGZ,40792829675
nokia,-23,2024-09-04 11-36-14,1835,-66,40773302497,-334558920,GChTIoCE,40730343991
nokia,-72,2024-09-04 11-35-36,-14332,72,40717388906,1427952662,HWTpvOzm,40799441558
nokia,-65,2024-09-04 11-38-18,29246,-77,40774511984,-455168974,FweprHKV,40727663219
nokia,-119,2024-09-04 11-35-47,-4591,-80,40774271329,533623583,zCfuUINJ,40747319173
nokia,-18,2024-09-04 11-35-38,21512,-93,40745736789,-352060899,dWhbYZMS,40709055358
nokia,23,2024-09-04 11-37-48,29231,124,40727152628,741331452,gLoXsOxU,40715373519
nokia,112,2024-09-04 11-36-39,-20717,104,40731549430,-1945590775,zUKSboED,40757139621
nokia,61,2024-09-04 11-38-47,-10615,30,40747802748,-916667184,jbIrgBPx,40780482167
nokia,126,2024-09-04 11-35-55,15725,27,40750173342,-644849126,GeGchxnA,40734693826
nokia,99,2024-09-04 11-39-15,-29088,115,40772026356,2119854573,yzSjhjID,40781912945
nokia,-35,2024-09-04 11-39-42,4383,101,40797111638,445481938,NfbxcIOj,40791847507
nokia,44,2024-09-04 11-38-12,81,-79,40776717576,-1805982397,WqFIWeuC,40705293346
nokia,41,2024-09-04 11-38-09,-23142,49,40722893127,1476940144,jIAaFMnx,40703175454
nokia,-3,2024-09-04 11-39-41,29875,51,40705373884,1023974136,WpqnLimF,40740361138
nokia,62,2024-09-04 11-37-18,-26805,-76,40729213599,314320666,hQZIiFcZ,40796850212
nokia,-113,2024-09-04 11-38-01,-32162,73,40734528958,851472290,yPzLaZhL,40761172960
nokia,-34,2024-09-04 11-38-53,-10355,-76,40767650551,-1240399111,LFmSNQQI,40742967606
nokia,68,2024-09-04 11-36-16,14240,-123,40719804952,-1100868734,PGSDWECJ,40772564874
nokia,35,2024-09-04 11-38-25,24987,11,40734080901,-1118336510,RoBSBZKR,40777292605
nokia,-67,2024-09-04 11-36-31,13103,-101,40772762791,-1400886323,ZRcqQTuK,40761875497
nokia,44,2024-09-04 11-35-30,-2587,-116,40755133070,-205007746,vSHzWvoi,40716039361
nokia,25,2024-09-04 11-39-46,15631,-96,40791935077,-82706493,rchvbVGa,40798317648
nokia,37,2024-09-04 11-36-49,14407,11,40719134152,150658962,JYKjzJPO,40725622483
nokia,-54,2024-09-04 11-38-32,12457,-98,40716576782,2112065878,RIpokMaz,40729766191
nokia,-24,2024-09-04 11-36-36,-32043,-90,40762777656,973264818,jaUrHmYd,40731535065
nokia,92,2024-09-04 11-36-31,415,57,40713839512,-835386364,AzblHfGG,40792428434
nokia,-111,2024-09-04 11-36-57,18511,127,40773441188,-704789537,peLiumPA,40749172539
nokia,-63,2024-09-04 11-39-22,-9919,39,40705753490,-2032726142,ZjYddclj,40717564590
nokia,85,2024-09-04 11-38-57,-20717,-127,40727024304,610421102,iJnWwzxn,40716299635
nokia,-16,2024-09-04 11-35-40,28576,126,40734857274,-502292602,QOkQFLXz,40752877613
nokia,-65,2024-09-04 11-36-36,9343,-1,40799356447,-751950368,XVRVMIvL,40747688778
nokia,114,2024-09-04 11-38-42,-26309,-117,40703592108,-1988616405,wNvYrtyx,40769658865
nokia,-66,2024-09-04 11-38-51,22480,-60,40736040194,-1824839628,IQQuCRGa,40794561368
nokia,-107,2024-09-04 11-35-01,-28467,52,40765393984,1099521200,JLUtTpfL,40704411487
nokia,58,2024-09-04 11-35-03,-4385,-64,40746512991,-600728916,ESlZmUSE,40780674382
nokia,48,2024-09-04 11-39-41,-14448,62,40773227250,952130826,gXfBBBYD,40773504049
nokia,-50,2024-09-04 11-38-59,25853,-104,40702974644,748217614,RmSCGeEI,40798341759
nokia,93,2024-09-04 11-39-42,10844,-17,40716302622,2039827053,VHFyOUHJ,40708985411
nokia,-55,2024-09-04 11-35-10,17926,-35,40762073728,-1667023034,WpRdpDSN,40780565097
nokia,74,2024-09-04 11-37-19,3308,81,40709277814,-1116439866,xkaWfauu,40753840602
nokia,-122,2024-09-04 11-36-17,-472,-106,40795474985,909210076,XXKmzDNX,40787260060
nokia,-87,2024-09-04 11-35-07,-21946,59,40713312110,1458276443,yvfyXWOF,40777561975
nokia,-25,2024-09-04 11-39-16,-17199,-53,40700098850,1407697092,mhDCSZfy,40781840247
nokia,119,2024-09-04 11-37-22,8728,39,40757360067,2056349319,pvtrkmkC,40710334637
nokia,50,2024-09-04 11-36-26,23222,59,40776447751,1940982219,luwrPhGE,40786898447
nokia,45,2024-09-04 11-37-46,31021,-44,40706575128,-162135420,cmXuUUmL,40772607608
nokia,-88,2024-09-04 11-36-27,26886,-34,40711283919,1574489424,PmvKAoys,40789468655
nokia,-44,2024-09-04 11-37-05,-10859,13,40720616931,-1332956399,xxgAMPdF,40707920188
nokia,23,2024-09-04 11-35-33,-4596,88,40728589855,144270812,czuaUMrI,40767627007
nokia,125,2024-09-04 11-35-09,-5303,-83,40784433255,-1468120633,GKbLHQbp,40788175444
nokia,72,2024-09-04 11-38-16,10389,47,40792197472,1552118337,wztJIpzX,40732355917
nokia,-110,2024-09-04 11-38-19,22058,102,40742868448,1760110570,bIdKuwcF,40743689826
nokia,-46,2024-09-04 11-35-24,2307,-68,40782103569,-1115299343,oEXJfURu,40707995243
nokia,-60,2024-09-04 11-35-40,-23399,-16,40776088781,-1788751093,DYHeFcPR,40789840062
nokia,-101,2024-09-04 11-38-22,23006,91,40713819797,889510596,TpocVDdB,40755634827
nokia,9,2024-09-04 11-37-58,-6996,-72,40709791773,-1752742769,OcIKQHnV,40733351033
nokia,112,2024-09-04 11-38-23,-26297,-105,40783556313,-1385339571,HuLvtWRt,40725775985
nokia,-68,2024-09-04 11-37-00,-5352,124,40717913572,821622528,oBzhAAFm,40732182148
nokia,34,2024-09-04 11-35-39,-10114,8,40787747320,-1653350211,YCebZtrd,40700137353
nokia,-22,2024-09-04 11-38-57,11352,72,40787494991,651026998,BAeclbsG,40779618776
nokia,64,2024-09-04 11-37-03,9300,76,40766656711,-1224617439,AmSCHNqg,40758357771
nokia,-68,2024-09-04 11-39-56,-16660,44,40738235021,1388458521,QoXWFixJ,40784822201
nokia,91,2024-09-04 11-38-56,-20188,22,40791854832,-1960202214,TpsoqOxi,40709788230
nokia,-42,2024-09-04 11-38-49,-12249,-32,40727809899,-1222250689,fqXgGWgy,40745325940
nokia,-114,2024-09-04 11-35-34,26284,-114,40728682992,-2141218362,WMueybGO,40707142195
nokia,-52,2024-09-04 11-39-26,-12207,23,40793444149,215791222,WtYsvRGd,40760578594
nokia,46,2024-09-04 11-37-59,10478,-102,40751852174,-1573661504,JmEvJasN,40712688708
