src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,82,2024-09-04 11-56-51,4858,-7,40761295582,1122902162,cvrnZMTT,40774861572
nokia,-126,2024-09-04 11-55-50,-12131,106,40767802897,-436063764,HMlNaReC,40710496141
nokia,29,2024-09-04 11-56-14,-19548,104,40724695278,1186022010,dkTEEycC,40717299976
nokia,107,2024-09-04 11-58-47,-1978,-15,40741020989,1772677079,QtbkJDBY,40755314196
nokia,-68,2024-09-04 11-57-11,17306,-87,40710769211,-34014036,JOyOijvk,40739027652
nokia,-14,2024-09-04 11-56-15,16815,-25,40759878003,1689256068,GZecpamG,40757093017
nokia,95,2024-09-04 11-56-33,-13293,-127,40739112053,1618887836,fHsXefhp,40755028032
nokia,-29,2024-09-04 11-55-50,-21558,42,40756460994,1840908640,cHMtyreI,40713674653
nokia,67,2024-09-04 11-57-18,14846,21,40758566857,-295082935,eMwAZxHs,40702450850
nokia,-34,2024-09-04 11-59-16,24772,79,40792616559,-944892529,MWxEJYQu,40791892387
nokia,-47,2024-09-04 11-59-18,14459,27,40703546152,-435914850,cRyMgWLU,40739236140
nokia,40,2024-09-04 11-58-57,-4123,-94,40783869699,569104168,QOwWwOBn,40739413174
nokia,112,2024-09-04 11-55-32,-29004,76,40716961593,1300357815,DJonndsj,40740511415
nokia,-114,2024-09-04 11-57-40,27551,-18,40731023778,290189881,HNmcTXSv,40718123714
nokia,-67,2024-09-04 11-56-49,19768,-59,40741207131,-185952913,wAPRWSuK,40718475363
nokia,-110,2024-09-04 11-57-37,-3112,123,40750333871,-268437158,EXqODytx,40789144753
nokia,50,2024-09-04 11-56-17,-27184,101,40705711908,1368574212,uliWTMaa,40768537346
nokia,45,2024-09-04 11-56-43,-11721,-115,40727107704,-901791477,eHnkjhqO,40732439457
nokia,111,2024-09-04 11-56-51,21794,53,40711666328,-893052542,bnTylZFe,40791553316
nokia,-98,2024-09-04 11-58-47,29127,57,40741663277,992851935,hiWJloGn,40715664728
nokia,-52,2024-09-04 11-58-26,-18061,-117,40776671985,16528900,sIsvxMhu,40788999665
nokia,28,2024-09-04 11-58-09,-17986,-63,40719650069,807526068,UbWiXSOS,40777937085
nokia,97,2024-09-04 11-55-55,19589,-11,40796347773,-667935894,UQCDTAOw,40789584518
nokia,-86,2024-09-04 11-55-36,-21007,-70,40760313790,-437579661,cuwErXkR,40707335459
nokia,-104,2024-09-04 11-56-19,26708,114,40751109761,1129653411,ehjQDDUs,40712409332
nokia,79,2024-09-04 11-59-24,-13257,63,40789558409,-1938022927,OPevfoSJ,40707378653
nokia,-26,2024-09-04 11-55-04,-6066,76,40745837373,915796018,RFiTodEu,40767582047
nokia,8,2024-09-04 11-55-06,-3511,-28,40718386528,-821654845,GSZjhPtv,40751754725
nokia,114,2024-09-04 11-59-18,-22317,73,40791696614,-366392058,uzQiXakx,40761638468
nokia,-41,2024-09-04 11-59-19,-20126,-73,40741570773,898288526,UpyIUsSm,40726709937
nokia,20,2024-09-04 11-55-53,-29291,32,40724350470,-929621928,WInJFdDC,40742495781
nokia,-37,2024-09-04 11-58-53,-28215,57,40740940926,-262840177,KREiEzxk,40716966282
nokia,-46,2024-09-04 11-58-00,7087,25,40771824093,-929127694,wySsapLm,40705746007
nokia,113,2024-09-04 11-56-43,17719,60,40720585557,-1187390040,ixjLeLVg,40742217006
nokia,44,2024-09-04 11-58-00,20588,30,40798332495,-2090255812,iLKTEnob,40766293947
nokia,-61,2024-09-04 11-59-19,18501,23,40714263641,16551617,jWdlKtSJ,40722355931
nokia,-63,2024-09-04 11-57-32,-21602,-99,40746796724,-2060168385,HIumMVge,40731171935
nokia,4,2024-09-04 11-59-08,17395,-14,40714615772,-1633163353,nDqwnmym,40752164781
nokia,-45,2024-09-04 11-58-55,492,28,40777151867,1203626176,PohnktOL,40741613014
nokia,-54,2024-09-04 11-55-35,3604,15,40776236208,1857047967,FUnsaxdJ,40765869687
nokia,31,2024-09-04 11-57-03,1922,0,40792832508,-360308191,eaJpHEgm,40713533775
nokia,54,2024-09-04 11-58-51,19170,-20,40735006755,1545823946,aKXPfOJt,40763316882
nokia,96,2024-09-04 11-57-40,-10696,-29,40795905655,-682781966,RuihaEQG,40726604176
nokia,-112,2024-09-04 11-55-34,-30662,-43,40751664020,-2084126720,ccrlWkKs,40702597473
nokia,68,2024-09-04 11-57-11,27321,86,40773344101,-1960401295,hEBXuzZq,40722320860
nokia,-105,2024-09-04 11-59-00,32323,50,40790994482,-1596143094,wqboXAAe,40747918881
nokia,-98,2024-09-04 11-58-24,210,76,40729987031,-595834348,BrDpNVBc,40790518491
nokia,-128,2024-09-04 11-55-54,17441,55,40780519285,372850009,ZVIuwhyG,40708549417
nokia,5,2024-09-04 11-59-33,24655,-102,40716448605,-1160441579,pFNrJONR,40702408654
nokia,-56,2024-09-04 11-59-09,2407,93,40712349778,-1112982524,WgHnHhwg,40716989832
nokia,-114,2024-09-04 11-57-17,-23654,117,40767830256,-103100453,UHVxGIZJ,40793936550
nokia,119,2024-09-04 11-58-27,19593,-114,40762325462,569447834,YXQFcrhl,40717916980
nokia,-80,2024-09-04 11-55-01,32708,-94,40795984171,2062380620,jwTOPQyi,40730458650
nokia,70,2024-09-04 11-56-55,26191,74,40767602873,1856394221,XpUYwEcX,40773090805
nokia,29,2024-09-04 11-59-14,26791,52,40712690767,-858760627,AORaAZyJ,40794239182
nokia,32,2024-09-04 11-56-27,-17728,-67,40777069680,-2058129155,RYqoPEZN,40779337926
nokia,77,2024-09-04 11-55-28,7780,102,40782431028,1448751943,pYYtAsJM,40756847832
nokia,-124,2024-09-04 11-59-28,12501,-3,40740927017,1538438513,GFToOboe,40775087021
nokia,115,2024-09-04 11-59-34,-20496,-100,40737495232,-466363774,RfWIbbWw,40753356659
nokia,-73,2024-09-04 11-55-16,7626,105,40791676149,426017005,eyBmoGvm,40781962524
nokia,29,2024-09-04 11-55-26,2822,75,40732818459,-145264902,whKuIgox,40740856052
nokia,-88,2024-09-04 11-56-01,26842,-87,40713458608,-473572585,ICeBmBcO,40736013069
nokia,125,2024-09-04 11-56-44,30826,-67,40773037571,-1566257642,ElwGdtMb,40736513285
nokia,-76,2024-09-04 11-58-55,-14825,110,40704787993,-291937531,poDbcQtH,40759518820
nokia,93,2024-09-04 11-57-41,28761,97,40798432982,-384619855,FbVGneZp,40748827443
nokia,73,2024-09-04 11-55-57,-15877,-83,40736099124,-1029287247,yWLTfHeO,40797390252
nokia,20,2024-09-04 11-58-28,-30667,-111,40717475628,373240699,NhYetmzk,40752496276
nokia,-55,2024-09-04 11-58-33,20002,-39,40738187510,1376959900,pFbrocAg,40779974575
nokia,23,2024-09-04 11-55-02,-28408,-99,40790731825,269721445,HXPeXdNn,40758438833
nokia,29,2024-09-04 11-55-45,13656,16,40792088070,-886290630,RryQHwMW,40793990871
nokia,-27,2024-09-04 11-58-12,21955,113,40762821982,-1349293224,XRKgVqmX,40739545077
nokia,-78,2024-09-04 11-56-00,26427,-96,40792756723,-1293129050,CDafYNxg,40798361173
nokia,-128,2024-09-04 11-58-42,29377,-127,40729567329,-1354528562,QgVzlhge,40738043268
nokia,44,2024-09-04 11-57-48,-9054,-93,40713264947,-1806616606,NwqgoCRV,40795986818
nokia,-19,2024-09-04 11-56-35,13814,122,40772217233,1878490169,BnhJvvCO,40740856177
nokia,127,2024-09-04 11-59-58,9995,-104,40744186214,936548249,RExCCXuy,40761599016
nokia,45,2024-09-04 11-56-30,32325,38,40780781781,335439510,GQkDeaXo,40777697390
nokia,-127,2024-09-04 11-57-50,24015,76,40775407080,1446079282,wNNZBcLa,40752876385
nokia,-18,2024-09-04 11-55-57,10285,65,40789759150,1048967114,IPODsZLC,40725097694
nokia,-50,2024-09-04 11-58-35,28102,-25,40729447932,1262641451,dvXlSoWB,40744149195
nokia,-28,2024-09-04 11-58-45,-7275,112,40750291124,1659185374,fOlgDmTg,40773584442
nokia,-8,2024-09-04 11-58-45,17528,7,40781741497,-2133737334,kJSjlXvQ,40760880008
nokia,-49,2024-09-04 11-56-10,-18403,-124,40729201104,-1683906730,zBZwQtWe,40798472439
nokia,-95,2024-09-04 11-58-16,13677,-99,40753599270,343647416,qRUnvyVX,40701447003
nokia,87,2024-09-04 11-57-45,-1762,-14,40772628139,-1610562283,NnzXbFRp,40705817422
nokia,120,2024-09-04 11-57-54,-25073,-75,40747931102,-1624997100,pdMElwgF,40794620488
nokia,23,2024-09-04 11-58-34,-3097,-21,40779353119,1405911042,khmhIaQI,40773998504
nokia,-61,2024-09-04 11-59-40,-32182,103,40712760068,982439802,vavMhilO,40788677430
nokia,-1,2024-09-04 11-56-42,5603,-67,40757550687,644759155,HTuNoMAT,40769658179
nokia,97,2024-09-04 11-55-39,-11658,-124,40795265330,-142764717,AbOYvuXW,40719542268
nokia,-59,2024-09-04 11-59-40,-17822,-5,40744439168,-2024401102,ihbqoOSH,40770697242
nokia,-51,2024-09-04 11-58-39,-23829,52,40742818255,-800672470,NtgXUjuB,40764789722
nokia,41,2024-09-04 11-57-59,13340,42,40777650177,1496066403,VvnGrBit,40778468857
nokia,-37,2024-09-04 11-58-27,-21305,91,40775303539,366906811,JdtYRtSd,40743784087
nokia,-29,2024-09-04 11-55-09,-13081,48,40702120840,1995265551,TcepMqCM,40786382450
nokia,-105,2024-09-04 11-57-08,-3090,-42,40762133251,-1839016474,mRRbEepq,40771137343
nokia,51,2024-09-04 11-55-45,-4826,-123,40761653002,-826319491,ynomhUMC,40780988256
nokia,21,2024-09-04 11-56-24,29624,106,40788542813,1882625122,aIthIvjJ,40779624570
nokia,-102,2024-09-04 11-55-21,-9751,-107,40772652167,-1749049240,xNPEWTZP,40773142411
nokia,-38,2024-09-04 11-56-34,-997,-94,40765857819,-665224262,bCYUNIqW,40771674314
nokia,34,2024-09-04 11-59-58,-8989,-54,40745298990,1776605369,PKxabJHn,40778860362
nokia,37,2024-09-04 11-57-34,6012,94,40796949535,-437039753,tDXlEAPk,40761093739
nokia,7,2024-09-04 11-57-47,-18848,35,40701320233,1541066878,bMEQAXEq,40770930876
nokia,90,2024-09-04 11-59-15,-17095,0,40747487394,-494791464,fJTnsnjT,40785749158
nokia,55,2024-09-04 11-56-47,-21598,48,40730496352,-391576737,NAeBVfvJ,40724618973
nokia,90,2024-09-04 11-55-24,12586,-95,40758140317,-1640826758,ObONtlSO,40727918074
nokia,86,2024-09-04 11-59-06,29655,95,40733200626,159360134,EGcMGlUZ,40757211147
nokia,69,2024-09-04 11-59-07,-30140,32,40719937062,-407361001,xJRoJTqi,40764225188
nokia,-84,2024-09-04 11-56-41,18745,-62,40798313203,-747823322,LsmZCEJV,40719215765
nokia,-112,2024-09-04 11-55-03,25091,2,40790502109,1197556538,rzJkYnen,40738482903
nokia,-80,2024-09-04 11-58-15,2515,-88,40701851095,-1214092679,AQpYlerf,40740679815
nokia,86,2024-09-04 11-57-04,-4737,117,40798794330,848061587,PzPOxAtV,40770651334
nokia,103,2024-09-04 11-55-04,-23175,-123,40797436431,-983564225,MtlOsQbj,40720994893
nokia,95,2024-09-04 11-59-53,27402,45,40709541186,-1392745101,VRIHzVfQ,40757291896
nokia,80,2024-09-04 11-59-40,32632,-89,40738163535,456887776,ossRNSNi,40702346538
nokia,117,2024-09-04 11-59-53,-8757,98,40703498160,1261274353,VBTeFSpm,40763126375
