src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-112,2024-09-04 12-03-58,29062,-94,40717637492,552114951,IYBIWdka,40789612552
nokia,93,2024-09-04 12-02-12,28638,-9,40725550288,1714806175,CMvhsBYL,40780899023
nokia,-65,2024-09-04 12-02-00,10403,93,40705270989,916138642,JMHFFHmF,40775278367
nokia,123,2024-09-04 12-00-43,1734,-54,40729922907,-723308246,HZvuJeyD,40732390302
nokia,-71,2024-09-04 12-04-06,28530,-121,40770610745,713495882,QityPtij,40724004716
nokia,-49,2024-09-04 12-01-51,9922,90,40737300191,-1340028930,jhFmOxoT,40721397434
nokia,-53,2024-09-04 12-02-19,18096,38,40775008484,-1388059103,HLYnBeno,40746298114
nokia,-69,2024-09-04 12-00-27,-4861,81,40774330695,-1586891227,fNIzhoBE,40771805532
nokia,-105,2024-09-04 12-02-38,-28219,-57,40785776346,1739846711,UIUMumau,40725398981
nokia,-8,2024-09-04 12-02-21,-16834,-42,40703755939,-293015773,dwXxDePK,40710621718
nokia,-105,2024-09-04 12-01-05,-8727,122,40778387242,-1753856372,grtOUdgi,40752629569
nokia,-92,2024-09-04 12-03-53,-28272,-126,40794611585,-1241049933,pwNgyyzm,40733678081
nokia,-75,2024-09-04 12-02-02,1405,55,40740636067,1327554772,lGCaqDgG,40772603239
nokia,8,2024-09-04 12-03-38,-9443,-61,40732535838,-673139130,sVyrmwrz,40737847371
nokia,75,2024-09-04 12-00-37,1248,-86,40790628820,1645678113,YmURocHS,40781555804
nokia,17,2024-09-04 12-03-06,-6338,-78,40744422936,1656269359,aqNbWCyU,40717511327
nokia,-32,2024-09-04 12-00-26,27888,126,40756313459,-1566898668,iEOFxMYC,40737830511
nokia,-35,2024-09-04 12-02-22,32266,-122,40718473968,-1993597557,QJHpRpwt,40722562954
nokia,109,2024-09-04 12-02-50,28678,-11,40775371275,754165250,MkHwHkHK,40781022235
nokia,-33,2024-09-04 12-02-08,5486,72,40779348338,-1613759806,VrKabhLx,40728578069
nokia,-14,2024-09-04 12-01-40,13030,35,40748023918,994995315,JYzAmlXj,40753859819
nokia,92,2024-09-04 12-02-39,-5943,-122,40797098882,777043164,fRqoCdla,40771603902
nokia,92,2024-09-04 12-04-39,-18138,93,40735648496,576241794,wCzRVahR,40751912361
nokia,-25,2024-09-04 12-03-18,-22188,113,40786723027,-477983208,VMgRrriE,40724048001
nokia,32,2024-09-04 12-02-55,18102,-22,40763483634,-1706755573,MfmQUCUK,40795192836
nokia,5,2024-09-04 12-00-05,-18469,-128,40797342321,-1414821117,vMKCTSLP,40716819414
nokia,93,2024-09-04 12-03-35,22674,106,40771580590,-677783438,sdGVeZsG,40723800625
nokia,104,2024-09-04 12-01-57,10095,59,40795433982,2108058819,QcuyFXUW,40735676860
nokia,-15,2024-09-04 12-04-09,20394,108,40712240226,-2029932076,ZmkgCfTK,40792497480
nokia,72,2024-09-04 12-00-45,691,-43,40776238091,287649460,trUzRLEA,40708766697
nokia,-92,2024-09-04 12-03-59,20378,-5,40762659116,296026139,tkdfOrzc,40705865669
nokia,90,2024-09-04 12-03-49,6630,-4,40738167453,200976224,qmAvfWEm,40746545069
nokia,-25,2024-09-04 12-01-08,-11452,-99,40701660935,1484922981,hPBgVwbP,40724031699
nokia,-89,2024-09-04 12-01-36,-12382,-75,40755402651,1866064506,RomVPQAd,40779369735
nokia,-11,2024-09-04 12-02-23,-1968,118,40719990759,367625082,CCszsOqm,40748363056
nokia,28,2024-09-04 12-00-54,-29620,106,40741203775,-915295830,xjQsqNjG,40774946870
nokia,-34,2024-09-04 12-01-44,-22212,-121,40734099625,-1644942928,abtHGXBj,40739390748
nokia,-9,2024-09-04 12-03-19,27696,95,40705139549,-979896049,JDQdeXmk,40719957202
nokia,-10,2024-09-04 12-02-38,22247,9,40739295891,-1581356180,KvxeJMjh,40719337342
nokia,-51,2024-09-04 12-03-32,28425,-63,40775833883,813861476,iCeUOyzt,40771943591
nokia,-11,2024-09-04 12-00-46,9225,-8,40777561207,1360694700,gGanBTRl,40704709665
nokia,51,2024-09-04 12-02-49,-8604,-79,40732244776,590925976,mOEjoDaL,40739415698
nokia,89,2024-09-04 12-03-38,15405,-90,40772244879,-1315698525,vDMjflcy,40724195795
nokia,44,2024-09-04 12-00-29,-7217,28,40760542418,276027950,WsuXDfxb,40724357652
nokia,-60,2024-09-04 12-02-45,5393,30,40797080307,-50440317,oBVdcpBi,40797276461
nokia,56,2024-09-04 12-03-13,19167,19,40701836958,-185172829,BapgnjjM,40761713314
nokia,67,2024-09-04 12-03-11,134,-60,40729852260,-260797803,ynzthxGM,40780786537
nokia,-11,2024-09-04 12-01-25,15776,-69,40716765890,2010188427,KaAqnDsa,40785772498
nokia,97,2024-09-04 12-00-31,-19508,-90,40795127232,1504342173,xmbLCBYO,40782110931
