src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-53,2024-09-04 12-13-24,16842,115,40796043273,1489626578,mhgjlwPH,40782949615
nokia,13,2024-09-04 12-13-19,-18437,59,40777868082,-245396774,jXkHMQpe,40710795304
nokia,-36,2024-09-04 12-14-28,24884,10,40761214591,-1305530359,oFVlJuar,40703948307
nokia,42,2024-09-04 12-10-38,-19494,-39,40730741373,-256927521,uAbqiAoE,40790325369
nokia,113,2024-09-04 12-11-11,-19624,-18,40780898464,-71454680,kwYVqFrP,40799870367
nokia,-52,2024-09-04 12-11-46,-31319,-116,40757086970,1268126924,NmtEbNxO,40788890705
nokia,8,2024-09-04 12-12-35,29952,79,40774020135,447405562,lLGPXPCW,40737239119
nokia,91,2024-09-04 12-12-44,18985,-110,40762786771,72105575,uLuiQfnW,40789414504
nokia,60,2024-09-04 12-10-45,15037,-11,40743550582,2134269431,MoosZHvJ,40779988438
nokia,-21,2024-09-04 12-13-16,17115,105,40740891863,-175554412,fKagMbEw,40736194724
nokia,-21,2024-09-04 12-11-06,18229,72,40781164500,-1237087511,EDQvzwuT,40722169400
nokia,63,2024-09-04 12-12-13,27874,-112,40708188442,-122927292,ATnGRNTR,40777314633
nokia,34,2024-09-04 12-10-16,6955,25,40703151234,243422030,yIPKzeng,40735817160
nokia,84,2024-09-04 12-11-15,30567,-80,40792344289,503877333,IpuqDqRr,40764323540
nokia,39,2024-09-04 12-10-07,8776,-45,40762652772,512071454,lhXkVmxb,40712136654
nokia,-78,2024-09-04 12-12-10,2747,-106,40736475054,-1534729523,uQxMbQwy,40731356940
nokia,123,2024-09-04 12-11-29,22609,78,40738027723,1788023041,BSbmbKdQ,40721251381
nokia,-118,2024-09-04 12-13-27,8418,44,40755782157,1007933402,alIfDPWy,40701887697
nokia,-87,2024-09-04 12-10-14,-20128,6,40771185086,99406691,bQWeYEuf,40781323192
nokia,-110,2024-09-04 12-12-35,20853,118,40783105885,615591572,KAxTnmSU,40777022003
nokia,24,2024-09-04 12-12-57,1680,52,40761887584,-1349980355,NeirdyRF,40784511689
nokia,91,2024-09-04 12-10-11,22686,111,40708733797,1066290222,DaGUrBnm,40794991476
nokia,-80,2024-09-04 12-12-13,22389,-63,40776360957,56570517,CAyGFABn,40777849908
nokia,-83,2024-09-04 12-14-05,-15413,6,40762885076,-536054244,tmvxkYci,40723333577
nokia,101,2024-09-04 12-11-22,-13103,20,40750511615,282546334,qWHAHoEN,40706604704
nokia,-28,2024-09-04 12-11-53,-22598,48,40703453722,-48377458,BVKIIVpk,40711688696
nokia,114,2024-09-04 12-11-34,9777,35,40791031340,-834293385,qZrHmZhY,40773350082
nokia,-109,2024-09-04 12-10-22,27565,-32,40729199428,848035694,tqOHTGio,40772183067
nokia,93,2024-09-04 12-14-42,12876,-73,40768236173,582185584,cyFQaMAn,40706511263
nokia,109,2024-09-04 12-14-27,5940,126,40786627418,197916125,VbENJwDD,40768196551
nokia,82,2024-09-04 12-13-43,-25194,-80,40778404542,-20470056,LjgfXTKl,40758853615
nokia,-11,2024-09-04 12-13-52,-31662,-61,40740085384,-336036310,Ilmwgxar,40742761002
nokia,63,2024-09-04 12-13-57,-12421,-54,40709064626,231495575,jNVveWyw,40702036012
nokia,-102,2024-09-04 12-14-30,-27063,4,40779050661,-360711276,xkKLXAlD,40790714750
nokia,-18,2024-09-04 12-14-28,-2137,85,40764124636,2111441464,tDMiUrGW,40741014188
nokia,23,2024-09-04 12-14-35,20373,123,40717421563,-1942151464,DlkeeBwl,40752342635
nokia,62,2024-09-04 12-11-44,-17864,60,40774086130,1245639133,mEhEuOPC,40708448428
nokia,52,2024-09-04 12-11-55,-32168,-83,40731759598,749879803,DQoCXncj,40764349142
nokia,-127,2024-09-04 12-10-57,-1790,-96,40707166387,91177705,ioUoKYYS,40753289179
nokia,54,2024-09-04 12-10-09,13276,29,40739760624,1062109869,AkPYsyJC,40756219625
nokia,30,2024-09-04 12-12-11,-18905,16,40725253461,-1815397658,XVbasBBR,40784525085
nokia,124,2024-09-04 12-10-26,17490,41,40747457705,27037057,TdjbLWqI,40749200346
nokia,-57,2024-09-04 12-13-47,-26056,118,40724925014,-558112549,pILElaMN,40755252074
nokia,-94,2024-09-04 12-12-06,6026,17,40731078382,-2066225586,exKqAvum,40733632892
nokia,64,2024-09-04 12-10-45,-1226,-97,40757237049,-1185849365,OTYEffzC,40717727584
nokia,-87,2024-09-04 12-11-23,-21589,22,40789142600,379848940,UPMtCBZt,40724766944
nokia,-41,2024-09-04 12-11-18,9747,115,40744896076,-2064462143,gLRDBmAA,40790990432
nokia,113,2024-09-04 12-10-46,-13644,119,40718228005,-180607802,KXVpTVNB,40726193967
nokia,-121,2024-09-04 12-11-12,21132,84,40791962201,-499100210,APXfNSJl,40752893228
nokia,94,2024-09-04 12-10-12,9640,-23,40728520524,-1466522969,sJoqRvRP,40731022691
nokia,-61,2024-09-04 12-11-46,-19594,48,40795980899,-361380682,kpfjDTGB,40705645790
nokia,-40,2024-09-04 12-12-40,3171,-4,40762001076,-1774654757,ONwpWUfM,40746475021
nokia,47,2024-09-04 12-13-27,32337,-36,40766447299,1916179558,OsPNzIdo,40750221005
nokia,88,2024-09-04 12-14-05,-15233,50,40774716884,1594721495,RfDqxKeM,40784255597
nokia,122,2024-09-04 12-13-11,5118,-10,40781428076,1160063306,sCEodyrJ,40753358111
nokia,-62,2024-09-04 12-10-35,9616,-87,40783148146,-367210259,HTWhMyCK,40730584618
nokia,8,2024-09-04 12-14-36,-1651,13,40762514201,294431646,bLMTEcfo,40779275736
nokia,99,2024-09-04 12-11-48,31679,-126,40759055200,-165508877,jCihewjA,40769977969
nokia,-60,2024-09-04 12-11-19,-19231,101,40743360533,837186662,QNXWUTZK,40711349665
nokia,-52,2024-09-04 12-12-23,23771,-69,40736769836,-967498532,MwhmpykW,40737362969
nokia,-89,2024-09-04 12-10-17,-12780,-82,40756180745,-1760518443,XnbBoybH,40777449351
nokia,-96,2024-09-04 12-11-30,7460,120,40773383944,-8049684,ebrxHnWW,40734556896
nokia,88,2024-09-04 12-11-07,-23615,-24,40798656991,-1605854062,AvJGeuMu,40714501268
nokia,-121,2024-09-04 12-11-42,-6049,-99,40783877024,1664487669,eTrBDyXi,40784799298
nokia,-40,2024-09-04 12-14-44,28980,48,40705314660,2023743039,ThXjOEVe,40719988255
nokia,-111,2024-09-04 12-14-26,10376,54,40775620796,1183418045,EOSdrEiH,40768311198
nokia,112,2024-09-04 12-11-30,-1556,19,40757879410,987269116,HztAoPLO,40772235032
nokia,45,2024-09-04 12-14-32,-9766,-118,40798540194,-117832897,jDUayZdA,40727408376
