src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-47,2024-09-04 12-20-36,28369,114,40746109046,-839363432,DDLKmLXX,40719790563
nokia,117,2024-09-04 12-23-58,-8904,51,40743089027,632234167,mlAOOgGR,40791886063
nokia,65,2024-09-04 12-22-03,9497,78,40796990029,310377712,jQDmpAXq,40713980044
nokia,13,2024-09-04 12-23-34,26108,-24,40785818235,528526878,TNBhfODV,40764242704
nokia,-114,2024-09-04 12-21-21,5659,99,40738744366,-1741851974,iNPLfecn,40715569291
nokia,-118,2024-09-04 12-23-46,31883,117,40771093541,1614026761,QENvoapv,40715796021
nokia,71,2024-09-04 12-20-02,-21759,-22,40775173778,-1532885990,OSTvRNwA,40760311470
nokia,-93,2024-09-04 12-22-02,-29853,18,40702787451,-1037831548,rIitHJQT,40750963565
nokia,-43,2024-09-04 12-23-23,9361,-121,40756572719,321306013,iYuSGtCm,40745131420
nokia,-68,2024-09-04 12-22-44,-28262,-71,40755736591,-818133501,cWnPDYUe,40783074074
nokia,81,2024-09-04 12-23-06,1813,-13,40777924767,-1305943252,ygiIrxUh,40749489046
nokia,-38,2024-09-04 12-24-35,-1608,93,40799458171,-608860769,bOzXEeME,40717623728
nokia,-66,2024-09-04 12-23-06,13914,-58,40767361947,1389616856,XoClYXMn,40705968856
nokia,-122,2024-09-04 12-20-18,10707,48,40781316494,-904882657,fAAODjeV,40725854070
nokia,22,2024-09-04 12-23-42,-22059,-68,40798015407,39021006,TfXcQUkM,40734912277
nokia,37,2024-09-04 12-20-42,-21739,-82,40710901880,-1945832653,XtpMjica,40778612628
nokia,92,2024-09-04 12-20-39,-17931,27,40702408187,1705886394,FaaGTKXx,40708042824
nokia,27,2024-09-04 12-20-14,12659,-86,40735466883,-30994872,oeFNLXot,40704077039
nokia,53,2024-09-04 12-22-02,-5885,5,40701584231,-1144827996,fWXxYLWM,40706624866
nokia,8,2024-09-04 12-24-17,-1802,-109,40773618324,-961860230,XJyfFAdB,40717625382
