src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-22,2024-09-04 12-41-41,-4191,-32,40732119381,1785975034,IvHeWJhp,40778510294
nokia,64,2024-09-04 12-43-27,25246,73,40759912528,100390503,ndAPpteW,40796475987
nokia,-71,2024-09-04 12-43-50,-24722,41,40757531926,1263435675,GPnkwojM,40724293935
nokia,60,2024-09-04 12-41-34,28760,101,40766727954,-569526481,OlAkmuIM,40794990175
nokia,-45,2024-09-04 12-42-12,-14041,23,40776579621,20391955,xrAofeXY,40710343205
nokia,55,2024-09-04 12-43-35,24945,35,40778985061,1500140692,JVcZHOmo,40762999492
nokia,8,2024-09-04 12-44-25,19178,-21,40762389242,-138085175,YaIEoqxY,40755619776
nokia,36,2024-09-04 12-43-02,21116,45,40704289131,-864734368,BdeSHYFZ,40725209872
nokia,116,2024-09-04 12-42-11,21475,-91,40739354707,-2047456332,KSIbzoGI,40762082858
nokia,-96,2024-09-04 12-41-17,-17892,102,40782775589,-47421635,FmKveXjR,40766560935
nokia,-2,2024-09-04 12-41-35,-735,-33,40739778740,-2041782442,mGsQVJKb,40744329671
nokia,1,2024-09-04 12-40-50,-6107,-122,40749726581,555973706,nfRWKhgo,40775399779
nokia,26,2024-09-04 12-43-44,-31464,71,40793461068,-601283029,xTZHdJSi,40738930085
nokia,-65,2024-09-04 12-41-26,-23047,-17,40720553730,1690137942,QaXnpaDK,40778759753
nokia,-26,2024-09-04 12-40-01,-19733,-67,40798004832,24787455,whsLJvRk,40757784541
nokia,97,2024-09-04 12-41-52,4076,-55,40719470782,933247646,eGMuqJtJ,40703664327
nokia,4,2024-09-04 12-41-51,29293,-115,40741698572,1857473728,yfLwzUxE,40784060163
nokia,19,2024-09-04 12-40-50,-32530,-125,40779652785,-815713347,UUmClvSD,40711285047
nokia,-49,2024-09-04 12-44-45,16449,-64,40746520522,2048483303,mMGTBZWh,40742528227
nokia,115,2024-09-04 12-40-14,-11740,118,40775086204,-2135453332,sWUTwOBU,40746955254
nokia,52,2024-09-04 12-42-18,4633,66,40756960460,-4642195,xRZszrrt,40752963601
nokia,-56,2024-09-04 12-40-41,1815,30,40726601456,-265187359,wCXNHhXz,40758203995
nokia,73,2024-09-04 12-44-54,-30704,24,40792475023,1537591327,pVENgIcN,40796003238
nokia,-2,2024-09-04 12-43-38,9592,21,40791568896,412800792,vGAUndsW,40781491098
nokia,58,2024-09-04 12-44-56,4418,-31,40729960558,-43927731,ScTCkmmw,40732170795
nokia,-118,2024-09-04 12-40-53,-14442,60,40797515286,1990632091,fpxiMtRS,40796813393
nokia,84,2024-09-04 12-40-15,5486,111,40728412602,1807993282,SVBOVryz,40782631460
nokia,-19,2024-09-04 12-43-15,-16597,-113,40753283544,50972553,haRbZdAf,40763778437
nokia,113,2024-09-04 12-40-30,-6584,6,40706218275,2116950334,fpdlPWui,40791722332
