src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-90,2024-09-04 12-45-17,12985,55,40771275790,-677055477,yXQIOaKa,40727821175
nokia,14,2024-09-04 12-45-17,-12778,-89,40784234792,-186665816,YNimeuEi,40709098200
nokia,82,2024-09-04 12-48-58,-5275,103,40701794632,1996312528,EqmzxgNc,40749531507
nokia,-63,2024-09-04 12-48-12,6840,-18,40763042904,1868065603,XvJZTIji,40710582538
nokia,-77,2024-09-04 12-47-07,-31079,101,40782365781,1052627248,fmtWlIXs,40721570598
nokia,-31,2024-09-04 12-46-55,-31,34,40768116226,1241210422,qpilvfyw,40744635852
nokia,-5,2024-09-04 12-47-43,25380,-88,40706122202,1973391219,YKCKZHLi,40700863355
nokia,97,2024-09-04 12-46-46,-26943,100,40798280137,1044548663,cCQlFYjM,40715299455
nokia,33,2024-09-04 12-45-42,2845,-87,40777407120,120641816,ZfeQjeeP,40706879268
nokia,-104,2024-09-04 12-45-17,11868,101,40748347515,1789035502,BLlyedJV,40775230459
nokia,28,2024-09-04 12-47-19,8196,29,40796216340,285727479,ITLAvdHQ,40742489359
nokia,-82,2024-09-04 12-47-49,-12032,2,40710962019,1920561515,flMNpSpd,40761309339
nokia,125,2024-09-04 12-49-32,1622,-125,40760134669,-2080940468,oaiCPAUv,40795882058
nokia,82,2024-09-04 12-48-16,19999,2,40796089050,-1893810779,pgTJuEzR,40799459293
nokia,90,2024-09-04 12-49-56,-20087,-39,40760648779,599806371,TmpeLpQA,40733350361
nokia,84,2024-09-04 12-48-36,27369,60,40781847968,888288539,XvNAWviI,40709376088
nokia,-107,2024-09-04 12-49-49,11905,-26,40734382187,13680622,udmmUdlP,40795263842
nokia,59,2024-09-04 12-47-19,-17388,109,40710088763,-351591103,euVVwzIY,40703109840
nokia,65,2024-09-04 12-47-40,-18751,-41,40746288109,-465880862,NOwPYVVS,40792407215
nokia,-5,2024-09-04 12-47-23,-25546,100,40735490650,-708085659,cQkJBEfO,40731137991
nokia,-65,2024-09-04 12-45-05,20617,86,40739897856,-1950381346,LXoibGYz,40773332347
nokia,71,2024-09-04 12-45-43,-28212,38,40734489763,-927359808,cxIeaoWQ,40785670757
nokia,103,2024-09-04 12-48-45,-5950,-7,40758668989,-916060751,QDIjSekw,40789073925
nokia,-83,2024-09-04 12-46-33,6792,-56,40768609657,599631653,agzyRTKI,40725338469
nokia,2,2024-09-04 12-49-40,7823,123,40701934685,-205046326,evAfipKc,40742858724
nokia,-13,2024-09-04 12-48-33,-4050,17,40742536099,528735055,FskDIjyz,40788972157
nokia,0,2024-09-04 12-48-13,23869,-78,40771830276,1157213474,ssaNXDvo,40771160094
nokia,-10,2024-09-04 12-47-48,31489,-72,40776172195,-1382496272,GhpsVVro,40710320046
nokia,111,2024-09-04 12-45-50,7341,-25,40715834207,1854090164,qTuoynVt,40753732346
nokia,67,2024-09-04 12-45-42,18103,-27,40770846321,-318187588,EXJoiLQd,40707695226
nokia,-96,2024-09-04 12-48-30,-20626,-12,40759429277,-518923886,WIxcVaVq,40756027277
nokia,101,2024-09-04 12-47-27,16642,54,40751679959,-117144806,IxZYnTnt,40740646186
nokia,125,2024-09-04 12-49-26,21300,-37,40757342127,179206398,OXvBpCWD,40705744289
nokia,-107,2024-09-04 12-49-46,-28497,-43,40731646804,1792919069,UNHemzIH,40785542911
nokia,-15,2024-09-04 12-47-54,-5915,-120,40753220117,-1319496721,gnVhIfMo,40769787826
nokia,-116,2024-09-04 12-46-07,4163,-1,40714002359,574678049,LoufjqNF,40763115182
nokia,40,2024-09-04 12-47-12,28337,-25,40755907630,565985729,lyFPQTWR,40753843990
nokia,1,2024-09-04 12-46-27,-737,80,40701602428,-2066164735,qMFCAUZB,40739480671
nokia,95,2024-09-04 12-45-17,25482,86,40796545457,990659777,kvcuckIe,40713721828
nokia,0,2024-09-04 12-46-56,-21760,125,40707966766,-173471171,KBMVcQeS,40752907459
nokia,56,2024-09-04 12-49-18,-13177,68,40744859665,-1601583309,dYMSRaiT,40783962071
nokia,2,2024-09-04 12-47-55,304,-106,40791114664,705974528,HTCOHUff,40704308198
nokia,-16,2024-09-04 12-46-01,29071,-67,40700810388,303874238,SRXOzrfN,40753170509
nokia,38,2024-09-04 12-48-34,22093,52,40755229240,-220089186,dCpaVzIj,40796444448
nokia,122,2024-09-04 12-48-18,24666,30,40715749379,-228329538,LICpAEET,40762584042
nokia,-36,2024-09-04 12-49-30,30875,31,40717924678,1666283085,UhvQFqRe,40784022840
nokia,-85,2024-09-04 12-47-48,-20840,32,40797571295,-233836079,UExBAkmr,40730491788
nokia,21,2024-09-04 12-45-55,-7834,-106,40746939271,-1892437874,CUooicZU,40745776658
nokia,-120,2024-09-04 12-46-06,14288,-62,40747801520,675194945,TktLXoaK,40764038603
nokia,99,2024-09-04 12-48-32,30563,-107,40702712112,162062235,HJOGkggB,40747255296
nokia,107,2024-09-04 12-48-11,-18467,127,40783881172,-1083320029,jArEbnlv,40760171369
nokia,34,2024-09-04 12-46-24,2973,-96,40718805386,-1178614648,kAAYgSUy,40775088701
nokia,101,2024-09-04 12-48-47,13428,62,40789346035,1701014176,gLUpSdkD,40700292977
nokia,91,2024-09-04 12-47-09,-16834,-101,40798932787,1511354369,czOaHxub,40725311263
nokia,-70,2024-09-04 12-45-27,728,-96,40747449788,1058548945,MiKpACGi,40781294681
nokia,-55,2024-09-04 12-48-49,-9220,59,40707601411,-1150019119,PQNfSLoE,40759656720
nokia,-26,2024-09-04 12-46-03,14359,-23,40776772142,2077840463,hvtxVMIm,40761320231
nokia,-82,2024-09-04 12-45-32,-14293,-8,40721950791,1383889029,GVcqWRUp,40702470260
nokia,-38,2024-09-04 12-47-59,4749,-68,40767427289,1448897763,KnQhXVNS,40716299714
nokia,15,2024-09-04 12-46-54,10614,-29,40741440628,661186188,WQDTSzXk,40705031372
nokia,-39,2024-09-04 12-48-37,-23067,2,40726147420,-225954853,rQYEiTHe,40760572555
nokia,67,2024-09-04 12-45-48,-29782,88,40736636142,1529826261,CXfWmNLK,40788549938
nokia,66,2024-09-04 12-45-54,-30515,-70,40794349520,-1002689896,BBnkbMsv,40774639621
nokia,-37,2024-09-04 12-45-14,-3256,-27,40792563425,-783886777,gOfQNizG,40733264641
nokia,-120,2024-09-04 12-45-16,-16441,73,40754409807,-1437314633,SPhpyldg,40710997809
nokia,87,2024-09-04 12-48-16,-754,-69,40759032965,-1666485647,ZJtPzuDH,40745182144
nokia,46,2024-09-04 12-45-29,6069,31,40702987705,803832606,LyYSUHOL,40771310529
nokia,-20,2024-09-04 12-47-17,218,13,40796092303,5667437,zrNLTxOp,40765538574
nokia,101,2024-09-04 12-47-54,19733,90,40705272173,1758311812,xXGkePOF,40775809858
nokia,64,2024-09-04 12-48-41,31573,-48,40758069062,73119464,vcribCPQ,40787297273
nokia,-91,2024-09-04 12-48-48,3490,58,40754517284,-888891602,MFuLnbyE,40775612879
nokia,-125,2024-09-04 12-47-57,3676,41,40780097139,1880430765,qtuYqEtj,40716679622
nokia,92,2024-09-04 12-47-12,-32651,84,40753022146,-2005943384,qImhdKDO,40721424594
nokia,102,2024-09-04 12-45-02,29948,87,40711210731,-840901372,PDqzhzQW,40772026764
nokia,-62,2024-09-04 12-49-51,-7135,37,40721110230,-1310563230,obIqutqW,40777879837
nokia,64,2024-09-04 12-45-40,7557,88,40744322194,-1525660631,KLKKjDjR,40701125820
nokia,-127,2024-09-04 12-49-03,21313,0,40734582781,-1272192376,qEJPkVdO,40733798215
nokia,64,2024-09-04 12-45-35,10288,70,40707253401,386472613,ToqwuShU,40779706999
nokia,-124,2024-09-04 12-47-44,-29064,-40,40728833910,2084804768,jEkRCYAj,40735795770
nokia,108,2024-09-04 12-48-54,20286,-112,40711283707,346429934,sAQpAMwm,40781176814
nokia,-120,2024-09-04 12-45-50,16659,125,40779632101,-1867583196,gWxYBjfo,40786967168
nokia,18,2024-09-04 12-46-46,-16306,78,40712860321,-1613705247,hHkcFprk,40762161752
nokia,-28,2024-09-04 12-47-35,30761,-29,40740326598,34003464,vudcAfxF,40778902016
nokia,74,2024-09-04 12-46-16,-20012,121,40794246331,-125365249,FUfNwopU,40715615719
nokia,-64,2024-09-04 12-47-23,-31133,-51,40774866020,1754992254,RKTjjWRl,40786642078
nokia,-63,2024-09-04 12-47-53,-22492,115,40782667187,529218128,sHBtROXh,40768503685
nokia,35,2024-09-04 12-46-31,26832,31,40726423410,690829741,jfLBrHQB,40702251508
nokia,77,2024-09-04 12-49-20,-27184,71,40776590755,-2135379531,ONWSIrDZ,40734514956
nokia,-107,2024-09-04 12-49-07,-7980,105,40732203968,390244831,BvAjjEVs,40774922841
nokia,68,2024-09-04 12-47-10,-25371,-12,40719662340,1257600655,QUyTfeHq,40726923555
nokia,75,2024-09-04 12-49-08,2582,124,40725832635,-1122224761,LjmETmrm,40735961781
nokia,-8,2024-09-04 12-49-57,5675,28,40753298401,-943523432,mmCZtIFO,40736910323
nokia,108,2024-09-04 12-48-42,-28957,-127,40780373787,-1208462515,iXWJXKpM,40744224153
nokia,24,2024-09-04 12-47-42,-29180,-66,40798857127,1862347135,qShbqSqV,40739521898
nokia,-88,2024-09-04 12-49-41,13939,-76,40717132321,-1955653368,GZAQAUbL,40722637754
nokia,63,2024-09-04 12-45-35,7042,-102,40786376432,1335533364,VqPchlSR,40732871688
nokia,99,2024-09-04 12-47-39,4597,32,40711733501,-1315304869,xFySPvkL,40732207795
nokia,16,2024-09-04 12-47-08,-2843,107,40776522909,-2027769457,jIycCNGt,40739833851
nokia,-12,2024-09-04 12-45-56,30980,-37,40718456008,1698190222,KEXxPRYQ,40779148768
nokia,120,2024-09-04 12-49-07,810,-12,40753006477,-1084242986,JmjjoWcj,40794196488
nokia,29,2024-09-04 12-47-17,25163,-13,40775758993,-1564295868,eXdqeeeQ,40791540797
nokia,-59,2024-09-04 12-45-46,-10370,-13,40789463594,-834319224,QEGWTRXd,40724068422
nokia,110,2024-09-04 12-48-58,-11577,50,40720141047,1738943285,DitLZEmn,40787625238
nokia,121,2024-09-04 12-46-32,-5783,-59,40777285027,-935607275,gjFLXjjZ,40702284979
nokia,-110,2024-09-04 12-46-54,25910,91,40785833478,932648972,xcrKESWn,40776363601
nokia,91,2024-09-04 12-49-00,-5177,-66,40705126711,593444019,ogLchXLS,40759927115
nokia,61,2024-09-04 12-45-49,-22402,117,40776813972,-1536279855,ukElssVr,40745323641
nokia,-7,2024-09-04 12-47-01,25421,102,40766284153,-1781722549,RehWCarQ,40781210973
nokia,-112,2024-09-04 12-49-55,-25594,75,40729370631,-167385584,eITgVSWg,40731546485
nokia,-79,2024-09-04 12-46-49,10783,124,40761692907,-396545031,yvncDgHz,40762693725
nokia,-105,2024-09-04 12-48-05,-18783,-82,40733447916,-172531037,ZzSnBEHk,40714280362
nokia,17,2024-09-04 12-47-02,-18312,-65,40707358365,1433900214,CtUWopOg,40749934713
nokia,-94,2024-09-04 12-46-56,28104,122,40770378383,-1265576568,uoTCuXwG,40790444052
nokia,18,2024-09-04 12-46-22,-5352,-61,40779306463,-2090787697,JMycawli,40782484207
nokia,-9,2024-09-04 12-48-28,2569,51,40796697646,315470264,AYAEbGnv,40705424572
nokia,88,2024-09-04 12-47-00,28058,82,40748540091,-46320776,kkffswfm,40770906088
nokia,105,2024-09-04 12-47-16,9125,89,40719145719,-2064619115,QeLtpsAc,40763198037
nokia,-36,2024-09-04 12-47-15,-13254,121,40793434609,71853995,NLVRdweq,40708987563
nokia,-124,2024-09-04 12-49-47,-28,112,40740904955,-1039334143,TZkhgFcG,40794242991
