src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,24,2024-09-04 12-56-23,15073,89,40734580687,-1985300059,ztkQwuJn,40710978034
nokia,45,2024-09-04 12-55-44,6717,-110,40761807472,686538129,FxBzDgyY,40787457370
nokia,95,2024-09-04 12-58-53,-3833,-17,40791563957,1069270218,ufhvFMzi,40739652522
nokia,-63,2024-09-04 12-57-02,-14358,104,40734552029,-266042978,NjGzhzUf,40729471659
nokia,74,2024-09-04 12-57-54,4638,-49,40772308627,-1578918603,luVmkZHD,40734736903
nokia,-64,2024-09-04 12-57-46,-3516,-33,40768242721,-228842828,ymgpDmch,40758930010
nokia,-30,2024-09-04 12-57-55,11101,37,40723986090,38844079,XcaDkSsS,40715661566
nokia,32,2024-09-04 12-56-32,31429,-105,40761711042,735687420,HMUpmOYz,40728049368
nokia,63,2024-09-04 12-59-12,-20959,107,40791491845,1701958119,eqHuBPTK,40750627617
nokia,98,2024-09-04 12-57-19,24853,-15,40739842479,913297752,mTUdjqhm,40757399143
nokia,82,2024-09-04 12-57-45,-10246,-25,40762301952,-1276553311,BaiPtkkU,40743017910
nokia,2,2024-09-04 12-58-53,-11716,-113,40787048086,942477069,ihKGWhTb,40755835122
nokia,67,2024-09-04 12-56-13,9962,-108,40785729794,291527711,milAveEa,40764708585
nokia,116,2024-09-04 12-58-23,15646,124,40761022641,1348151886,kCyWyWxh,40762931860
nokia,-45,2024-09-04 12-59-02,-11268,-120,40786261696,-113197802,fRlHroJq,40747688867
nokia,69,2024-09-04 12-58-51,9850,76,40758958511,-1038806447,tiicyWqP,40741523316
nokia,108,2024-09-04 12-55-12,6121,-127,40790424300,1024396938,oJREtcCw,40776088433
nokia,45,2024-09-04 12-57-21,-13204,17,40773452242,-726229313,pAgKfQeL,40740798755
nokia,53,2024-09-04 12-58-48,19725,-124,40734343733,-2021475074,RojvpGJE,40784191198
nokia,17,2024-09-04 12-56-19,-25792,-14,40702131672,-407883980,UGtmuadt,40789370196
nokia,-101,2024-09-04 12-58-05,12908,-125,40768034750,854823486,lMqcavXD,40716076340
nokia,110,2024-09-04 12-55-06,22506,-41,40755396874,-551941346,QebfSfcQ,40792997892
nokia,91,2024-09-04 12-59-36,-10289,-38,40743040697,1395865656,JiCUXFZm,40746039729
nokia,-52,2024-09-04 12-58-25,8204,25,40703532020,-1201606036,bPqJUtcc,40793595286
nokia,-125,2024-09-04 12-59-56,30426,62,40716032399,2103796297,HAmrLzSQ,40705843531
nokia,-24,2024-09-04 12-58-55,-14393,125,40718405769,168013549,UDMuVSBj,40756021550
nokia,1,2024-09-04 12-57-56,25311,78,40726751674,1817941824,rpoLUYQS,40718630589
nokia,-28,2024-09-04 12-58-43,6497,25,40789825693,-1140797149,zDcEIPdE,40788279436
nokia,16,2024-09-04 12-59-59,-26236,-83,40751059597,565905046,cEItrIhU,40784385628
nokia,92,2024-09-04 12-57-35,-20170,-69,40786627425,1250206645,JuHzBgBq,40766545613
nokia,-37,2024-09-04 12-59-53,18316,-61,40708869668,803494210,YDdSBjGH,40765123814
nokia,33,2024-09-04 12-56-24,16701,57,40776849992,1943764397,wXztQrSu,40703513910
nokia,-58,2024-09-04 12-55-10,26471,92,40715680714,1162885874,dWyxgHZA,40774297564
