src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,15,2024-09-04 13-03-05,10924,116,40741958221,-742642718,JXihfISL,40740458141
nokia,-22,2024-09-04 13-00-51,-15111,30,40764753636,820278066,qHfulxTR,40759535661
nokia,115,2024-09-04 13-03-27,-32405,-24,40721427996,368456522,XUhKNqkA,40744299888
nokia,-4,2024-09-04 13-02-28,-29274,-3,40719203213,1380959424,uUYgILFt,40732830814
nokia,117,2024-09-04 13-02-16,18206,-92,40766064458,1922679661,xsnZfTnC,40751362941
nokia,-12,2024-09-04 13-01-06,-14512,56,40734934014,951710269,uDNSysoi,40761197684
nokia,29,2024-09-04 13-04-28,370,-79,40741071376,1709785521,SWETNzud,40704028052
nokia,110,2024-09-04 13-01-56,-12137,-127,40703808873,460216134,STvknfvM,40785717293
nokia,-20,2024-09-04 13-01-01,18705,-112,40774361529,-1077920690,esbAbBHK,40783196356
nokia,-14,2024-09-04 13-00-11,-14452,89,40738626004,70924405,SiotwsDm,40799111004
nokia,-108,2024-09-04 13-02-41,22404,24,40714559593,-1229281778,grddqBJV,40714895210
nokia,107,2024-09-04 13-00-55,-8861,-79,40731797996,-656650856,ApTDoTEB,40771416328
nokia,25,2024-09-04 13-03-21,-27618,104,40760320970,-1057490601,mtnBIask,40745686943
nokia,45,2024-09-04 13-04-50,-10830,-102,40741891240,1697620705,MZhGXUWJ,40766208966
nokia,-126,2024-09-04 13-02-58,-10957,-37,40797832688,378321620,dmSKCGhl,40770280582
nokia,-20,2024-09-04 13-01-54,15466,-104,40734395713,-94845914,wLaJSadG,40798570272
nokia,73,2024-09-04 13-04-57,-7338,-60,40760411082,1586655251,IZsFAxKY,40726966599
nokia,-103,2024-09-04 13-02-34,13537,-32,40742485724,-2069106507,VQzGgiJd,40777426837
nokia,42,2024-09-04 13-04-26,-868,-3,40704747435,-405913190,tCzopsGx,40770015238
nokia,30,2024-09-04 13-03-24,25430,25,40783297241,-544303243,qPHhsEvR,40740931442
nokia,52,2024-09-04 13-00-45,-23852,-125,40777447409,58111229,FidBOYOh,40775359374
nokia,118,2024-09-04 13-00-18,21631,-16,40740492523,544693349,QgliIDSD,40781229402
nokia,-117,2024-09-04 13-00-02,27010,40,40748254203,291291537,cpUtApfw,40770625108
nokia,76,2024-09-04 13-02-53,24376,-25,40730580134,1770318784,UatKkgdd,40795064875
nokia,-96,2024-09-04 13-04-24,26953,-1,40793776923,-1111248946,QpcHAkeM,40799434986
nokia,-1,2024-09-04 13-04-45,-2740,-95,40737811665,1243252211,LypbigJq,40724768823
nokia,17,2024-09-04 13-01-24,-32537,43,40721596047,-1090060491,vBMfIwoe,40735426813
nokia,77,2024-09-04 13-02-14,-25468,-47,40716536048,565063956,RRJrbdGV,40799365321
nokia,-66,2024-09-04 13-00-04,-32745,-79,40750788996,553174081,CFaPqQfi,40772655415
nokia,-97,2024-09-04 13-04-52,-15870,26,40793535333,1277599994,DusmaajW,40793940152
nokia,-62,2024-09-04 13-01-33,-7249,96,40717648372,1203007724,bKHDmaWH,40752434587
nokia,-71,2024-09-04 13-01-54,-29280,-66,40744664138,-521144564,WXbSNtyD,40753543667
nokia,98,2024-09-04 13-01-29,-25319,111,40779489053,119383406,DSIlfvDc,40773232151
nokia,26,2024-09-04 13-03-10,8606,-4,40712166445,-591109853,acsOZXpu,40722289505
nokia,-57,2024-09-04 13-02-12,-14573,84,40798573541,1999725991,ZBnPCYRm,40794271083
nokia,30,2024-09-04 13-01-14,23085,-106,40784771516,1862066350,BWrmVDNg,40721098963
nokia,71,2024-09-04 13-02-23,-12525,66,40711468032,-618231330,XgdaNrsc,40729631017
nokia,-3,2024-09-04 13-04-54,-29026,100,40724372906,-55422702,iNgwbuYp,40709413344
nokia,-56,2024-09-04 13-01-36,4689,-65,40768718605,2054374705,zhBksjtm,40791128096
nokia,-122,2024-09-04 13-02-13,-7027,94,40740040488,198380510,oqyvNevM,40790222454
nokia,-38,2024-09-04 13-01-54,-5123,6,40782021009,1566932623,MualUuhb,40729734667
nokia,-69,2024-09-04 13-03-06,14520,57,40778158027,640215059,rrxIukbj,40728557587
nokia,100,2024-09-04 13-01-15,-30475,-33,40709012846,1704200942,TJroJFUy,40795037311
nokia,-94,2024-09-04 13-04-35,9332,111,40759845551,1157563246,UKNjypaq,40738764992
nokia,49,2024-09-04 13-00-44,-27048,70,40743239858,-1741650719,KjJDslXo,40705182074
nokia,-16,2024-09-04 13-01-06,24705,-8,40755237408,1896274083,bGNbWUZQ,40766274336
nokia,-112,2024-09-04 13-00-08,-26811,-120,40770861460,1727744717,jUkQKbib,40799923509
nokia,12,2024-09-04 13-00-12,13177,58,40717272490,-1366977381,cCLmZYjx,40767554815
nokia,-24,2024-09-04 13-00-27,-4636,-119,40736564527,1652843370,ooKAZXkb,40754632490
nokia,-3,2024-09-04 13-03-36,18836,-80,40753538389,-2022711771,XIZDHXMn,40755151653
nokia,15,2024-09-04 13-01-44,18501,98,40786282572,-2095239076,HtqTPJUb,40766058513
nokia,-48,2024-09-04 13-04-45,-19389,-120,40796602808,1984509943,atqRlSWF,40744337507
nokia,-44,2024-09-04 13-00-32,-24208,85,40794759064,1185191508,aNlOndDO,40715444117
nokia,-19,2024-09-04 13-02-17,32064,-113,40714524334,-291342386,PSTakWvf,40784196366
nokia,-4,2024-09-04 13-02-05,-26940,-61,40770172838,1661765867,OADEJBTJ,40777263372
