src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-75,2024-09-04 13-13-16,12713,57,40795013959,-951369086,rIWveObm,40716479386
nokia,-104,2024-09-04 13-12-22,9217,-60,40707070510,1381428424,zGUyWGtr,40735212971
nokia,-89,2024-09-04 13-12-51,-11477,-105,40778307455,-2012433420,otfowDjp,40723534097
nokia,-115,2024-09-04 13-10-03,31430,-114,40745116596,963827468,bJqfBLGm,40757944607
nokia,86,2024-09-04 13-12-13,-30570,58,40778125565,-1325357798,CvMaeGfW,40786734337
nokia,-116,2024-09-04 13-13-33,11037,104,40770160812,-1396981107,TGAWtXIT,40776199160
nokia,-75,2024-09-04 13-13-35,4191,-114,40766207383,1586897603,YwyvLdlc,40756801611
nokia,-113,2024-09-04 13-12-33,-30565,96,40731439624,763074053,LqnAUTir,40719263605
nokia,118,2024-09-04 13-10-54,-10474,-61,40777314568,1869484484,xamFWNQO,40718995476
nokia,-70,2024-09-04 13-14-28,-3305,125,40721566772,-42610247,ChLWtiqm,40715747940
nokia,49,2024-09-04 13-14-45,19024,-77,40766409200,-1785498388,XeATqnbQ,40761776279
nokia,-34,2024-09-04 13-11-29,-4646,-83,40795020506,-517859836,sMtSfeed,40737447659
nokia,-19,2024-09-04 13-10-20,2704,-94,40769827474,1660156768,gyUrzMqV,40763704876
nokia,-115,2024-09-04 13-11-44,23436,-29,40760402873,-1348859221,VzSRiQXN,40787398892
nokia,-31,2024-09-04 13-14-25,-32159,-96,40774382154,-1178693489,WFSeLFGq,40709137855
nokia,-65,2024-09-04 13-12-16,11193,-41,40739316009,-1227758732,OatHKRKf,40789452102
nokia,121,2024-09-04 13-14-47,-20549,-81,40784479889,-12070408,AgIcSbeS,40702613881
nokia,-85,2024-09-04 13-13-08,27681,-17,40703885520,-220854963,MiDDeicD,40796140873
nokia,-127,2024-09-04 13-13-48,-28267,-67,40758899339,-1660666339,LIcCubea,40709107306
nokia,-5,2024-09-04 13-14-27,29955,-103,40739130209,2131116876,RzJxfqLK,40723646042
nokia,55,2024-09-04 13-14-11,30980,-82,40734771473,1946200021,LhxcwWJE,40708153777
nokia,94,2024-09-04 13-11-17,23552,53,40732919928,-2060303472,EpNUCkhj,40716521855
nokia,-127,2024-09-04 13-14-29,-21733,-43,40756910902,1460900083,wUqrlboS,40779859590
nokia,-37,2024-09-04 13-12-22,14107,62,40757080777,1893073774,nbzyJhsV,40742609779
nokia,-104,2024-09-04 13-12-27,-21041,117,40759319062,2061226829,bDGimsgc,40704133802
nokia,-67,2024-09-04 13-10-14,8137,-59,40787301684,1060790604,fsnXKjOt,40775835454
nokia,-11,2024-09-04 13-11-45,794,-60,40757937336,-306550711,kXRuALnc,40790829619
nokia,-95,2024-09-04 13-15-00,-16144,-35,40730683534,1386709151,nGiJTKdm,40775466835
nokia,35,2024-09-04 13-15-01,-11103,-121,40705643515,934130528,gZFLcjEM,40728400618
nokia,71,2024-09-04 13-11-49,17147,86,40790488182,-1307213266,MdLcrZLy,40739744204
nokia,39,2024-09-04 13-13-10,5727,72,40709283317,-2098037379,XocrOhUn,40758896978
nokia,28,2024-09-04 13-14-29,-31111,-116,40745589088,752537274,rwRInram,40712000024
nokia,68,2024-09-04 13-10-03,-20981,-107,40705580065,1875588978,flOduxtB,40761391097
nokia,126,2024-09-04 13-15-02,31240,95,40721850818,-347008602,bezqRPDP,40797114710
nokia,-20,2024-09-04 13-11-01,29646,-49,40715539509,-454381933,YTEoIzIr,40788040520
nokia,-41,2024-09-04 13-12-24,-3760,-6,40757275093,-1991887978,LwROjFSV,40739006792
nokia,77,2024-09-04 13-10-40,-23399,-90,40763097401,-2055529692,cXMfvpHB,40788162871
nokia,1,2024-09-04 13-13-38,25079,42,40777288660,-462584800,PeWZEozC,40774151787
nokia,-99,2024-09-04 13-10-06,-24137,-47,40769677170,671700636,PPbcEpUU,40732207100
nokia,-5,2024-09-04 13-14-30,-7487,86,40719341616,-1949128097,oFChhVBY,40794810542
nokia,57,2024-09-04 13-13-20,-26857,-20,40718576915,-1866866653,yAJXZxCM,40741288445
nokia,-115,2024-09-04 13-10-30,-25191,-110,40749110832,558877711,CkhlGNrb,40720230354
nokia,-83,2024-09-04 13-12-32,16616,-47,40711671452,1855778423,qhYimhuc,40799891176
nokia,-53,2024-09-04 13-13-54,-16674,-34,40737178241,-605926312,RrBvACSG,40763518599
nokia,-21,2024-09-04 13-14-16,18055,85,40742125184,819174663,cCsUPhSp,40747002847
nokia,40,2024-09-04 13-13-51,2811,-54,40752976403,1994557353,UBGSxBsq,40787044788
nokia,-7,2024-09-04 13-10-26,11091,-4,40701772198,1557109423,OWvFBeRy,40790549697
nokia,65,2024-09-04 13-14-10,-10321,38,40733966371,-1040935424,yMoglcAA,40740194173
nokia,-19,2024-09-04 13-10-12,-20488,72,40712883831,599046879,qXVUDMcD,40738314967
nokia,60,2024-09-04 13-13-18,29579,-50,40708049180,-2096530404,hVpZSXgc,40747301604
nokia,-11,2024-09-04 13-10-49,-28087,125,40755616984,1606811834,qgnSvgRj,40730155748
nokia,-61,2024-09-04 13-10-11,32262,109,40791082416,-2109691836,VQUstrDX,40728379134
nokia,-31,2024-09-04 13-13-28,-3210,-32,40738407467,-830327607,oDIXCTsa,40705272165
nokia,-78,2024-09-04 13-10-45,6113,-88,40758919841,-858572657,MMsotvhX,40726834980
nokia,-119,2024-09-04 13-14-50,-25580,75,40759866559,65809480,oNDflMjc,40769479104
nokia,-51,2024-09-04 13-12-16,23538,-21,40775576863,1069732568,SwcEutIu,40784367216
nokia,104,2024-09-04 13-11-01,32207,112,40756162278,-1103132366,vyxbpMQs,40748643207
nokia,-86,2024-09-04 13-11-24,19582,-54,40778509385,-46074266,BvJUagUB,40762982699
nokia,55,2024-09-04 13-13-22,5290,-51,40791952747,-259173297,dBdqghzI,40794310960
nokia,13,2024-09-04 13-10-58,18250,-24,40754098593,-601281245,RVhanofY,40725729963
nokia,104,2024-09-04 13-14-47,1940,50,40745613359,-1912046567,vRCJuorH,40726779916
nokia,34,2024-09-04 13-11-32,25055,32,40748247607,391679303,xXcwsJbh,40785800304
nokia,54,2024-09-04 13-13-43,9925,-27,40788673025,360159239,zMsCorll,40729992557
nokia,82,2024-09-04 13-10-16,-22380,-127,40724195719,725929900,KIajDGAb,40783043177
nokia,86,2024-09-04 13-13-42,-9138,-38,40795975655,-1294365553,ndiVugVS,40782772793
nokia,-3,2024-09-04 13-14-11,-32021,102,40718456254,-1639399900,fLXWilSn,40744578439
nokia,-47,2024-09-04 13-12-58,14972,-25,40744850654,-288364099,vWunrJbs,40727959847
nokia,34,2024-09-04 13-11-45,24060,82,40768925423,1446074868,tWKfxnTk,40744133339
nokia,-28,2024-09-04 13-14-45,2337,63,40788044270,-1017677741,inKhMAwA,40796386174
nokia,29,2024-09-04 13-12-46,-25620,-59,40768022952,96399607,MOCVMxue,40780790096
nokia,-84,2024-09-04 13-14-20,-12599,71,40794352914,-1199314322,MzVdjrJh,40710418924
nokia,98,2024-09-04 13-10-58,12393,117,40752084163,-1871966950,ItdFEiWI,40720128083
nokia,119,2024-09-04 13-10-14,-26927,-67,40782626100,976620414,HAIBEQOv,40787589884
nokia,-17,2024-09-04 13-12-14,24478,-1,40733214905,1580147784,lOhkwktO,40756114444
nokia,110,2024-09-04 13-13-54,-3342,60,40765811498,-1004438915,huhjFXed,40746037177
nokia,4,2024-09-04 13-12-21,-21229,-125,40708004086,703512962,HRVjopDX,40789612969
nokia,58,2024-09-04 13-10-55,-14470,-82,40703575330,-351257193,PBuTZMoA,40715702439
nokia,-8,2024-09-04 13-10-16,3956,79,40787173838,-158827472,pQlNKHSQ,40773821834
nokia,65,2024-09-04 13-10-24,15560,84,40789502024,1563488236,bPLXWaUE,40738436100
nokia,-20,2024-09-04 13-13-37,-16079,-5,40727275598,-1037033057,CSIjHFFa,40782098659
nokia,-73,2024-09-04 13-10-18,-32436,-103,40718576740,295557830,xkIEaeqg,40781456972
nokia,112,2024-09-04 13-13-21,9762,-38,40774054076,-507565988,LWxZcYbv,40729927314
nokia,111,2024-09-04 13-14-42,24400,51,40723700599,-295968691,tzeMCibi,40788075955
nokia,-67,2024-09-04 13-14-06,27471,-44,40750485556,-706503255,IAUUVeYt,40742802980
nokia,-34,2024-09-04 13-12-53,860,-124,40737202425,898134016,VmRVfdGQ,40715929892
nokia,87,2024-09-04 13-10-06,28428,-111,40790528817,-127570879,nlnJDZsw,40780354049
nokia,-85,2024-09-04 13-10-53,-16180,-117,40769950718,-1399704487,ttXLnzbA,40784333035
nokia,-122,2024-09-04 13-13-17,24112,-37,40780155544,-1835013426,cDdyLLWz,40755032167
nokia,-98,2024-09-04 13-12-26,18659,-24,40729348651,633425650,wkiLjKWN,40762318889
nokia,-80,2024-09-04 13-12-04,50,-110,40761339784,2055931814,XkSZTrqx,40704375181
nokia,-80,2024-09-04 13-14-21,-32361,-63,40757950956,-1023201224,zdGABRGp,40739737667
nokia,94,2024-09-04 13-13-03,16999,-78,40784044219,1521238839,GvIVqoJN,40726556402
nokia,-39,2024-09-04 13-12-45,32346,-5,40724960642,519086215,pzYXIBnd,40719605918
nokia,-96,2024-09-04 13-10-53,32240,-13,40760668627,1035176116,sIQSogje,40762573502
nokia,-90,2024-09-04 13-11-27,31995,109,40743412197,419289921,XqWsvFyL,40731639891
nokia,51,2024-09-04 13-10-33,-27822,32,40730608757,-1557289925,IhKfrwMA,40719429724
nokia,-15,2024-09-04 13-13-48,-27815,-2,40766252125,-1166453077,OfVPxhmA,40788161103
nokia,87,2024-09-04 13-11-22,27313,7,40716147540,-882453668,sgfLkleJ,40711709923
nokia,-2,2024-09-04 13-12-32,2009,-98,40773155495,-1240907090,cBHAwPSj,40765903966
nokia,-126,2024-09-04 13-13-34,23349,71,40715377946,2084490423,lhSoppmJ,40726126260
nokia,23,2024-09-04 13-10-42,17409,-4,40777356058,742194667,bdLxvqBw,40718745118
nokia,-59,2024-09-04 13-12-54,-13772,109,40746310241,755247484,LCSDuAlT,40728087225
nokia,-85,2024-09-04 13-14-09,-1971,-23,40729461489,925420954,iXrUoZiF,40750256283
nokia,-112,2024-09-04 13-10-20,-12998,-95,40736864394,-1792340681,QTyaCiXE,40726064533
nokia,-59,2024-09-04 13-11-03,-18843,-128,40722355750,403148575,LpwroEVl,40767046879
nokia,-45,2024-09-04 13-11-07,12699,-14,40726961102,1335648049,ksIXFdKG,40782103509
nokia,101,2024-09-04 13-12-19,-30028,-99,40776634735,-1336508618,qGEcegJi,40781310746
nokia,127,2024-09-04 13-10-18,20732,65,40749380888,-1864492635,RCeCmANA,40797099328
nokia,123,2024-09-04 13-12-47,29601,-108,40777880416,913244795,xogRWGOV,40749809162
nokia,69,2024-09-04 13-10-23,-18491,41,40719913852,-1077083248,ckhAwGxj,40749272435
nokia,101,2024-09-04 13-12-44,16399,-21,40746292539,-1612721408,MavOuYVl,40763324523
nokia,-53,2024-09-04 13-12-45,10025,-119,40714625993,1429148952,vqJFTDvI,40718762202
nokia,-80,2024-09-04 13-13-10,18387,-31,40716866325,-433089589,HomhHZCh,40765774845
nokia,116,2024-09-04 13-10-58,27116,-39,40784784925,29811398,xrGAssvC,40771576173
nokia,-65,2024-09-04 13-12-16,-7903,40,40762982919,1965146349,BzApoBXa,40717559178
nokia,59,2024-09-04 13-12-37,-30151,-52,40767220029,1096007760,bGBPwBMe,40785459828
nokia,-41,2024-09-04 13-11-42,-32637,-33,40734054728,2119121002,oSyjhyTE,40774702908
nokia,-71,2024-09-04 13-12-49,-18294,70,40701585080,-1340254771,xdoREMjH,40787433581
nokia,-66,2024-09-04 13-13-00,-8836,98,40781861015,275497780,ZTqnXEJp,40724761085
