src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,69,2024-09-04 13-44-06,29026,-26,40722028549,511050531,numMEdPn,40750112622
nokia,106,2024-09-04 13-41-18,-26346,100,40791547665,271770363,MCXSPdUp,40743492541
nokia,116,2024-09-04 13-40-51,-16141,118,40751871835,-1503739393,QUSxYMVN,40793514055
nokia,15,2024-09-04 13-41-57,2134,105,40703580334,-1561754191,HRPufNgh,40765997044
nokia,-111,2024-09-04 13-44-34,-17824,-15,40748006634,-912040161,GnRBSwVP,40707043587
nokia,112,2024-09-04 13-40-44,-14228,79,40787444599,716945686,lvcksDUt,40796010005
nokia,22,2024-09-04 13-42-01,-21906,106,40731129062,97137352,mTUTEXUy,40700459768
nokia,-112,2024-09-04 13-44-12,-14462,-113,40793484535,1763779401,XfPKZHWj,40784613002
nokia,-51,2024-09-04 13-44-05,-24448,15,40714456401,413016066,vXyjeWAD,40735899239
nokia,42,2024-09-04 13-44-42,17225,51,40760861374,-1458754191,erkGNnwE,40786883921
nokia,-25,2024-09-04 13-40-34,18038,-67,40723177021,-344627428,FvJxuJZp,40767123684
nokia,14,2024-09-04 13-44-11,31371,29,40707466778,-3155933,JcWKumcY,40729665191
nokia,66,2024-09-04 13-40-37,2063,-107,40721846046,254035799,ozEQeRZb,40756903154
nokia,51,2024-09-04 13-42-06,-27904,127,40751995485,-534787491,tahPSlKf,40721283549
nokia,80,2024-09-04 13-42-00,15847,89,40716384830,1846121711,pvASqDko,40791071783
nokia,-14,2024-09-04 13-42-24,19024,73,40713324279,902675580,lyvYRAca,40714363120
nokia,-51,2024-09-04 13-40-25,-12347,90,40721860839,1661590167,teaWuMhj,40711849345
nokia,-66,2024-09-04 13-43-59,271,95,40735689579,-1085091144,seXkMknT,40755431307
nokia,14,2024-09-04 13-44-42,-19014,96,40794625265,-1553457665,xXHVCMcR,40793760044
nokia,16,2024-09-04 13-41-39,-6264,-119,40759797615,-139634617,SBVxryjl,40793955625
nokia,-41,2024-09-04 13-40-57,2072,95,40762990641,302433672,DWaCQtJt,40708721298
nokia,41,2024-09-04 13-43-07,28065,96,40765433639,1702941642,omjKDFtv,40776996132
nokia,111,2024-09-04 13-41-18,-809,123,40770820237,1163133099,luXQteaR,40756178822
nokia,106,2024-09-04 13-44-43,31465,-112,40746448061,1733774462,hxtNUsUu,40740530259
nokia,-12,2024-09-04 13-40-41,-23612,-61,40769455952,-1617902566,fJzXtxxZ,40723190669
nokia,29,2024-09-04 13-41-14,71,-14,40721383701,-760317394,qGxkLUkP,40761198028
nokia,11,2024-09-04 13-42-45,17377,-61,40706447471,-1434747599,pqHmhjPq,40703046339
nokia,-42,2024-09-04 13-44-34,-27642,52,40734541264,-402129985,FinPoWTe,40751450645
nokia,63,2024-09-04 13-43-21,3144,-34,40748042944,-831376862,CDYVsdvF,40741541526
nokia,29,2024-09-04 13-42-23,-11261,116,40701133901,331844499,rtriPmtC,40710455064
nokia,-91,2024-09-04 13-43-58,-27052,81,40744533718,2075122790,jXExPSZB,40769506113
nokia,20,2024-09-04 13-44-00,-3414,-80,40743767158,-1278578210,rBXHNQha,40768487496
nokia,123,2024-09-04 13-44-39,-31172,119,40750107990,-1147711071,tkzFMOTp,40728060615
nokia,72,2024-09-04 13-44-06,24946,0,40770548224,1960049875,EDfRhzFz,40747106624
nokia,-25,2024-09-04 13-43-36,-19399,122,40745277675,576121608,tAfbdiuT,40750351956
nokia,53,2024-09-04 13-40-45,266,9,40747436353,2079748693,JKwVsTyl,40724862303
nokia,-120,2024-09-04 13-41-38,22201,48,40701435258,-657556875,KpvywxaE,40785989759
nokia,-101,2024-09-04 13-44-46,-28386,19,40732198118,-56785982,aKycbVzr,40724501388
nokia,-30,2024-09-04 13-43-10,26498,-6,40711762088,-1879115847,APIrpeeJ,40749047458
nokia,-56,2024-09-04 13-42-15,27888,114,40762397683,372535351,bAphmWVg,40728734591
nokia,-113,2024-09-04 13-40-14,27412,111,40711510031,1084317425,xklOdHJJ,40774357893
nokia,-127,2024-09-04 13-43-31,-12440,-109,40772763554,-635217745,iveETRvZ,40763746362
nokia,-69,2024-09-04 13-40-24,-30002,-122,40741739017,-1055947190,mBKIVtPE,40731115637
nokia,-77,2024-09-04 13-43-01,8767,85,40790222415,589839848,ihQKNBdQ,40790149740
nokia,36,2024-09-04 13-42-31,21343,82,40709187058,278836005,kOmbApDQ,40748693774
nokia,30,2024-09-04 13-43-54,24924,68,40703171804,987751446,AeIPrSKy,40727733851
nokia,-45,2024-09-04 13-44-33,-5505,20,40701521505,-787583683,sZCrxazL,40777412865
nokia,99,2024-09-04 13-44-01,-7350,-31,40701711621,-643448183,FISRKJUA,40717271500
nokia,-49,2024-09-04 13-44-49,29027,57,40737985614,-537283623,EAcQEKfb,40765031406
nokia,-94,2024-09-04 13-42-05,1951,79,40765982161,235311030,oxRENEJG,40734711210
nokia,-113,2024-09-04 13-42-09,-32154,119,40722196793,1708827504,uOSzrMXe,40735695899
