src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-113,2024-09-04 13-58-58,19171,-103,40761417892,-2073474440,qHyDcdHc,40784110309
nokia,94,2024-09-04 13-57-07,18575,84,40780121329,168955827,FnWdrGVZ,40713599572
nokia,21,2024-09-04 13-58-20,22038,-8,40735710462,-1844776644,IcMWzmgL,40786477654
nokia,63,2024-09-04 13-56-40,-3346,-25,40739940509,1928349759,umhSExju,40778416693
nokia,65,2024-09-04 13-57-50,-63,36,40793986602,-62392819,XVVYazRX,40721592920
nokia,-97,2024-09-04 13-58-51,10084,61,40767727688,1146400239,TtjicbyP,40734863217
nokia,-34,2024-09-04 13-56-10,9813,21,40730761736,-1972925863,qEEaVjrD,40734179277
nokia,-23,2024-09-04 13-58-02,5324,-95,40702191725,972316366,LaLSrONc,40772532000
nokia,57,2024-09-04 13-56-49,-26688,80,40724449969,1656534405,TvUWBSBZ,40727236813
nokia,-82,2024-09-04 13-56-45,31810,77,40798323903,-831622094,KgYxJSNC,40768519520
nokia,-43,2024-09-04 13-59-10,-4809,10,40798463945,-674659822,UeiVmnnS,40796666409
nokia,-94,2024-09-04 13-55-46,-26801,-22,40797947336,-1490190670,jeTSxLTd,40771175654
nokia,69,2024-09-04 13-58-25,18135,-58,40779788970,-1309578811,uCtKYzqq,40796802028
nokia,-12,2024-09-04 13-56-15,-17312,34,40717527153,-563729650,sLVhYSIK,40774967742
nokia,-16,2024-09-04 13-58-23,-5152,100,40717862262,-1291499763,hwkriMfI,40779545663
nokia,44,2024-09-04 13-56-01,-25368,1,40734685964,-1165740044,CGXgRhVH,40701362813
nokia,107,2024-09-04 13-57-05,29346,4,40719686329,1658767806,qeaPbzhW,40763750170
nokia,-20,2024-09-04 13-56-28,-27837,-71,40775569838,-2132889535,hwvFdwoO,40747536920
nokia,102,2024-09-04 13-56-59,-31202,-98,40712367106,436890234,WOPgzyRm,40720887645
nokia,-70,2024-09-04 13-55-05,13776,-107,40738530109,937668229,UUHXxIVY,40788626241
nokia,-17,2024-09-04 13-59-39,-8752,-72,40763933085,215806017,PZvsDwEr,40742175792
nokia,112,2024-09-04 13-59-43,-10802,-33,40772407959,893902785,wqgurYjs,40727689598
nokia,34,2024-09-04 13-57-54,-28842,-77,40736044705,-1275964011,aGIiAPLH,40780512856
nokia,121,2024-09-04 13-56-15,23529,37,40723619683,323337943,raRCGbFB,40790825337
nokia,46,2024-09-04 13-59-52,4247,111,40727131794,130140412,bfDUhQdt,40717782679
nokia,-80,2024-09-04 13-55-11,-310,120,40768006325,-434604779,ZXWhQahS,40734319730
nokia,73,2024-09-04 13-55-09,12693,83,40769808825,-1651688119,EzasoHnM,40719348182
nokia,88,2024-09-04 13-56-22,10312,42,40749489717,-1207560558,cDZFEtcg,40704632957
nokia,-16,2024-09-04 13-56-56,-9552,-38,40788122426,-774527582,OBNGHMLZ,40777697898
nokia,-51,2024-09-04 13-59-20,23146,-28,40735739799,-81976166,nttdQUWd,40755306592
nokia,29,2024-09-04 13-58-19,-908,-103,40751908926,-120224622,NtdRalad,40785672961
nokia,-3,2024-09-04 13-59-45,-11666,114,40729505724,-1546357619,DNfFpdJC,40729145052
nokia,95,2024-09-04 13-58-20,5380,63,40734913851,-288115205,zCppHkUu,40723034225
nokia,25,2024-09-04 13-59-18,-26234,-33,40748186070,-1925922600,lwttABWZ,40790214473
nokia,-72,2024-09-04 13-58-26,8809,105,40742639332,1974255575,OXDfxxUe,40767512639
nokia,127,2024-09-04 13-58-04,-16380,-46,40775529301,-881772345,UCCBLvGf,40724746601
nokia,-105,2024-09-04 13-55-12,10849,78,40787774975,1786295125,uCaoESgt,40733898333
nokia,81,2024-09-04 13-56-41,20586,3,40718795781,-1200611299,BiFoCTXg,40728836711
nokia,-20,2024-09-04 13-58-13,-32624,84,40750754734,604066474,GWIZyyeo,40795712465
nokia,-125,2024-09-04 13-56-51,-3793,123,40797656572,-2093265861,QSAtLRgs,40713966451
nokia,71,2024-09-04 13-55-04,-7081,11,40790566442,-1271420443,qRAPpCWl,40716448559
nokia,11,2024-09-04 13-55-30,-5818,-109,40764440429,1474432724,kKJtBMtH,40702377005
nokia,61,2024-09-04 13-59-21,-16800,-68,40780573925,600640638,tGLaQcXx,40763851899
nokia,-55,2024-09-04 13-55-20,6944,11,40732448769,1170683147,OFPJsxji,40734928663
nokia,121,2024-09-04 13-59-56,29715,63,40707020158,-1862779360,IzePeiwP,40756648280
nokia,-95,2024-09-04 13-55-08,-24854,-53,40736029996,72237260,gxlHIeBe,40770111259
nokia,17,2024-09-04 13-59-10,4570,58,40759957599,-936301116,xiPFLMvg,40765146291
nokia,-113,2024-09-04 13-58-33,-9787,39,40797555531,-902976132,pQiVSWZL,40793076019
nokia,-47,2024-09-04 13-56-01,789,62,40791846851,-1033829323,XTdghlfd,40732354105
nokia,-103,2024-09-04 13-58-47,-15458,-75,40715571742,-813754291,sDOdiJff,40736791845
nokia,-117,2024-09-04 13-56-48,11047,-20,40772505791,814181540,wCYHhbur,40723139308
nokia,-67,2024-09-04 13-56-40,14347,87,40781690363,1120259658,JnzYcUXk,40796209693
nokia,70,2024-09-04 13-59-47,-6909,9,40768388388,1761141905,GAvOpfEZ,40756979027
nokia,24,2024-09-04 13-56-31,-26328,115,40752009171,-1867729054,MusXwYBZ,40785556938
nokia,61,2024-09-04 13-57-23,18552,120,40791395008,710240850,oAHAFcJe,40704574002
nokia,-7,2024-09-04 13-55-15,-13088,99,40783939592,-998054724,kDvNIFef,40706804962
nokia,34,2024-09-04 13-56-45,22417,52,40779245478,794463685,RrlwOCfz,40798488143
nokia,1,2024-09-04 13-58-14,-9755,-66,40710891173,1411884114,KZvGgman,40739409438
nokia,-37,2024-09-04 13-58-54,-20666,-108,40764452655,1176371837,nDCPAdJM,40732727616
nokia,3,2024-09-04 13-55-37,5870,-86,40729619754,1961983820,DHYheyGh,40763728615
nokia,-110,2024-09-04 13-57-31,2339,51,40725715403,-1739672367,DYyMdvGu,40714553313
nokia,-128,2024-09-04 13-55-09,19175,-40,40784419763,1649260107,Qrlhquam,40731114296
nokia,52,2024-09-04 13-58-57,-419,115,40763250130,-1507222291,FXxnpkxl,40778050778
nokia,31,2024-09-04 13-57-36,-11747,-29,40796096157,-1775873344,vmrJUFdj,40711790838
nokia,31,2024-09-04 13-55-01,-5722,-77,40745848000,931853888,EmXSUywY,40723828535
nokia,23,2024-09-04 13-58-16,27770,-81,40795357127,460775562,KyEKIXsh,40731693786
nokia,-31,2024-09-04 13-58-33,26853,-44,40713625277,1048262263,dOMfPpWn,40751213443
nokia,-64,2024-09-04 13-57-45,17122,-25,40753008886,-998991015,sulFnBtO,40798253132
nokia,-107,2024-09-04 13-59-19,23841,112,40713533873,-1169573776,UYLfIBGZ,40709958145
nokia,16,2024-09-04 13-59-16,-9776,88,40789082730,-1697349929,WfVtvaWG,40722377275
nokia,110,2024-09-04 13-55-22,-18761,89,40773756667,1630485644,LswJoHbk,40727171889
nokia,-4,2024-09-04 13-56-55,-28201,-92,40744851231,-1630534362,hEJQAqcG,40704421185
nokia,6,2024-09-04 13-59-58,-31767,42,40788451229,1305358230,TMXrolTz,40731114360
nokia,8,2024-09-04 13-58-27,22859,-7,40741944224,-1814308100,QMmoLTEc,40741486665
nokia,-120,2024-09-04 13-59-44,-1612,-69,40787923894,1924552698,pYHydUAy,40778677598
nokia,-110,2024-09-04 13-57-52,26532,-88,40700215039,-450627026,HFDWbzje,40751329111
nokia,39,2024-09-04 13-58-15,-25345,-54,40720828333,-818677481,xOINSHJz,40786474982
nokia,0,2024-09-04 13-59-08,-7825,-82,40702379438,456760458,LxvcvmqU,40773280737
nokia,-41,2024-09-04 13-56-21,-28641,10,40793815752,392441374,xsAFuFyY,40737514454
nokia,55,2024-09-04 13-58-52,27888,47,40796736219,1040422351,yoWkbEfl,40762681687
nokia,-36,2024-09-04 13-59-06,-14791,-99,40733074648,-129282081,DOInWXxh,40732571821
nokia,-118,2024-09-04 13-55-48,9715,-87,40760546417,-1418716320,cLVZkHkD,40736029825
nokia,-11,2024-09-04 13-58-25,-13723,-88,40775806601,1956980235,ucYIkOFe,40700690442
nokia,56,2024-09-04 13-59-20,-2018,55,40709777522,-1078847028,hLjEtACE,40756295210
nokia,58,2024-09-04 13-57-07,-6253,126,40758346821,1812240560,DDMGKamf,40763703533
nokia,-117,2024-09-04 13-55-12,-6343,-55,40701477380,-1640741736,VMvRlShp,40761254719
nokia,75,2024-09-04 13-56-46,1713,50,40727294628,1286785218,UZFSKtMF,40752469162
nokia,-14,2024-09-04 13-58-56,-15834,-105,40700147781,-1337499022,jNKHdQRY,40753442172
nokia,34,2024-09-04 13-58-48,-16598,-32,40735640452,1710031363,hQxYjpgb,40728879638
nokia,107,2024-09-04 13-58-59,4349,-105,40779314154,-537816705,LfFLqvhB,40778100409
nokia,103,2024-09-04 13-57-03,-408,-40,40723407215,1323063533,NSBHugYK,40725633871
nokia,-48,2024-09-04 13-57-42,136,-59,40700846249,-41287212,nBswtLIY,40726976972
nokia,-71,2024-09-04 13-59-32,10533,-60,40774342076,-764200082,zqmybLro,40712694965
nokia,53,2024-09-04 13-55-56,6286,36,40739128169,613097261,aJCOYhlQ,40789423876
nokia,23,2024-09-04 13-58-43,215,19,40781267737,-1580109781,yDMfRJBO,40764637958
nokia,52,2024-09-04 13-59-49,-20781,-116,40795594387,-1771440055,druNooCm,40769451474
nokia,83,2024-09-04 13-58-33,-15315,43,40715919523,-1475946978,DCQGkBRL,40771004872
nokia,-125,2024-09-04 13-59-40,14048,-10,40786731552,-1651612460,BMQfgWRs,40728832507
nokia,27,2024-09-04 13-58-10,-13659,-24,40779677802,-1891207418,xpkBJUBH,40769914783
nokia,-55,2024-09-04 13-58-31,-1608,-112,40774923214,1099694405,RDltxBwu,40798515960
nokia,-104,2024-09-04 13-57-53,-29695,-18,40749230760,1400552067,ZfEDujKc,40770883195
nokia,108,2024-09-04 13-58-12,23559,13,40749031699,2100219752,rPOEVPok,40730531451
nokia,-31,2024-09-04 13-56-02,-17912,-79,40701342962,-835675813,IIcgfaTY,40780342386
nokia,-81,2024-09-04 13-58-36,8803,-113,40798327735,-28756975,HeapTlXh,40733309457
nokia,8,2024-09-04 13-59-18,30141,-57,40789579618,198738701,VdVROxGw,40745461135
nokia,90,2024-09-04 13-58-24,10064,-50,40798848421,-777271181,vXMDlEPl,40773103657
nokia,58,2024-09-04 13-58-59,-20123,-19,40795421033,258934138,tJBXRqjY,40722075181
nokia,-101,2024-09-04 13-59-12,-30471,13,40715014756,-1860504522,qfOqcPQh,40759895081
nokia,-62,2024-09-04 13-56-50,5153,-117,40722942392,-611367496,CBdXpLkH,40708643340
nokia,45,2024-09-04 13-57-27,-13026,-60,40767806991,-984911296,AxxenDcq,40715503523
