src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,tvXEu,27,84,2024-09-04 13-35-05,40789954673,-7539,40766689046
alcatel,xRdwI,81,-1,2024-09-04 13-35-39,40782052305,13423,40797834324
alcatel,Xwzk,92,-36,2024-09-04 13-35-24,40717754191,-5340,40716506677
alcatel,fpI,32,-110,2024-09-04 13-38-46,40742796464,-28544,40737551172
alcatel,BjlBrx,111,-74,2024-09-04 13-36-12,40702604463,13859,40766290198
alcatel,qxubVa,-51,-111,2024-09-04 13-37-14,40737355973,-31514,40792449333
alcatel,XjGsDK,91,67,2024-09-04 13-39-23,40740032887,-27035,40747578646
alcatel,tREIAL,94,-114,2024-09-04 13-36-43,40724277850,15526,40715936041
alcatel,JkzyCN,32,103,2024-09-04 13-38-17,40705313267,24318,40714447360
alcatel,OLo,-3,96,2024-09-04 13-38-27,40766828228,8138,40734192969
alcatel,JimUvt,81,108,2024-09-04 13-35-53,40743195191,16886,40743840722
alcatel,gafN,15,119,2024-09-04 13-38-26,40774959217,-8302,40723735394
alcatel,gpnAU,-53,44,2024-09-04 13-39-42,40731459702,-10961,40770803576
alcatel,jJOx,116,-117,2024-09-04 13-37-17,40758993266,-25118,40789712337
alcatel,RpwCRZ,-4,29,2024-09-04 13-37-55,40793703050,24774,40799923588
alcatel,EJWkaU,80,6,2024-09-04 13-38-14,40774507448,18302,40732825418
alcatel,nVmpx,28,34,2024-09-04 13-38-20,40701196519,26813,40703889563
alcatel,CNJS,51,-19,2024-09-04 13-36-02,40743369035,-21998,40732186501
alcatel,vFjv,-113,41,2024-09-04 13-36-34,40769355285,7327,40775216518
alcatel,OHF,75,-6,2024-09-04 13-38-36,40789295750,-28804,40740576487
alcatel,AnJ,47,20,2024-09-04 13-39-19,40734288929,11615,40706446315
alcatel,iLVia,54,-7,2024-09-04 13-38-26,40777587521,-25255,40708766373
alcatel,JikIL,35,-32,2024-09-04 13-35-53,40724392486,-8255,40710938430
alcatel,jpTYX,-121,29,2024-09-04 13-37-06,40777782402,-3009,40749551026
alcatel,rrj,125,-91,2024-09-04 13-35-27,40751117123,-21873,40762623046
alcatel,hEJa,84,96,2024-09-04 13-39-17,40746470413,21173,40763471711
alcatel,CIEa,-106,-77,2024-09-04 13-36-48,40747145742,2495,40731936205
alcatel,LiIC,57,-72,2024-09-04 13-35-39,40717773170,-20227,40751206309
alcatel,CUGZW,-98,24,2024-09-04 13-38-42,40700786212,-7403,40759977998
alcatel,wPUxG,121,73,2024-09-04 13-39-44,40771919251,-24794,40790623991
alcatel,KFEIJ,-26,64,2024-09-04 13-37-01,40757276930,4592,40791220000
alcatel,ugt,32,-47,2024-09-04 13-37-49,40771442524,-6303,40744404844
alcatel,MRncL,97,-128,2024-09-04 13-35-44,40781103043,731,40727664424
alcatel,Kwr,-119,64,2024-09-04 13-36-35,40759544372,-23099,40707602362
alcatel,ZIDCW,-19,49,2024-09-04 13-38-23,40702368210,-16311,40788556316
alcatel,epjWH,-50,113,2024-09-04 13-38-33,40791077601,23711,40708235400
alcatel,mkDIbM,-5,-120,2024-09-04 13-39-48,40711555450,26530,40762444342
alcatel,ppABPv,83,109,2024-09-04 13-39-57,40791784337,-6743,40777417661
alcatel,ZWsKV,-83,-79,2024-09-04 13-37-56,40786264573,-17154,40706323966
alcatel,ssG,-16,-125,2024-09-04 13-39-33,40722450860,-8534,40731907805
alcatel,mpTsPC,-120,33,2024-09-04 13-36-53,40786830107,-6115,40779372608
alcatel,FVTQp,-13,-121,2024-09-04 13-37-38,40766057658,10163,40798647933
alcatel,AieEQK,103,73,2024-09-04 13-38-03,40703524759,17335,40777660325
alcatel,MAjN,-71,57,2024-09-04 13-37-49,40734092740,-22942,40764918070
