src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,RyeBN,-109,-110,2024-09-04 13-43-47,40774769613,-24104,40721769529
alcatel,CqFa,-97,114,2024-09-04 13-43-16,40784016245,-1496,40761313379
alcatel,dOWRC,-41,-69,2024-09-04 13-44-59,40742079975,23008,40759151916
alcatel,Bbnk,20,-94,2024-09-04 13-41-50,40774697236,-4144,40708036538
alcatel,GuD,-3,32,2024-09-04 13-44-48,40749626219,-10947,40733197546
alcatel,GhXLbN,19,75,2024-09-04 13-43-34,40784200612,1149,40734623165
alcatel,VEN,-96,111,2024-09-04 13-42-31,40745505246,23718,40745704781
alcatel,Csbpu,-58,112,2024-09-04 13-43-17,40713433429,17508,40758135463
alcatel,KhXLpM,-2,67,2024-09-04 13-42-43,40711819810,-31999,40752460191
alcatel,ajinrr,76,-80,2024-09-04 13-42-59,40770378271,9578,40729461872
alcatel,SbhYP,123,42,2024-09-04 13-41-51,40785593233,2591,40764836030
alcatel,GDQgj,26,-28,2024-09-04 13-44-12,40715842919,-15182,40754799809
alcatel,MxlNyI,-110,104,2024-09-04 13-44-44,40786469802,28141,40717976777
alcatel,ltTNjT,123,14,2024-09-04 13-40-18,40767687292,16201,40796485896
alcatel,XDtUI,30,-28,2024-09-04 13-43-26,40716976006,8392,40712614433
alcatel,yjvUU,84,-127,2024-09-04 13-43-36,40779982867,-5608,40752018278
alcatel,Ozhvab,105,99,2024-09-04 13-40-14,40721536308,-32287,40750352128
alcatel,trENRg,90,102,2024-09-04 13-41-33,40734903256,9878,40795323138
alcatel,asW,-41,86,2024-09-04 13-43-47,40771199837,-17940,40737823730
alcatel,Qxd,-56,-88,2024-09-04 13-44-31,40789355322,-28969,40776129060
alcatel,QFOhg,116,-40,2024-09-04 13-42-45,40709570202,-20566,40745521221
alcatel,YqZDKt,69,-52,2024-09-04 13-42-41,40766067825,-9208,40765850559
alcatel,CDF,-90,24,2024-09-04 13-43-33,40783785729,-14001,40771573869
alcatel,mwP,-7,-57,2024-09-04 13-43-48,40774823812,29932,40798332754
alcatel,axEl,-122,55,2024-09-04 13-45-00,40756010399,-8593,40709122963
