src,idapp,t1,ncu,start_date,ano,duration,bno
alcatel,TVrtLR,-29,-108,2024-09-04 13-53-27,40701440117,-9436,40721836314
alcatel,uBNZ,-43,-121,2024-09-04 13-54-30,40791557085,4472,40730937900
alcatel,VgA,-8,-126,2024-09-04 13-53-05,40781182228,-9383,40767085473
alcatel,bPVeE,-49,106,2024-09-04 13-54-04,40711652824,-4077,40704091532
alcatel,NrRJY,86,-77,2024-09-04 13-50-10,40757915619,1917,40733027617
alcatel,dqxm,86,-100,2024-09-04 13-50-36,40772991847,2554,40707891903
alcatel,oLlWi,-75,-115,2024-09-04 13-51-39,40786745171,-1461,40714821254
alcatel,TLRL,99,-108,2024-09-04 13-52-19,40797092146,-19290,40779365564
alcatel,phHA,-99,10,2024-09-04 13-55-00,40751101826,3846,40757403778
alcatel,ivH,-43,39,2024-09-04 13-51-26,40703030881,28736,40748265232
alcatel,LbHD,-116,-94,2024-09-04 13-50-28,40708212268,75,40798044917
alcatel,bqO,-67,-66,2024-09-04 13-50-30,40705392467,-5967,40751431370
alcatel,UOo,16,-112,2024-09-04 13-52-02,40774127167,-15730,40732581265
alcatel,izV,-61,77,2024-09-04 13-53-42,40733647937,-12238,40789109606
alcatel,VkT,-8,38,2024-09-04 13-50-41,40756961430,21877,40739407826
alcatel,QAiE,113,81,2024-09-04 13-52-57,40710101989,29092,40771760777
alcatel,LqG,33,57,2024-09-04 13-54-10,40796123729,-18089,40790467382
alcatel,mpxC,114,-65,2024-09-04 13-50-39,40776092118,-15553,40798836804
alcatel,tgIfNJ,22,-50,2024-09-04 13-50-58,40713030372,23613,40782064425
alcatel,aKR,-58,118,2024-09-04 13-53-38,40709447676,-12651,40741379932
alcatel,seyzpB,-34,-58,2024-09-04 13-54-52,40773237798,-28008,40722649635
alcatel,RjX,-64,-47,2024-09-04 13-54-05,40751072190,-11694,40771402708
alcatel,zVeNhC,-72,-39,2024-09-04 13-53-30,40776449501,-16824,40799068655
alcatel,Cnhp,49,81,2024-09-04 13-51-19,40754918737,-25799,40721532933
alcatel,lWryPs,-45,87,2024-09-04 13-53-56,40766479401,17618,40786215499
alcatel,cVuQ,-7,-93,2024-09-04 13-51-13,40759023662,27454,40706256318
alcatel,IqBi,-6,-126,2024-09-04 13-52-57,40701407028,14738,40797141125
alcatel,rdy,-101,-75,2024-09-04 13-50-53,40702769748,17782,40723395716
alcatel,FxCGB,-124,125,2024-09-04 13-54-08,40753544126,11352,40780251760
alcatel,Viy,-13,-115,2024-09-04 13-53-40,40733560547,19989,40737131342
alcatel,Zbznk,-12,-106,2024-09-04 13-51-19,40714456367,1551,40784988231
alcatel,fQI,-119,-75,2024-09-04 13-54-34,40716194308,8433,40788933047
alcatel,tMtQp,101,30,2024-09-04 13-54-57,40795394613,-24989,40785769730
alcatel,tsk,109,-38,2024-09-04 13-50-30,40741039078,-5889,40726981840
alcatel,iohn,-127,-61,2024-09-04 13-54-32,40737452470,-24603,40733429118
alcatel,bcui,77,14,2024-09-04 13-51-53,40737167025,-20733,40782465943
alcatel,HBwo,76,-103,2024-09-04 13-50-17,40717794174,21641,40730595819
alcatel,Moicv,-110,6,2024-09-04 13-53-18,40724313048,-16444,40742158172
alcatel,alURDM,120,-85,2024-09-04 13-54-23,40739912580,-6100,40736928756
alcatel,spI,-61,115,2024-09-04 13-50-50,40763466790,24126,40786162540
alcatel,wgcmdd,-53,27,2024-09-04 13-51-03,40755659855,-25070,40763757407
alcatel,ncWhmg,-87,-12,2024-09-04 13-50-25,40723607119,10718,40784525557
alcatel,rmCaj,85,-62,2024-09-04 13-52-04,40764919681,-1578,40745395258
alcatel,NZvgmL,69,59,2024-09-04 13-50-32,40776494828,-26681,40702748583
alcatel,TRJ,123,-43,2024-09-04 13-50-11,40704787051,27534,40780534699
alcatel,FLPObE,121,-46,2024-09-04 13-52-44,40709649531,1738,40737807547
alcatel,okLw,-100,-22,2024-09-04 13-54-56,40790224777,-3189,40730009108
alcatel,PUDWCK,-20,-101,2024-09-04 13-53-08,40718887353,-20321,40715938663
alcatel,uLutjd,122,57,2024-09-04 13-52-10,40770752005,-30493,40704821463
alcatel,eTm,-128,-79,2024-09-04 13-52-01,40766348067,-30339,40754719180
alcatel,fkhi,36,-111,2024-09-04 13-52-57,40779491852,10258,40778240374
alcatel,LPhVY,-65,-128,2024-09-04 13-52-00,40707236034,-29991,40777554806
alcatel,ISYNjl,81,-116,2024-09-04 13-54-30,40745542352,-18397,40764734905
alcatel,OSGV,124,48,2024-09-04 13-53-02,40743024346,6350,40733663693
alcatel,lWb,7,67,2024-09-04 13-53-13,40763986234,-2414,40794495107
alcatel,SThqPR,-66,7,2024-09-04 13-52-59,40742535243,-6241,40702723080
alcatel,chio,-121,22,2024-09-04 13-52-35,40748195292,-11362,40756705337
alcatel,Yqk,-55,-7,2024-09-04 13-51-58,40787320131,-10758,40714312639
alcatel,TGQtU,-28,110,2024-09-04 13-51-29,40703015888,-17566,40748761424
alcatel,eYc,22,-90,2024-09-04 13-50-02,40734338758,-24312,40776030014
alcatel,UnoWNc,70,19,2024-09-04 13-50-13,40785789228,22531,40791929023
alcatel,ENKwEI,-62,-125,2024-09-04 13-52-54,40745874212,13568,40702912448
alcatel,KITpLn,43,-12,2024-09-04 13-52-01,40728488910,-20144,40773047408
alcatel,wGb,16,-60,2024-09-04 13-50-37,40729379914,32046,40745904968
alcatel,khAI,36,-102,2024-09-04 13-53-48,40715609889,19591,40799772612
alcatel,Jev,-94,-39,2024-09-04 13-54-08,40794472956,-30684,40766684667
alcatel,amQW,2,-6,2024-09-04 13-51-57,40719701430,12445,40715377918
alcatel,ZTM,-87,49,2024-09-04 13-54-05,40759945462,-6042,40716845546
alcatel,fqFzBq,25,-22,2024-09-04 13-50-54,40742986653,-4671,40745785205
alcatel,tRWVJ,123,109,2024-09-04 13-54-17,40706683391,-13313,40768573854
alcatel,MSEc,105,-101,2024-09-04 13-54-24,40794760305,25454,40779223015
alcatel,qFpemW,-84,-54,2024-09-04 13-54-45,40700110838,30631,40754866152
alcatel,iBzb,-63,24,2024-09-04 13-50-25,40718665031,-14040,40799747342
alcatel,OlfV,74,121,2024-09-04 13-52-57,40715933247,3714,40709125365
