src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,21,226057108423633,40718957701,2024-09-04 13-52-27,244.149.105.181,1383802976,internet,242.237.250.94,-114415749,-1110712195,4176,-6
huawei,-53,226053353781282,40732467650,2024-09-04 13-54-39,136.225.11.62,1704512268,internet,106.144.95.156,1887072252,463784784,-21416,-43
huawei,-117,226054892857671,40773192031,2024-09-04 13-53-06,111.183.232.100,-316940215,internet,236.210.2.94,876189400,-1006421387,30315,56
huawei,93,226052816510332,40789530056,2024-09-04 13-54-00,60.201.34.139,-1499435793,internet,237.112.86.197,-1422344758,57451860,4883,-120
huawei,49,226050337080982,40793372065,2024-09-04 13-51-18,249.40.22.17,-1464504657,ims,215.100.199.247,-1575745208,-1864678974,-23664,67
huawei,34,226058313904168,40768504756,2024-09-04 13-52-30,178.253.31.85,-1464639685,ims,3.82.215.206,1913252878,-1166897739,-1014,62
huawei,30,226051480715383,40724372862,2024-09-04 13-52-38,115.143.89.190,515163795,internet,82.9.206.135,1685293459,-1624937518,3926,120
huawei,-120,226050100264196,40730212140,2024-09-04 13-51-19,248.81.159.74,-617374904,internet,122.57.38.124,1846947593,-1395036841,-377,98
huawei,89,226058809273692,40725424144,2024-09-04 13-50-13,128.82.20.61,1252163738,internet,190.226.1.72,304657258,-1869969619,-4256,105
huawei,76,226052464720227,40745628849,2024-09-04 13-53-28,89.248.16.104,2090242283,internet,243.171.180.12,46850144,-1436975882,-9874,2
huawei,-127,226053686085181,40750055574,2024-09-04 13-51-04,238.60.111.157,1920957604,internet,223.69.184.109,-587697319,582435860,-27748,-5
huawei,100,226059608294569,40741917673,2024-09-04 13-53-20,115.191.184.233,705290440,ims,138.66.48.110,318449928,-341468960,-19425,14
huawei,35,226056195264632,40736572628,2024-09-04 13-52-18,37.212.44.42,648473542,internet,92.178.252.83,1035215273,1384208450,-1410,91
huawei,16,226052312524100,40701336679,2024-09-04 13-50-48,205.89.159.188,-1060832511,internet,81.115.108.0,1052278578,1372347274,866,-41
huawei,-30,226056251191935,40789977951,2024-09-04 13-53-20,107.40.69.58,1049440469,ims,141.90.235.117,141356886,-1065503798,-11698,16
huawei,-99,226055119644222,40785302087,2024-09-04 13-53-56,135.26.180.216,1147167764,internet,0.116.52.72,1138198899,238684126,11529,12
huawei,-2,226053033705786,40764052289,2024-09-04 13-53-59,165.106.134.90,-1143040366,ims,13.214.195.224,-45379691,-363555857,-13518,-54
huawei,104,226058151013754,40780952058,2024-09-04 13-51-38,0.73.165.164,-1782378683,internet,95.194.147.232,1227809888,2067964882,11718,-24
huawei,-23,226057518872861,40795667765,2024-09-04 13-51-12,106.221.101.96,2284817,ims,242.188.3.151,-1007732176,185236045,396,51
huawei,59,226051963438278,40776405833,2024-09-04 13-50-16,51.88.167.173,112200834,ims,64.173.166.37,1286418307,-233212425,4662,-90
huawei,121,226051554695285,40723471175,2024-09-04 13-51-42,189.188.34.178,-506752616,ims,242.91.141.210,-852244290,-720973721,12684,102
huawei,89,226053635965144,40793440760,2024-09-04 13-52-01,199.105.198.59,-831708702,internet,219.67.23.45,467813968,488913281,-10226,-99
huawei,62,226050833011949,40744129249,2024-09-04 13-51-32,238.120.174.250,673279530,ims,251.127.199.145,1517279134,-1223869217,-9403,-8
huawei,-52,226051363606940,40722465083,2024-09-04 13-50-47,26.216.81.115,1568525235,ims,114.84.91.100,1169877686,-1440459914,18051,-55
huawei,-118,226054534780438,40772103277,2024-09-04 13-52-29,209.115.20.134,-1490742083,ims,237.116.103.140,1490663485,-104901060,-22220,82
huawei,112,226058244413926,40787040836,2024-09-04 13-51-52,253.60.164.49,2095495760,internet,33.66.81.203,-140289417,-261361080,16949,-70
huawei,10,226059271345151,40744037739,2024-09-04 13-52-12,250.148.247.135,1865093754,internet,107.75.177.85,-1548012403,-996068683,-5748,41
huawei,76,226052355889523,40746885231,2024-09-04 13-53-30,175.208.76.126,-1242261521,ims,244.153.224.15,1912680194,-604991334,18966,57
huawei,59,226058483079431,40735286280,2024-09-04 13-54-50,160.189.156.17,1346087615,internet,181.177.56.150,-1907334151,165438828,-24843,40
huawei,-32,226057810813269,40762144423,2024-09-04 13-50-09,72.158.77.215,-517254780,internet,167.1.55.128,-884632317,2073397248,-1106,-115
huawei,4,226055913250844,40792008378,2024-09-04 13-51-05,206.199.144.150,-359860532,internet,50.47.194.84,-580346878,-186724886,11095,13
huawei,-79,226053394310451,40742637230,2024-09-04 13-53-16,228.80.161.168,-154558709,ims,140.68.255.117,345587893,-499028247,20645,116
huawei,16,226059405856163,40775836677,2024-09-04 13-53-53,219.204.129.7,-1473962528,internet,108.29.58.153,237228313,1090848225,-31525,124
huawei,-93,226052713106647,40731126744,2024-09-04 13-53-48,36.209.55.219,-1633404791,ims,4.168.96.161,1361230252,-1408616572,-3633,-110
huawei,62,226050120944141,40783645780,2024-09-04 13-53-21,105.3.249.26,-1095803028,internet,48.5.171.53,-1883325595,-666219919,-24260,89
huawei,-80,226058965969357,40728896430,2024-09-04 13-54-29,215.126.99.199,244959127,ims,131.131.162.248,619934380,566172856,19150,26
huawei,-32,226056654236081,40703398900,2024-09-04 13-50-01,82.107.82.82,-122685421,ims,108.182.75.23,-470532691,-599021970,24938,67
huawei,60,226055109096797,40794739736,2024-09-04 13-50-10,67.47.132.21,-1290809805,internet,197.186.68.169,765647733,1266265180,-7664,-47
huawei,48,226052582444435,40770089298,2024-09-04 13-52-25,51.186.224.141,1193669616,internet,35.85.182.169,-472999419,-1584650754,1347,120
huawei,79,226053729985012,40715366353,2024-09-04 13-51-31,232.189.88.44,1917024399,internet,241.137.226.18,895099825,-69327109,-3536,-100
huawei,117,226053205179875,40792132820,2024-09-04 13-51-09,191.251.85.170,1787714162,ims,222.8.149.233,-1774680422,-1181472299,17061,-109
huawei,107,226054785878585,40791911781,2024-09-04 13-50-22,209.107.119.54,1192841299,ims,168.160.225.223,467311395,-723256454,-24278,38
