src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-42,2024-09-04 13-32-19,22456,48,40799888745,70351699,eqOTtxgU,40701005378
nokia,79,2024-09-04 13-32-37,22788,-86,40784851821,-1100771947,OVfrYkHd,40736048386
nokia,-36,2024-09-04 13-34-27,-16945,89,40759800647,876563057,IegRVkmV,40724708352
nokia,-86,2024-09-04 13-31-43,-32533,-81,40726640955,642189478,lYbnDWIg,40720647270
nokia,-79,2024-09-04 13-33-26,31033,12,40767377268,1064026057,adIfIdUX,40799571718
nokia,-93,2024-09-04 13-34-39,-30427,60,40704213630,1351028450,hEBlXces,40733771580
nokia,76,2024-09-04 13-30-33,20623,-10,40706788794,1506296269,sSONdalY,40787528718
nokia,86,2024-09-04 13-33-01,-4893,95,40724887767,-567242041,NbPjZpUc,40745478539
nokia,102,2024-09-04 13-31-35,863,-43,40732218664,1218755941,uaXArmxr,40709204511
nokia,-124,2024-09-04 13-31-09,32678,-5,40722433144,1598911931,mOMjjClZ,40711615423
nokia,-126,2024-09-04 13-30-56,-4154,-60,40708640551,219264324,gSUhmktM,40789317988
nokia,54,2024-09-04 13-32-19,24995,1,40717988484,1623381293,nujaQEDe,40727779510
nokia,47,2024-09-04 13-33-55,31090,16,40791279866,452462142,sTECGcKD,40715581441
nokia,85,2024-09-04 13-30-15,-2134,41,40763070923,946221828,TFQvfFeZ,40760498940
nokia,92,2024-09-04 13-32-08,10168,-90,40777088442,-512604144,nlYqFgIg,40715646878
nokia,-1,2024-09-04 13-31-33,-20896,103,40709575485,-898880725,jiQJRzCC,40783668643
nokia,-113,2024-09-04 13-32-25,-4426,-62,40752485141,-291521705,lnQRRVFO,40789047356
nokia,-54,2024-09-04 13-30-21,-425,-44,40757345573,-550625382,QpThrhsJ,40771079760
nokia,-125,2024-09-04 13-31-31,-10698,58,40712244727,-511608584,ZdpMEtJP,40739599841
nokia,-51,2024-09-04 13-32-16,-16070,-94,40739441488,1249526044,JgPLnxam,40781009679
nokia,-118,2024-09-04 13-32-48,-22092,19,40757228730,534970566,qqxhFRxe,40761709167
nokia,-72,2024-09-04 13-33-31,29506,-21,40758505740,-704915278,evWwdhxU,40701821475
nokia,-87,2024-09-04 13-32-45,-19878,-90,40747474785,-1173512856,WdUXRbna,40764898126
nokia,-116,2024-09-04 13-33-22,-21220,6,40745984989,1640583551,yWosVudV,40765493718
nokia,-19,2024-09-04 13-32-11,18559,42,40742069880,-57845631,AXHtONjl,40762637518
nokia,76,2024-09-04 13-30-33,17442,25,40793085141,-231736160,gcaIulTA,40773813852
nokia,69,2024-09-04 13-30-01,9971,63,40709841564,1675980825,tANXEFDB,40784776112
nokia,-23,2024-09-04 13-31-26,7159,-109,40779076280,-1386394560,auUjCtnk,40745186130
nokia,-30,2024-09-04 13-30-09,-32074,65,40751746525,1342231042,uEyvTjbN,40783903114
nokia,-39,2024-09-04 13-31-37,11962,18,40746372030,-309521300,TWqOCxGm,40725325533
nokia,-78,2024-09-04 13-30-39,-21354,121,40745888573,-467092465,fhNIvFCn,40767176214
nokia,65,2024-09-04 13-30-23,20556,18,40717727636,1111423620,djNGMEAC,40778573131
nokia,-9,2024-09-04 13-30-20,32488,-5,40731853664,1875646195,yUVUcxkM,40746948184
nokia,-110,2024-09-04 13-30-50,23952,74,40702163736,-1203540254,JnPsuXEB,40789430550
nokia,3,2024-09-04 13-32-10,-29551,-124,40775016100,259358308,IkuhcyiL,40750365519
nokia,-103,2024-09-04 13-34-41,-9999,-9,40732675102,1094771250,ewyeyptY,40740877871
nokia,58,2024-09-04 13-30-32,6046,-74,40764311241,-1653480513,ctHFFoVx,40702993220
nokia,-36,2024-09-04 13-31-46,-31641,24,40766813869,622849405,KWrPLzji,40784056570
nokia,73,2024-09-04 13-31-02,-22820,-35,40724080491,665937801,kGLIulBk,40792023404
nokia,-90,2024-09-04 13-34-36,6816,-43,40780418800,228734121,pEqQbBHE,40725714179
nokia,60,2024-09-04 13-34-59,4465,-93,40707812697,1048632068,lKvQpNmw,40733455288
nokia,-108,2024-09-04 13-32-26,-18370,-2,40730819321,863411715,lSshlbzj,40701667780
nokia,111,2024-09-04 13-34-50,3798,-59,40787632841,-141779621,pGZcfcsg,40761550166
nokia,126,2024-09-04 13-32-48,15642,-20,40720812539,2082507969,nCwCFASO,40742889821
nokia,32,2024-09-04 13-33-18,6250,-124,40709400096,1168440845,JikHbhmq,40776348457
nokia,26,2024-09-04 13-31-30,-11740,85,40744899474,-1434152630,dDjgFoQM,40723823779
nokia,-38,2024-09-04 13-32-25,6369,56,40726386180,-696393161,GjNGwNcN,40739864005
nokia,98,2024-09-04 13-30-02,29520,-4,40789725702,-1793799467,iUifNfaU,40747470822
nokia,-94,2024-09-04 13-32-25,27715,15,40783176506,358656059,ZcaNBfyW,40762783220
nokia,64,2024-09-04 13-34-35,25903,-69,40730322259,1533223472,hgRrGHuC,40744339393
nokia,-35,2024-09-04 13-33-11,30553,39,40796011607,-652366357,qbzhxLsW,40765616899
