src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-128,2024-09-04 13-47-07,-15742,104,40716054535,-816803820,hWKwqMwt,40749205721
nokia,101,2024-09-04 13-46-22,31286,-104,40726952462,-354984457,ZptbbZKs,40706578286
nokia,80,2024-09-04 13-47-26,6132,25,40747391495,1443220929,uBPTdqYp,40766668409
nokia,18,2024-09-04 13-47-06,6697,33,40760750194,-88314637,WkTQlcae,40728102811
nokia,-95,2024-09-04 13-48-11,14212,60,40767724965,1396528832,yaqKlmBW,40743116272
nokia,-106,2024-09-04 13-45-17,31726,-22,40779200320,-1882536019,PINTdqOK,40714797987
nokia,31,2024-09-04 13-49-16,25087,112,40768342671,-121049740,YMVvbqwQ,40715991044
nokia,14,2024-09-04 13-48-26,19346,49,40737216341,404686779,mTGFLNlS,40773466173
nokia,-88,2024-09-04 13-46-33,-13068,59,40705057381,2059149010,SFpklEJk,40787533489
nokia,16,2024-09-04 13-47-30,12154,-56,40755788962,-1433684600,DHSomVmQ,40789226499
nokia,-22,2024-09-04 13-45-25,-22171,-23,40799089573,200630778,dMyrAZqa,40711800320
nokia,43,2024-09-04 13-48-06,-26922,116,40779788657,-1502648714,KZsqPyRK,40750613102
nokia,59,2024-09-04 13-47-13,-6517,81,40743296751,518778972,KbnzazLq,40747136174
nokia,23,2024-09-04 13-47-35,-18736,12,40706016203,427278247,fhOafKFX,40752612717
nokia,45,2024-09-04 13-45-32,28189,55,40744587079,1486212646,TUrvyrLc,40741875474
nokia,26,2024-09-04 13-47-33,22521,-6,40743463703,-661117840,RqNACZUR,40726045411
nokia,70,2024-09-04 13-46-15,-5787,28,40757840009,1748266650,BwUOiywd,40774046881
nokia,111,2024-09-04 13-47-34,12799,41,40707940203,1746413553,VSrgoGJY,40722157409
nokia,-95,2024-09-04 13-47-36,12088,66,40721997899,779239008,rYGFjpfe,40794895986
nokia,51,2024-09-04 13-45-19,12987,-49,40749038218,-976011826,zRHhRfRu,40728237067
nokia,24,2024-09-04 13-46-39,-29860,-54,40720603195,-986764264,RZjFNzYD,40735473109
nokia,100,2024-09-04 13-49-43,22855,-52,40762192510,-1418541627,Vyponlbx,40723739849
nokia,-73,2024-09-04 13-45-19,9721,122,40728173543,1838503497,uEeSiLkm,40778644577
nokia,114,2024-09-04 13-47-01,24683,-39,40768143605,202921556,tFLBuzoJ,40723426885
nokia,31,2024-09-04 13-47-36,-25865,52,40779603776,1593191368,cpxhyYGY,40758297967
nokia,-12,2024-09-04 13-46-13,7061,107,40748118823,-1753098512,hwnoRsWi,40776721844
nokia,-53,2024-09-04 13-50-01,23046,124,40724970873,-2136646165,fGzsPpXG,40755634236
nokia,118,2024-09-04 13-45-27,7705,99,40726139475,1886458951,kqYCkmHS,40742128294
nokia,49,2024-09-04 13-46-47,10780,70,40751322395,-1796611107,sxNdtBfQ,40753101593
