src,record_type,start_date,duration,record_length,ano,record_number,call_reference,bno
nokia,-36,2024-09-04 13-53-28,3260,-10,40721672984,442888623,NeNjfmVY,40769431736
nokia,56,2024-09-04 13-50-11,-11875,43,40791216963,-193386365,yjRODfpQ,40790091682
nokia,-74,2024-09-04 13-54-58,3339,-104,40797737117,-204036073,VmDPUvII,40788293673
nokia,121,2024-09-04 13-50-27,-26303,-117,40730252148,643740298,JvlUKJcc,40768239264
nokia,-76,2024-09-04 13-53-12,14576,42,40760730455,554281911,coifwbhI,40762096135
nokia,-58,2024-09-04 13-51-35,-27826,-71,40777428095,-694543177,uvfvdIfS,40784420666
nokia,-39,2024-09-04 13-54-31,-27226,-103,40713540071,1240543284,xMwnqKpt,40791398142
nokia,-92,2024-09-04 13-51-37,3175,-72,40701339471,-1815868857,GGcmmeee,40707061005
nokia,117,2024-09-04 13-52-07,-14623,121,40745419180,-1542579989,lpVqnKvT,40798548461
nokia,-82,2024-09-04 13-54-37,31909,41,40756812617,-1472907219,YZBtupND,40742443758
nokia,117,2024-09-04 13-52-27,-8499,-51,40786471952,211443587,djDAKawU,40775336971
nokia,9,2024-09-04 13-50-01,25991,25,40703266840,-39266827,gJMgKGzG,40725674930
nokia,-103,2024-09-04 13-52-47,28316,111,40776638748,-772937413,cHeIKRwL,40792259104
nokia,36,2024-09-04 13-50-16,-11193,-95,40762917367,1456084741,JcRkQMyq,40789579597
nokia,60,2024-09-04 13-54-10,-21867,68,40774244395,-1943788048,IzgyGZlU,40782511633
nokia,-88,2024-09-04 13-51-42,19856,-116,40728760578,1945935320,KsCFFuvk,40717939181
nokia,-77,2024-09-04 13-51-09,20155,50,40723481259,-2061031771,dMwegPGw,40775090518
nokia,-49,2024-09-04 13-50-36,8273,95,40797101362,2093452232,QpcXuCCF,40797879276
nokia,97,2024-09-04 13-50-33,-32245,80,40754780761,-1864210537,vuYBSkXA,40725098170
nokia,-46,2024-09-04 13-52-34,21355,-18,40722267891,838583276,tEnQcWoK,40796748679
nokia,-11,2024-09-04 13-51-21,7784,91,40792339041,-1838917160,SsYUzdjG,40761793622
nokia,120,2024-09-04 13-51-55,-18877,-84,40739273395,1765649645,VjjVjWXn,40724351201
nokia,-88,2024-09-04 13-53-06,28904,4,40799944695,-1458459601,uRQjVtvi,40746671683
nokia,80,2024-09-04 13-54-31,21691,-119,40733671353,516147866,BncFuNxa,40707621910
nokia,-82,2024-09-04 13-51-41,22718,-109,40760995503,-1050602742,Rcyecqsh,40775698157
